Case Number,Letter Date ,Agency/Department,Component,OGIS Case Category,Exemption(s),OGIS Case Description,Document URL
201500828 ,8/19/2015,Department of Education (DoEd),,Fees,,Customer disputes agency's estimate of fees. Contacted agency to learn more about the request.,https://ogis.archives.gov/Assets/2015-08-19-final-letter-201500828.pdf?method=1 
201500877 ,9/15/2015,Department of Justice,Federal Bureau of Prisons,Denial,"6, 7(c ), 7(f)","Requester seeking status update. Suggested requester contact agency, copied on the email to OGIS, and then return to OGIS only if he is unable to obtain the information he seeks.",https://ogis.archives.gov/Assets/2015-09-15-final-letter-201500877.pdf?method=1 
201500882 ,8/13/2015,Department of Justice,United States Marshals Service,Denial,5,Requester sought assistance understanding why the agency withheld information under FOIA. OGIS provided the customer with additional information regarding the agency's use of exemptions.,https://ogis.archives.gov/Assets/2015-8-13-final-letter-201500882.pdf?method=1 
201500888 ,8/28/2015,Department of Justice,Federal Bureau of Investigation,Denial,"6, 7(c ), 7(d), 7(e)","Customer requests assistance with a partially denied FOIA request. Contacted the agencies regarding the response to the customer's request. Provided the customer with an explanation of the agency's actions on the request and information regarding Exemptions 1, 3, 6, 7(C), 7(D), and 7(E).",https://ogis.archives.gov/Assets/2015-08-28-final-letter-201500888.pdf?method=1 
201500923 ,8/19/2015,Department of Agriculture (USDA),,Denial,7(a),"Customer requested assistance with denied FOIA appeal. OGIS contacted agency, sent customer information about the FOIA exemption used.",https://ogis.archives.gov/Assets/2015-08-19-final-letter-201500923.pdf?method=1 
201500957 ,8/17/2015,Social Security Administration (SSA),,Denial,6,Customer requested assistance with denied FOIA request. OGIS contacted the agency about request. Agency had released documents the customer never received. Agency re-sent records.,https://ogis.archives.gov/Assets/2015-08-17-final-letter-201500957.pdf?method=1 
201500990 ,8/13/2015,Department of Justice,Executive Office for Unired States Attorneys and Federal Bureau of Investigation,Ombuds/ Court Records,,Customer contacted OGIS for assistance with denied FOIA appeal. OGIS provided the requester with additional information regarding where he should request records.,https://ogis.archives.gov/Assets/2015-08-13-final-letter-201500990.pdf?method=1 
201501030 ,8/24/2015,Department of Homeland Security,Citizenship and Immigration Services,Delay,,Customer contacted OGIS for assistance with a delayed FOIA request. OGIS provided the requester with an estimated date of completion and additional information regarding timeliness of future requests.,https://ogis.archives.gov/Assets/2015-08-24-final-letter-201501030.pdf?method=1 
201501049 ,9/1/2015,Department of Interior,Office of the Secretary,Delay,,Customer requested assistance with three delayed FOIA requests. Contacted the agency to learn the status of the requests and shared the status information with the customer.,https://ogis.archives.gov/Assets/2015-09-01-final-letter-201501049.pdf?method=1 
201501060 ,26-Aug,Department of Justice,Federal Bureau of Investigation,No Records,,Customer requested assistance with denied FOIA request and appeal. OGIS contacted agency to see if additional information supplied on appeal was considered. OGIS explained search system to requester.,https://ogis.archives.gov/Assets/2015-08-26-final-letter-201501060.pdf?method=1 
201501145 ,9/19/2015,Department of Justice,Federal Bureau of Prisons,Denial,7(c),Customer requested assistance with denied FOIA appeal. OGIS provided customer with more information about the agency's decisions and additional information for his specific problem.,https://ogis.archives.gov/Assets/2015-09-09-final-letter-201501145.pdf?method=1 
