Agency,Average Number of Days to Adjudicate,Component,Median Number of Days to Adjudicate,Number Denied,Number Granted,Year
ED,0.0,OPE,0.0,0.0,0.0,2009
ED,0.0,OPEPD,0.0,0.0,0.0,2009
ED,0.0,OS,0.0,0.0,0.0,2009
ED,0.0,OSDFS,0.0,0.0,0.0,2009
ED,0.0,OSERS,0.0,0.0,0.0,2009
ED,0.0,OUS,0.0,0.0,0.0,2009
ED,0.0,OVAE,0.0,0.0,0.0,2009
EPA,13.46,HQ,5.0,58.0,83.0,2009
EPA,5.41,Region 1,3.5,2.0,10.0,2009
EPA,13.2,Region 2,2.0,4.0,7.0,2009
EPA,8.5,Region 3,7.0,9.0,11.0,2009
EPA,10.03,Region 4,8.0,8.0,18.0,2009
EPA,13.5,Region 5,7.0,8.0,18.0,2009
EPA,14.2,Region 6,9.0,7.0,8.0,2009
EPA,4.71,Region 7,3.0,0.0,7.0,2009
EPA,1.64,Region 8,0.0,1.0,16.0,2009
EPA,8.6,Region 9,8.0,7.0,18.0,2009
EPA,27.6,Region 10,8.0,4.0,14.0,2009
Ex-Im Bank,,AGENCY,,0.0,0.0,2009
FCA,,FCA,,0.0,0.0,2009
FCC,7.0,FCC,4.0,7.0,2.0,2009
FCSIC,,FCSIC,,0.0,0.0,2009
FDIC,1.0,FDIC,1.0,1.0,12.0,2009
FEC,,FEC,,0.0,0.0,2009
FERC,10.0,FERC,10.0,7.0,2.0,2009
FFIEC,0.0,FFIEC,0.0,0.0,0.0,2009
FHFA,5.0,FHFA,3.0,1.0,0.0,2009
FLRA,0.0,FLRA,0.0,0.0,0.0,2009
FMC,0.0,FMC,0.0,1.0,0.0,2009
FMCS,0.0,FMCS,0.0,0.0,0.0,2009
FMSHRC,0.0,FMSHRC,0.0,0.0,0.0,2009
FOMC,0.0,FOMC,0.0,0.0,3.0,2009
FRB,10.0,FRB,3.0,0.0,36.0,2009
FTC,13.13,FTC,8.0,7.0,8.0,2009
GSA,20.0,GSA,20.0,0.0,2.0,2009
HHS,0.0,ACF,0.0,0.0,0.0,2009
HHS,0.0,AOA,0.0,0.0,0.0,2009
HHS,90.0,CMS,84.0,8.0,0.0,2009
HHS,2.0,OIG,4.0,8.0,2.0,2009
HHS,5.0,OPHS,3.0,4.0,0.0,2009
HHS,20.0,AHRQ,20.0,0.0,3.0,2009
HHS,0.0,CDC,0.0,7.0,1.0,2009
HHS,21.0,FDA,7.0,27.0,273.0,2009
HHS,19.0,HRSA,19.0,1.0,0.0,2009
HHS,10.0,IHS,10.0,0.0,1.0,2009
HHS,29.0,NIH,29.0,1.0,0.0,2009
HHS,0.0,SAMHSA,0.0,0.0,0.0,2009
HHS,0.0,OS,0.0,0.0,0.0,2009
HUD,,FO,,0.0,0.0,2009
HUD,,HQ,,0.0,0.0,2009
HUD,,IG,,0.0,0.0,2009
IAF,,IAF,,0.0,0.0,2009
IMLS,0.0,IMLS,0.0,0.0,0.0,2009
MSPB,0.0,MSPB,0.0,0.0,0.0,2009
NARA,174.0,NARA,5.0,171.0,3.0,2009
NASA,8.0,JSC,6.0,0.0,11.0,2009
NCUA,1.7,NCUA,0.5,3.0,3.0,2009
NEH,1.0,NEH,1.0,1.0,10.0,2009
NIGC,1.0,NIGC,1.0,1.0,1.0,2009
NMB,0.0,NMB,0.0,0.0,0.0,2009
NRPC,5.0,NRPC,15.0,4.0,6.0,2009
NSF,13.0,Foundation,13.0,1.0,0.0,2009
NSF,0.0,OIG,0.0,0.0,0.0,2009
OGE,7.0,OGE,7.0,0.0,1.0,2009
OMB,7.0,OMB,5.0,0.0,20.0,2009
ONDCP,0.0,OLC,0.0,0.0,0.0,2009
OPIC,1.0,OPIC,1.0,1.0,0.0,2009
OPM,7.0,OPM,5.0,3.0,11.0,2009
OSHRC,13.0,OSHRC,10.0,0.0,5.0,2009
OSTP,,OSTP,,0.0,0.0,2009
PC,,PC,,0.0,0.0,2009
PRC,,PRC,,0.0,0.0,2009
SBA,12.0,SBA,10.0,6.0,7.0,2009
SEC,3.0,HQ,1.0,7.0,45.0,2009
SIGIR,4.6,SIGIR,1.0,1.0,6.0,2009
SSA,38.0,SSA,27.0,62.0,40.0,2009
SSS,0.0,SSS,0.0,0.0,0.0,2009
State,14.0,DoS,7.0,178.0,3.0,2009
State,0.0,OIG,0.0,0.0,0.0,2009
STB,15.0,STB,15.0,0.0,1.0,2009
Treasury,3.0,BEP,3.0,1.0,2.0,2009
Treasury,0.0,BPD,0.0,0.0,0.0,2009
Treasury,42.0,DO,40.0,44.0,66.0,2009
Treasury,0.0,FinCEN,0.0,0.0,0.0,2009
Treasury,3.0,FMS,1.0,8.0,0.0,2009
Treasury,16.8,IRS,7.0,29.0,70.0,2009
Treasury,14.1,MINT,14.1,1.0,1.0,2009
Treasury,1.0,OCC,0.0,25.0,24.0,2009
Treasury,0.0,OTS,0.0,0.0,0.0,2009
Treasury,10.0,TIGTA,8.0,5.0,1.0,2009
Treasury,0.0,TTB,0.0,0.0,0.0,2009
TVA,1.0,TVA,1.0,0.0,3.0,2009
U.S. CPSC,4.0,U.S. CPSC,2.0,2.0,2.0,2009
U.S. DOL,0.0,ADJ BDS,0.0,0.0,0.0,2009
U.S. DOL,4.3,ALJ,2.0,1.0,11.0,2009
U.S. DOL,96.5,ASP,96.0,2.0,0.0,2009
U.S. DOL,12.0,BLS,12.0,1.0,0.0,2009
U.S. DOL,97.0,CFO,97.0,2.0,0.0,2009
U.S. DOL,3.7,EBSA,3.0,3.0,0.0,2009
U.S. DOL,10.4,ESA - OFCCP,7.0,15.0,2.0,2009
U.S. DOL,28.0,ESA - OLMS,28.0,2.0,0.0,2009
U.S. DOL,0.0,ESA - OMAP,0.0,0.0,0.0,2009
U.S. DOL,0.0,ESA - OWCP,0.0,0.0,0.0,2009
U.S. DOL,35.0,ESA - WHD,14.0,57.0,16.0,2009
U.S. DOL,77.4,ETA,63.0,66.0,19.0,2009
U.S. DOL,17.0,ILAB,17.0,2.0,0.0,2009
U.S. DOL,0.0,JOB CORP,0.0,0.0,0.0,2009
U.S. DOL,49.1,MSHA,13.0,7.0,12.0,2009
U.S. DOL,100.0,OASAM,110.0,0.0,2.0,2009
U.S. DOL,0.0,OCIA,0.0,0.0,0.0,2009
U.S. DOL,0.0,ODEP,0.0,0.0,0.0,2009
U.S. DOL,2.0,OIG,0.0,1.0,21.0,2009
U.S. DOL,0.0,OPA,0.0,0.0,0.0,2009
U.S. DOL,0.0,OSBP,0.0,0.0,0.0,2009
U.S. DOL,13.0,OSHA,12.0,104.0,137.0,2009
U.S. DOL,0.0,SOL,0.0,0.0,0.0,2009
U.S. DOL,0.0,VETS,0.0,0.0,0.0,2009
U.S. DOL,0.0,WB,0.0,0.0,0.0,2009
US RRB,0.0,OIG,0.0,0.0,0.0,2009
US RRB,7.0,RRB,7.0,0.0,3.0,2009
USITC,2.0,USITC,1.0,0.0,5.0,2009
USNRC,0.0,USNRC,0.0,6.0,45.0,2009
VA,,Admin,,0.0,0.0,2009
VA,,BVA,,0.0,0.0,2009
VA,,C&LA,,0.0,0.0,2009
VA,3.0,CFM,3.0,0.0,3.0,2009
VA,,GC,,0.0,0.0,2009
VA,,HRM,,0.0,0.0,2009
VA,,IG,,0.0,0.0,2009
VA,1.0,Mgmt,1.0,0.0,1.0,2009
VA,3.0,NCA,3.0,2.0,1.0,2009
VA,1.0,OAL,1.0,0.0,1.0,2009
VA,,OASP&IA,,0.0,0.0,2009
VA,,ODASB,,0.0,0.0,2009
VA,,ODASIA,,0.0,0.0,2009
VA,,ODI,,0.0,0.0,2009
VA,,OF,,0.0,0.0,2009
VA,5.0,OI&T,5.0,1.0,0.0,2009
VA,,ORM,,0.0,0.0,2009
VA,,OSDBU,,0.0,0.0,2009
VA,,OSP,,0.0,0.0,2009
VA,,P&P,,0.0,0.0,2009
VA,,PA,,0.0,0.0,2009
VA,,SEC,,0.0,0.0,2009
VA,3.0,VBA,1.0,6.0,11.0,2009
VA,,VCS,,0.0,0.0,2009
VA,1.0,VHA,1.0,13.0,40.0,2009
ABMC,13.75,ABMC,15.0,1.0,3.0,2010
ACUS,0.0,ACUS,0.0,0.0,0.0,2010
BBG,17.0,BBG,17.0,2.0,0.0,2010
CEQ,0.0,CEQ,0.0,0.0,0.0,2010
CFTC,0.0,CFTC,0.0,0.0,0.0,2010
CIA,,CIA,,2.0,1.0,2010
CIGIE,0.0,CIGIE,0.0,0.0,0.0,2010
CNCS,30.2,CNCS,20.0,4.0,9.0,2010
CO,5.33,CO,1.0,6.0,0.0,2010
CPPBSD,3.6,CPPBSD,4.0,2.0,3.0,2010
CSB,9.0,CSB,9.0,0.0,2.0,2010
CSOSA,0.0,HQ,0.0,0.0,0.0,2010
DHS,0.0,CBP,0.0,0.0,0.0,2010
DHS,1.0,FEMA,1.0,1.0,0.0,2010
DHS,16.0,ICE,7.0,7.0,12.0,2010
DHS,52.25,MGMT,21.0,0.0,4.0,2010
DHS,17.0,OIG,17.0,1.0,1.0,2010
DHS,60.45,PRIV,15.0,9.0,2.0,2010
DHS,31.8,TSA,7.0,24.0,7.0,2010
DHS,212.8,USCG,296.0,4.0,1.0,2010
DHS,5.69,USCIS,2.0,110.0,47.0,2010
DHS,4.0,USSS,4.0,7.0,0.0,2010
DNFSB,0.0,OGC,0.0,0.0,0.0,2010
DNFSB,0.0,OGM,0.0,0.0,0.0,2010
DOC,0.0,BIS,0.0,0.0,0.0,2010
DOC,5.0,Census,4.0,7.0,7.0,2010
DOC,2.0,EDA,2.0,1.0,1.0,2010
DOC,0.0,ESA,0.0,0.0,0.0,2010
DOC,1.0,ITA,2.0,1.0,0.0,2010
DOC,0.0,MBDA,0.0,0.0,0.0,2010
DOC,7.0,NIST,5.0,5.0,0.0,2010
DOC,14.0,NOAA,15.0,8.0,5.0,2010
DOC,0.0,NTIA,0.0,0.0,0.0,2010
DOC,0.0,NTIS,0.0,0.0,0.0,2010
DOC,0.0,OIG,0.0,0.0,0.0,2010
DOC,10.0,OS,10.0,2.0,1.0,2010
DOC,1.0,PTO,0.0,3.0,2.0,2010
DoD,4.0,AF,1.0,246.0,79.0,2010
DoD,,AFRICOM,,0.0,0.0,2010
DoD,2.0,ARMY,,182.0,479.0,2010
DoD,,ASBCA,,0.0,0.0,2010
DoD,4.0,CENTCOM,5.0,15.0,0.0,2010
DoD,,DCAA,,0.0,0.0,2010
DoD,17.0,DCMA,17.0,2.0,0.0,2010
DoD,1.0,DeCA,1.0,1.0,0.0,2010
DoD,,DFAS,,0.0,0.0,2010
DoD,,DIA,,0.0,0.0,2010
DoD,,DISA,,0.0,0.0,2010
DoD,2.0,DLA,1.0,2.0,15.0,2010
DoD,7.0,DoDEA,7.0,5.0,3.0,2010
DoD,1.0,DoDIG,1.0,3.0,1.0,2010
DoD,,DSS,,0.0,0.0,2010
DoD,,DTIC,,0.0,0.0,2010
DoD,,DTRA,,0.0,0.0,2010
DoD,5.0,EUCOM,3.0,0.0,20.0,2010
DoD,1.0,JFCOM,1.0,0.0,6.0,2010
DoD,307.0,NAVY,217.0,124.0,1032.0,2010
DoD,,NGA,,0.0,0.0,2010
DoD,8.0,NGB,8.0,2.0,0.0,2010
DoD,,NORTHCOM,,0.0,0.0,2010
DoD,,NRO,,0.0,0.0,2010
DoD,174.0,NSA,12.0,15.0,4.0,2010
DoD,20.0,OSD/JS,2.0,13.0,5.0,2010
DoD,1.0,PACOM,1.0,1.0,84.0,2010
DoD,0.0,SOCOM,0.0,0.0,1.0,2010
DoD,,SOUTHCOM,,0.0,0.0,2010
DoD,,STRATCOM,,0.0,0.0,2010
DoD,1.0,TRANSCOM,1.0,1.0,4.0,2010
DoD,84.0,TRICARE,69.0,1.0,3.0,2010
DOE,1.22,BPA,0.0,5.0,31.0,2010
DOE,0.0,CBFO,0.0,0.0,0.0,2010
DOE,1.67,CH,1.0,7.0,8.0,2010
DOE,3.0,EMCBC,2.0,2.0,1.0,2010
DOE,10.8,GFO,0.0,1.0,4.0,2010
DOE,3.47,HQ,0.0,0.0,38.0,2010
DOE,0.0,ID,0.0,0.0,0.0,2010
DOE,0.0,NETL,0.0,0.0,1.0,2010
DOE,69.67,NNSA,17.0,1.0,2.0,2010
DOE,0.0,NR,0.0,0.0,0.0,2010
DOE,0.0,NRLFO,0.0,0.0,0.0,2010
DOE,0.06,ORO,0.0,0.0,112.0,2010
DOE,0.0,OSTI,0.0,0.0,0.0,2010
DOE,0.78,ROO,0.0,6.0,3.0,2010
DOE,0.0,SEPA,0.0,0.0,0.0,2010
DOE,0.0,SPR,0.0,0.0,0.0,2010
DOE,0.0,SRO,0.0,0.0,4.0,2010
DOE,0.0,SWPA,0.0,0.0,0.0,2010
DOE,0.0,WAPA,0.0,0.0,4.0,2010
DOI,18.0,BIA,20.0,3.0,2.0,2010
DOI,23.0,BLM,,8.0,143.0,2010
DOI,26.0,BOEMRE,8.0,1.0,18.0,2010
DOI,6.0,BOR,1.0,2.0,7.0,2010
DOI,9.0,FWS,1.0,12.0,235.0,2010
DOI,12.0,NPS,8.0,5.0,19.0,2010
DOI,0.0,OIG,0.0,0.0,16.0,2010
DOI,17.0,OS,4.0,5.0,10.0,2010
DOI,,OSM,,0.0,5.0,2010
DOI,,SOL,,0.0,2.0,2010
DOI,8.0,USGS,2.0,3.0,5.0,2010
DOJ,,Office of the AG,,0.0,0.0,2010
DOJ,,Office of the DAG,,0.0,0.0,2010
DOJ,,Office of the Assoc. AG,,0.0,0.0,2010
DOJ,1.0,Antitrust,1.0,3.0,0.0,2010
DOJ,1.2,ATF,1.0,0.0,5.0,2010
DOJ,1.01,BOP,1.0,318.0,3.0,2010
DOJ,7.33,Civil,5.0,2.0,4.0,2010
DOJ,,Civil Rights,,0.0,0.0,2010
DOJ,,COPS,,0.0,0.0,2010
DOJ,1.0,Criminal,1.0,1.0,0.0,2010
DOJ,,CRS,,0.0,0.0,2010
DOJ,5.52,DEA,1.0,19.0,4.0,2010
DOJ,24.5,ENRD,23.5,1.0,3.0,2010
DOJ,6.68,EOIR,1.0,13.0,12.0,2010
DOJ,1.0,EOUSA,1.0,37.0,0.0,2010
DOJ,,EOUST,,0.0,0.0,2010
DOJ,42.42,FBI,2.0,757.0,111.0,2010
DOJ,,FCSC,,0.0,0.0,2010
DOJ,,JMD,,0.0,0.0,2010
DOJ,,NDIC,,0.0,0.0,2010
DOJ,3.2,NSD,3.0,0.0,5.0,2010
DOJ,,OCDETF,,0.0,0.0,2010
DOJ,,ODR,,0.0,0.0,2010
DOJ,1.0,OFDT,1.0,0.0,3.0,2010
DOJ,,OIG,,0.0,0.0,2010
DOJ,2.36,OIP,2.0,14.0,0.0,2010
DOJ,,OIPL,,0.0,0.0,2010
DOJ,11.5,OJP,11.5,1.0,1.0,2010
DOJ,,OLA,,0.0,0.0,2010
DOJ,,OLC,,0.0,0.0,2010
DOJ,,OLP,,0.0,0.0,2010
DOJ,,OPR,,0.0,0.0,2010
DOJ,,OSG,,0.0,0.0,2010
DOJ,,OVW,,0.0,0.0,2010
DOJ,,Pardon Attorney,,0.0,0.0,2010
DOJ,,Public Affairs,,0.0,0.0,2010
DOJ,,PRAO,,0.0,0.0,2010
DOJ,,TAX,,0.0,0.0,2010
DOJ,,USMS,,0.0,0.0,2010
DOJ,,USNCB,,0.0,0.0,2010
DOJ,,USPC,,0.0,0.0,2010
DOT,12.0,FAA,1.0,44.0,84.0,2010
DOT,16.0,FHWA,5.0,1.0,13.0,2010
DOT,1.0,FMCSA,1.0,1.0,1.0,2010
DOT,,FRA,,0.0,0.0,2010
DOT,,FTA,,0.0,0.0,2010
DOT,,MARAD,,0.0,0.0,2010
DOT,17.0,NHTSA,20.0,9.0,1.0,2010
DOT,7.0,OIG,7.0,0.0,1.0,2010
DOT,1.0,OST,1.0,0.0,2.0,2010
DOT,15.0,PHMSA,13.0,1.0,8.0,2010
DOT,2.0,RITA,2.0,1.0,1.0,2010
DOT,,SLSDC,,0.0,0.0,2010
ED,9.0,OCR-1 Boston,9.0,1.0,0.0,2010
ED,0.0,OCR-2 New York,0.0,1.0,0.0,2010
ED,0.0,OCR-3 Philadelphia,0.0,4.0,0.0,2010
ED,0.0,OCR-4 Atlanta,0.0,2.0,0.0,2010
ED,6.0,OCR-5 Chicago,2.0,2.0,4.0,2010
ED,0.0,OCR-6 Dallas,0.0,2.0,0.0,2010
ED,0.0,OCR-7 Kansas City,0.0,0.0,0.0,2010
ED,0.0,OCR-8 Denver,0.0,1.0,0.0,2010
ED,1.0,OCR-9 San Francisco,1.0,2.0,0.0,2010
ED,9.0,OCR-10 Seattle,9.0,0.0,1.0,2010
ED,0.0,OCR-12 Cleveland,0.0,2.0,0.0,2010
ED,0.0,OCR-Metro D.C.,0.0,0.0,0.0,2010
ED,23.0,OM-RIMS,7.0,193.0,63.0,2010
EEOC,1.0,ATLANTA,1.0,1.0,1.0,2010
EEOC,0.0,BIRMINGHAM,0.0,0.0,0.0,2010
EEOC,0.0,CHARLOTTE,0.0,8.0,0.0,2010
EEOC,7.5,CHICAGO,7.5,0.0,2.0,2010
EEOC,0.0,DALLAS,0.0,2.0,0.0,2010
EEOC,0.0,HOUSTON,0.0,0.0,1.0,2010
EEOC,0.0,INDIANAPOLIS,0.0,0.0,0.0,2010
EEOC,0.0,LOS ANGELES,0.0,0.0,0.0,2010
EEOC,0.0,MEMPHIS,0.0,0.0,0.0,2010
EEOC,0.0,MIAMI,0.0,4.0,0.0,2010
EEOC,0.0,NEW YORK,0.0,13.0,0.0,2010
EEOC,0.0,OLC/HDQ,0.0,3.0,0.0,2010
EEOC,0.0,PHILADELPHIA,0.0,1.0,0.0,2010
EEOC,0.0,PHOENIX,0.0,0.0,0.0,2010
EEOC,0.0,SAN FRANCISCO,0.0,4.0,0.0,2010
EEOC,0.0,ST. LOUIS,0.0,0.0,0.0,2010
EEOC,0.5,WFO,4.0,0.0,0.0,2010
EPA,6.9,HQ,4.0,73.0,143.0,2010
EPA,5.43,Region 1,3.0,2.0,14.0,2010
EPA,6.52,Region 2,6.0,10.0,11.0,2010
EPA,4.04,Region 3,4.0,21.0,25.0,2010
EPA,4.92,Region 4,3.5,23.0,31.0,2010
EPA,5.47,Region 5,4.0,20.0,28.0,2010
EPA,7.5,Region 6,4.5,18.0,22.0,2010
EPA,5.07,Region 7,5.0,1.0,12.0,2010
EPA,4.39,Region 8,3.0,5.0,18.0,2010
EPA,6.16,Region 9,6.0,11.0,13.0,2010
EPA,6.2,Region 10,4.0,18.0,22.0,2010
Ex-Im Bank,11.17,HQ,0.0,2.0,4.0,2010
FCA,9.375,FCA,8.0,0.0,26.0,2010
FCC,15.0,FCC,14.0,24.0,1.0,2010
FCSIC,12.625,FCSIC,13.0,0.0,8.0,2010
FDIC,1.0,FDIC,1.0,18.0,12.0,2010
FEC,,FEC,,0.0,0.0,2010
FERC,11.0,FERC,7.0,8.0,1.0,2010
FFIEC,0.0,FFIEC,0.0,0.0,0.0,2010
FHFA,89.0,FHFA,61.0,1.0,7.0,2010
FLRA,0.0,FLRA,0.0,0.0,0.0,2010
FMC,34.0,FMC,34.0,0.0,1.0,2010
FMCS,0.0,FMCS,0.0,0.0,0.0,2010
FMSHRC,0.0,FMSHRC,0.0,0.0,0.0,2010
FOMC,0.0,FOMC,0.0,0.0,7.0,2010
FRB,0.0,FRB,0.0,0.0,0.0,2010
FRTIB,0.0,FRTIB,0.0,0.0,0.0,2010
FTC,30.98,FTC,8.5,94.0,4.0,2010
GSA,8.0,GSA,9.0,11.0,17.0,2010
HHS,3.0,ACF,3.0,19.0,0.0,2010
HHS,0.0,AOA,0.0,0.0,0.0,2010
HHS,5.0,CMS,1.0,1.0,2.0,2010
HHS,1.0,OIG,1.0,3.0,0.0,2010
HHS,0.0,AHRQ,0.0,0.0,0.0,2010
HHS,0.0,CDC,0.0,4.0,0.0,2010
HHS,25.3,FDA,12.0,28.0,287.0,2010
HHS,6.0,HRSA,5.0,5.0,1.0,2010
HHS,10.0,IHS,10.0,0.0,1.0,2010
HHS,2.0,NIH,2.0,1.0,0.0,2010
HHS,0.0,SAMHSA,0.0,0.0,0.0,2010
HHS,0.0,OS,0.0,0.0,0.0,2010
HHS,5.0,OPHS/PSC,4.0,5.0,0.0,2010
HUD,60.0,HQ,125.0,113.0,16.0,2010
HUD,0.0,OIG,0.0,2.0,0.0,2010
HUD,15.0,R01,16.0,3.0,2.0,2010
HUD,0.0,R02,0.0,0.0,0.0,2010
HUD,16.0,R03,20.0,8.0,4.0,2010
HUD,63.0,R04,125.0,6.0,5.0,2010
HUD,5.0,R05,7.0,4.0,2.0,2010
HUD,19.0,R06,16.0,5.0,3.0,2010
HUD,0.0,R07,0.0,2.0,0.0,2010
HUD,75.0,R08,75.0,1.0,1.0,2010
HUD,24.0,R09,24.0,8.0,1.0,2010
HUD,0.0,R0X,0.0,4.0,0.0,2010
IAF,0.0,IAF,0.0,0.0,0.0,2010
IMLS,0.0,IMLS,0.0,0.0,0.0,2010
LSC,5.0,LSC,16.0,0.0,11.0,2010
MCC,0.0,MCC,0.0,0.0,0.0,2010
MSPB,0.0,OCB,0.0,0.0,0.0,2010
NARA,65.0,NARA,5.0,54.0,11.0,2010
NASA,0.0,ARC,0.0,0.0,0.0,2010
NASA,0.0,DFRC,0.0,0.0,0.0,2010
NASA,0.0,GRC,0.0,0.0,0.0,2010
NASA,0.0,GSFC,0.0,0.0,0.0,2010
NASA,0.0,HQ,0.0,0.0,1.0,2010
NASA,0.0,JPL,0.0,0.0,0.0,2010
NASA,10.0,JSC,10.0,0.0,1.0,2010
NASA,0.0,KSC,0.0,0.0,0.0,2010
NASA,0.0,LaRC,0.0,0.0,0.0,2010
NASA,0.0,MSFC,0.0,0.0,12.0,2010
NASA,29.0,NSSC,29.0,0.0,1.0,2010
NASA,0.0,OGC,0.0,0.0,0.0,2010
NASA,0.0,OIG,0.0,0.0,0.0,2010
NASA,0.0,SSC,0.0,0.0,0.0,2010
NCPC,0.0,NCPC,0.0,0.0,1.0,2010
NCUA,2.3,NCUA,1.5,4.0,12.0,2010
NEA,3.0,NEA,1.0,19.0,0.0,2010
NEH,,NEH,,1.0,6.0,2010
NIGC,10.75,NIGC,6.5,2.0,6.0,2010
NLRB,22.0,NLRB,18.0,2.0,6.0,2010
NMB,0.0,NMB,0.0,0.0,0.0,2010
NRPC,1.0,NRPC,1.0,1.0,2.0,2010
NSF,28.0,OGC,19.0,4.0,1.0,2010
NSF,0.0,OIG,0.0,0.0,0.0,2010
NTSB,3.5,HQ,3.5,0.0,2.0,2010
ODNI,0.0,ODNI,0.0,0.0,0.0,2010
OGE,0.0,OGE,0.0,0.0,0.0,2010
OMB,19.0,OMB,20.0,1.0,10.0,2010
ONDCP,0.0,OLC,0.0,0.0,0.0,2010
ONHIR,0.0,ONHIR,0.0,0.0,0.0,2010
OPIC,2.0,OPIC,6.0,2.0,0.0,2010
OPM,33.0,OPM,17.0,5.0,9.0,2010
OSC,134.0,OSC,186.0,3.0,0.0,2010
OSHRC,0.0,OSHRC,0.0,0.0,0.0,2010
OSTP,0.0,OSTP,0.0,0.0,0.0,2010
PBGC,2.0,PBGC,2.0,0.0,3.0,2010
PC,0.0,FOIA Office,0.0,0.0,0.0,2010
PC,0.0,OIG,0.0,0.0,0.0,2010
PRC,1.0,PRC,1.0,0.0,4.0,2010
SBA,12.0,SBA,8.0,1.0,1.0,2010
SEC,15.0,HQ,0.0,1.0,2.0,2010
SIGAR,0.0,SIGAR,0.0,0.0,0.0,2010
SIGIR,0.0,SIGIR,0.0,0.0,15.0,2010
SSA,5.0,SSA,5.0,18.0,0.0,2010
SSS,0.0,SSS,0.0,0.0,0.0,2010
State,18.0,DoS,7.0,98.0,1.0,2010
State,0.0,OIG,0.0,0.0,0.0,2010
STB,1.0,STB,1.0,1.0,0.0,2010
Treasury,,BEP,,0.0,0.0,2010
Treasury,,BPD,,0.0,0.0,2010
Treasury,53.0,DO,28.0,149.0,62.0,2010
Treasury,,FinCEN,,0.0,0.0,2010
Treasury,2.0,FMS,1.0,11.0,2.0,2010
Treasury,7.0,IRS,0.0,29.0,54.0,2010
Treasury,17.0,MINT,19.0,2.0,4.0,2010
Treasury,0.0,OCC,0.0,0.0,7.0,2010
Treasury,,OTS,,0.0,0.0,2010
Treasury,5.0,TIGTA,5.0,1.0,1.0,2010
Treasury,14.5,TTB,10.0,0.0,2.0,2010
TVA,3.0,TVA,1.0,1.0,16.0,2010
U.S. CPSC,23.0,U.S. CPSC,10.0,6.0,2.0,2010
U.S. DOL,0.0,ADJ BDS,0.0,0.0,0.0,2010
U.S. DOL,9.2,ALJ,3.0,6.0,10.0,2010
U.S. DOL,996.2,ASP,1158.0,13.0,0.0,2010
U.S. DOL,30.3,BLS,21.0,3.0,1.0,2010
U.S. DOL,25.0,CFO,9.0,4.0,0.0,2010
U.S. DOL,25.5,EBSA,25.0,2.0,0.0,2010
U.S. DOL,16.8,ETA,7.0,91.0,35.0,2010
U.S. DOL,10.3,ILAB,10.0,3.0,0.0,2010
U.S. DOL,49.7,MSHA,10.0,23.0,29.0,2010
U.S. DOL,0.0,OASAM,0.0,0.0,0.0,2010
U.S. DOL,0.0,OCIA,0.0,0.0,0.0,2010
U.S. DOL,2.0,ODEP,4.0,0.0,2.0,2010
U.S. DOL,33.9,OFCCP,32.0,20.0,13.0,2010
U.S. DOL,1.0,OIG,0.0,0.0,23.0,2010
U.S. DOL,14.2,OLMS,1.0,8.0,1.0,2010
U.S. DOL,0.0,OPA,0.0,0.0,0.0,2010
U.S. DOL,31.1,OSHA,8.0,102.0,179.0,2010
U.S. DOL,17.0,OWCP,10.0,18.0,15.0,2010
U.S. DOL,29.2,SOL,4.0,1.0,4.0,2010
U.S. DOL,0.0,VETS,0.0,0.0,0.0,2010
U.S. DOL,0.0,WB,0.0,0.0,0.0,2010
U.S. DOL,17.8,WHD,7.0,50.0,53.0,2010
US ADF,0.0,US ADF,0.0,0.0,0.0,2010
US RRB,0.0,OIG,0.0,0.0,0.0,2010
US RRB,7.0,RRB,7.0,0.0,3.0,2010
USAID,4.0,USAID,5.0,8.0,3.0,2010
USCCR,0.0,USCCR,0.0,0.0,0.0,2010
USDA,35.0,AMS,22.0,0.0,13.0,2010
USDA,0.0,APHIS,0.0,0.0,0.0,2010
USDA,0.0,ASCR,0.0,0.0,0.0,2010
USDA,0.0,DM,0.0,0.0,0.0,2010
USDA,0.0,FAS,0.0,0.0,0.0,2010
USDA,0.0,FNCS,0.0,0.0,4.0,2010
USDA,11.1,FS,3.0,29.0,279.0,2010
USDA,1.0,FSA,1.0,31.0,849.0,2010
USDA,0.0,FSIS,0.0,0.0,0.0,2010
USDA,0.0,GIPSA,0.0,0.0,0.0,2010
USDA,0.0,NAD,0.0,0.0,0.0,2010
USDA,1.0,NRCS,1.0,0.0,1.0,2010
USDA,0.0,OBPA,0.0,0.0,0.0,2010
USDA,0.0,OCFO,0.0,0.0,0.0,2010
USDA,0.0,OGC,0.0,0.0,0.0,2010
USDA,0.0,OIG,0.0,0.0,0.0,2010
USDA,1.0,OSEC,1.0,0.0,16.0,2010
USDA,0.0,RD,0.0,0.0,0.0,2010
USDA,0.0,REE,0.0,0.0,0.0,2010
USDA,5.0,RMA,5.0,0.0,1.0,2010
USIBWC,1.0,USIBWC,1.0,0.0,11.0,2010
USITC,1.0,USITC,2.0,0.0,9.0,2010
USNRC,0.0,USNRC,0.0,11.0,22.0,2010
USPS,,PS,,0.0,0.0,2010
USPS,,OIG,,0.0,0.0,2010
USPS,,PIS,,0.0,0.0,2010
USTDA,0.0,USTDA,0.0,0.0,0.0,2010
USTR,2.0,USTR,3.0,0.0,6.0,2010
VA,0.0,Admin,0.0,0.0,0.0,2010
