10th,2nd,3rd,4th,5th,6th,7th,8th,9th,Agency,Component,Oldest Request,Unnamed: 1,Year
,2010-07-13,,,,,,,,DOI,OS,2010-02-01,Date of Receipt,2010
,56,,,,,,,,DOI,OS,169,Number of Days Pending,2010
,2010-03-03,2010-07-26,,,,,,,DOJ,Office of the AG,2009-12-28,Date of Receipt,2010
,148,47,,,,,,,DOJ,Office of the AG,192,Number of Days Pending,2010
,2010-03-10,2010-03-25,2010-07-28,,,,,,DOJ,Office of the DAG,2010-01-28,Date of Receipt,2010
,143,132,45,,,,,,DOJ,Office of the DAG,171,Number of Days Pending,2010
,,,,,,,,,DOJ,Criminal,2010-04-21,Date of Receipt,2010
,,,,,,,,,DOJ,Criminal,113,Number of Days Pending,2010
2010-05-14,2010-02-18,2010-03-09,2010-03-09,2010-03-10,2010-04-13,2010-04-26,2010-05-11,2010-05-13,DOJ,DEA,2007-12-20,Date of Receipt,2010
96,157,144,144,143,119,110,99,97,DOJ,DEA,709,Number of Days Pending,2010
,2010-01-13,2010-02-24,2010-07-13,2010-09-15,2010-09-15,2010-09-24,2010-09-28,,DOJ,EOUSA,2010-01-07,Date of Receipt,2010
,181,153,56,11,11,4,2,,DOJ,EOUSA,185,Number of Days Pending,2010
2010-02-23,2009-10-29,2009-12-18,2009-12-30,2009-12-30,2009-12-30,2010-01-14,2010-02-19,2010-02-22,DOJ,FBI,2009-10-28,Date of Receipt,2010
154,231,197,190,190,190,180,156,155,DOJ,FBI,232,Number of Days Pending,2010
,,,,,,,,,DOJ,FCSC,2010-07-26,Date of Receipt,2010
,,,,,,,,,DOJ,FCSC,47,Number of Days Pending,2010
,2010-09-24,,,,,,,,DOJ,JMD,2010-02-01,Date of Receipt,2010
,4,,,,,,,,DOJ,JMD,169,Number of Days Pending,2010
,,,,,,,,,DOJ,OIP,2009-10-27,Date of Receipt,2010
,,,,,,,,,DOJ,OIP,233,Number of Days Pending,2010
,,,,,,,,,DOJ,OLA,2010-01-28,Date of Receipt,2010
,,,,,,,,,DOJ,OLA,171,Number of Days Pending,2010
,2010-03-10,2010-08-11,,,,,,,DOJ,Public Affairs,2010-01-28,Date of Receipt,2010
,143,35,,,,,,,DOJ,Public Affairs,171,Number of Days Pending,2010
,,,,,,,,,DOT,FAA,2009-09-03,Date of Receipt,2010
,,,,,,,,,DOT,FAA,265,Number of Days Pending,2010
2010-01-06,2006-12-20,2008-09-23,2008-09-25,2009-08-19,2009-11-09,2009-12-02,2009-12-15,2010-01-04,EPA,HQ,2006-01-30,Date of Receipt,2010
183,948,506,505,280,223,207,198,185,EPA,HQ,1171,Number of Days Pending,2010
,2010-04-28,2010-04-29,2010-07-13,,,,,,ODNI,ODNI,2009-11-05,Date of Receipt,2010
,156,155,79,,,,,,ODNI,ODNI,330,Number of Days Pending,2010
,2010-09-17,,,,,,,,OMB,OMB,2010-09-10,Date of Receipt,2010
,9,,,,,,,,OMB,OMB,14,Number of Days Pending,2010
,2010-09-21,,,,,,,,OSTP,OSTP,2010-07-13,Date of Receipt,2010
,8,,,,,,,,OSTP,OSTP,57,Number of Days Pending,2010
,,,,,,,,,PC,FOIA Office,2010-09-16,Date of Receipt,2010
,,,,,,,,,PC,FOIA Office,63,Number of Days Pending,2010
,,,,,,,,,SIGAR,SIGAR,2010-08-18,Date of Receipt,2010
,,,,,,,,,SIGAR,SIGAR,43,Number of Days Pending,2010
2005-08-16,2004-08-13,2004-08-13,2005-02-10,2005-03-22,2005-04-22,2005-07-05,2005-07-14,2005-08-04,State,DoS,2004-08-13,Date of Receipt,2010
1286,1538,1538,1416,1389,1366,1313,1309,1294,State,DoS,1538,Number of Days Pending,2010
2010-09-30,2009-09-14,2009-09-28,2010-01-19,2010-04-15,2010-04-22,2010-06-22,2010-06-22,2010-08-09,Treasury,DO,2009-07-14,Date of Receipt,2010
1,274,264,183,121,116,73,73,39,Treasury,DO,318,Number of Days Pending,2010
,,,,,,,,,Treasury,FMS,2010-09-14,Date of Receipt,2010
,,,,,,,,,Treasury,FMS,12,Number of Days Pending,2010
,2010-09-21,2010-09-23,2010-09-24,2010-09-24,2010-09-29,,,,Treasury,IRS,2010-07-08,Date of Receipt,2010
,7,5,4,4,1,,,,Treasury,IRS,59,Number of Days Pending,2010
,,,,,,,,,Treasury,TIGTA,2010-01-15,Date of Receipt,2010
,,,,,,,,,Treasury,TIGTA,175,Number of Days Pending,2010
,2010-08-13,,,,,,,,U.S. DOL,OLMS,2010-08-13,Date of Receipt,2010
,31,,,,,,,,U.S. DOL,OLMS,31,Number of Days Pending,2010
,2010-08-12,2010-08-13,2010-08-13,2010-08-13,2010-08-20,2010-09-23,,,U.S. DOL,OSHA,2010-08-02,Date of Receipt,2010
,32,31,31,31,28,2,,,U.S. DOL,OSHA,34,Number of Days Pending,2010
,,,,,,,,,USAID,USAID,2008-12-15,Date of Receipt,2010
,,,,,,,,,USAID,USAID,529,Number of Days Pending,2010
,,,,,,,,,USDA,FAS,2010-09-27,Date of Receipt,2010
,,,,,,,,,USDA,FAS,3,Number of Days Pending,2010
,,,,,,,,,USDA,FSA,2008-09-03,Date of Receipt,2010
,,,,,,,,,USDA,FSA,522,Number of Days Pending,2010
,,,,,,,,,USTR,USTR,2010-09-28,Date of Receipt,2010
,,,,,,,,,USTR,USTR,2,Number of Days Pending,2010
,,,,,,,,,VA,VHA,2009-08-10,Date of Receipt,2010
,,,,,,,,,VA,VHA,287,Number of Days Pending,2010
,2011-07-08,2011-09-15,2011-09-26,2011-09-27,,,,,CEQ,CEQ,2011-05-05,Date of Receipt,2011
,60,12,5,4,,,,,CEQ,CEQ,104,Number of Days Pending,2011
2006-11-03,2004-06-03,2005-02-11,2006-02-13,2006-06-08,2006-08-10,2006-08-25,2006-09-08,2006-09-13,CIA,CIA,2003-11-24,Date of Receipt,2011
1793,2676,2423,2056,1941,1878,1863,1849,1844,CIA,CIA,2868,Number of Days Pending,2011
,,,,,,,,,DHS,CBP,2011-09-12,Date of Receipt,2011
,,,,,,,,,DHS,CBP,14,Number of Days Pending,2011
2011-07-27,2010-06-15,2010-06-24,2010-09-03,2010-10-28,2011-04-20,2011-05-05,2011-05-12,2011-07-07,DHS,TSA,2009-12-16,Date of Receipt,2011
48,329,322,272,235,117,106,101,62,DHS,TSA,449,Number of Days Pending,2011
2011-04-26,2010-03-11,2010-06-28,2010-08-04,2010-09-08,2011-01-13,2011-02-08,2011-03-21,2011-04-08,DHS,USCG,2009-12-24,Date of Receipt,2011
111,394,318,292,268,182,165,137,123,DHS,USCG,447,Number of Days Pending,2011
2011-09-21,2010-10-08,2010-10-08,2010-10-08,2011-03-10,2011-05-10,2011-06-14,2011-06-14,2011-08-03,DHS,USSS,2010-06-20,Date of Receipt,2011
8,248,248,248,146,103,79,79,43,DHS,USSS,325,Number of Days Pending,2011
,2011-04-27,2011-05-10,2011-08-02,2011-09-13,,,,,DOC,ITA,2011-03-18,Date of Receipt,2011
,110,99,43,14,,,,,DOC,ITA,133,Number of Days Pending,2011
,2011-08-22,,,,,,,,DOC,NOAA,2011-03-14,Date of Receipt,2011
,49,,,,,,,,DOC,NOAA,137,Number of Days Pending,2011
2008-12-18,2007-10-05,2007-10-17,2007-12-18,2008-03-13,2008-04-25,2008-04-25,2008-08-01,2008-11-26,DoD,AF,2007-04-11,Date of Receipt,2011
698,998,991,949,892,861,861,793,713,DoD,AF,1122,Number of Days Pending,2011
2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,DoD,AFRICOM,2010-11-29,Date of Receipt,2011
178,178,178,178,178,178,178,178,178,DoD,AFRICOM,212,Number of Days Pending,2011
2011-09-30,2011-05-26,2011-08-31,2011-09-15,2011-09-15,2011-09-15,2011-09-19,2011-09-22,2011-09-22,DoD,ARMY,2007-04-10,Date of Receipt,2011
0,88,21,11,11,11,9,6,6,DoD,ARMY,1123,Number of Days Pending,2011
2011-03-01,2009-07-01,2010-02-05,2010-04-07,2010-04-12,2010-04-29,2010-08-03,2010-09-02,2010-11-22,DoD,CENTCOM,2009-06-08,Date of Receipt,2011
150,565,416,374,371,358,292,270,216,DoD,CENTCOM,582,Number of Days Pending,2011
2005-03-28,2000-12-18,2001-12-17,2002-01-01,2002-03-12,2002-12-10,2004-03-15,2004-09-02,2004-12-30,DoD,DIA,1999-03-04,Date of Receipt,2011
1633,2701,2451,2442,2395,2206,1892,1772,1692,DoD,DIA,3152,Number of Days Pending,2011
,2011-08-03,,,,,,,,DoD,DISA,2011-08-03,Date of Receipt,2011
,41,,,,,,,,DoD,DISA,41,Number of Days Pending,2011
,,,,,,,,,DoD,EUCOM,2002-04-11,Date of Receipt,2011
,,,,,,,,,DoD,EUCOM,2373,Number of Days Pending,2011
2010-03-08,2008-05-15,2008-11-13,2009-01-30,2009-11-09,2010-01-27,2010-02-08,2010-02-08,2010-03-01,DoD,NAVY,2007-12-27,Date of Receipt,2011
396,847,722,671,475,423,415,415,401,DoD,NAVY,944,Number of Days Pending,2011
2011-05-27,2010-09-20,2010-09-20,2010-09-28,2010-09-28,2010-09-30,2010-10-05,2011-04-29,2011-05-26,DoD,NGA,2010-08-25,Date of Receipt,2011
87,259,259,253,253,251,248,107,88,DoD,NGA,276,Number of Days Pending,2011
,2011-05-16,2011-05-27,2011-07-25,,,,,,DoD,NRO,2011-04-21,Date of Receipt,2011
,96,87,48,,,,,,DoD,NRO,113,Number of Days Pending,2011
2010-02-25,2008-09-12,2009-07-28,2009-07-28,2009-07-28,2009-07-30,2009-10-28,2009-11-20,2010-01-14,DoD,NSA,2005-12-15,Date of Receipt,2011
403,764,547,547,547,545,483,467,431,DoD,NSA,1451,Number of Days Pending,2011
2001-01-08,2000-05-02,2000-08-01,2000-08-01,2000-08-01,2000-09-13,2000-11-20,2000-11-29,2000-12-11,DoD,OSD/JS,2000-01-31,Date of Receipt,2011
2688,2859,2796,2796,2796,2766,2720,2714,2706,DoD,OSD/JS,2924,Number of Days Pending,2011
,2009-08-03,2009-08-27,2010-11-15,2011-07-26,2011-08-15,,,,DoD,PACOM,2009-01-20,Date of Receipt,2011
,543,525,221,47,33,,,,DoD,PACOM,678,Number of Days Pending,2011
2010-10-06,2007-06-20,2007-12-06,2008-10-20,2009-06-03,2009-06-15,2010-03-04,2010-06-15,2010-09-13,DoD,SOCOM,2006-01-23,Date of Receipt,2011
247,1073,957,739,585,577,398,326,264,DoD,SOCOM,1427,Number of Days Pending,2011
2011-01-18,2010-05-09,2010-05-11,2010-05-11,2010-05-17,2010-05-24,2010-05-28,2010-12-17,2011-01-04,DoD,SOUTHCOM,2008-08-07,Date of Receipt,2011
179,356,350,350,346,341,337,198,188,DoD,SOUTHCOM,789,Number of Days Pending,2011
,,,,,,,,,DoD,STRATCOM,2011-09-29,Date of Receipt,2011
,,,,,,,,,DoD,STRATCOM,1,Number of Days Pending,2011
,,,,,,,,,DoD,TRANSCOM,2011-09-13,Date of Receipt,2011
,,,,,,,,,DoD,TRANSCOM,13,Number of Days Pending,2011
,2011-08-17,,,,,,,,DoD,TRICARE,2011-04-13,Date of Receipt,2011
,31,,,,,,,,DoD,TRICARE,119,Number of Days Pending,2011
2010-06-28,2009-11-18,2010-01-29,2010-02-01,2010-03-12,2010-03-24,2010-03-31,2010-04-30,2010-05-25,DOE,HQ,2006-12-05,Date of Receipt,2011
317,469,421,420,392,384,379,357,340,DOE,HQ,1137,Number of Days Pending,2011
,2010-07-13,2011-07-06,,,,,,,DOI,OS,2010-02-01,Date of Receipt,2011
,307,61,,,,,,,DOI,OS,420,Number of Days Pending,2011
,2011-09-28,,,,,,,,DOJ,Civil Rights,2011-09-22,Date of Receipt,2011
,2,,,,,,,,DOJ,Civil Rights,6,Number of Days Pending,2011
,2011-06-27,2011-06-29,2011-07-06,2011-07-07,2011-09-28,,,,DOJ,Criminal,2011-05-23,Date of Receipt,2011
,67,65,61,10,2,,,,DOJ,Criminal,91,Number of Days Pending,2011
2011-08-09,2011-06-21,2011-06-22,2011-07-01,2011-07-07,2011-07-08,2011-07-08,2011-07-25,2011-07-25,DOJ,DEA,2011-04-15,Date of Receipt,2011
37,71,70,63,60,59,59,48,48,DOJ,DEA,117,Number of Days Pending,2011
,2011-08-15,2011-09-02,2011-09-08,,,,,,DOJ,EOUSA,2011-07-15,Date of Receipt,2011
,33,19,16,,,,,,DOJ,EOUSA,54,Number of Days Pending,2011
2011-03-17,2009-09-01,2009-09-01,2010-07-12,2010-10-05,2010-11-17,2010-11-29,2011-01-26,2011-03-03,DOJ,FBI,2009-08-17,Date of Receipt,2011
138,522,522,308,248,219,212,173,148,DOJ,FBI,533,Number of Days Pending,2011
,2011-06-16,,,,,,,,DOJ,JMD,2010-02-01,Date of Receipt,2011
,74,,,,,,,,DOJ,JMD,420,Number of Days Pending,2011
,2011-09-26,,,,,,,,DOJ,USNCB,2011-07-27,Date of Receipt,2011
,4,,,,,,,,DOJ,USNCB,46,Number of Days Pending,2011
,2011-08-22,,,,,,,,DOT,OIG,2011-03-21,Date of Receipt,2011
,28,,,,,,,,DOT,OIG,136,Number of Days Pending,2011
2011-08-02,2008-09-23,2009-12-02,2010-01-04,2010-04-05,2010-06-02,2010-09-28,2010-09-29,2010-10-21,EPA,HQ,2006-12-20,Date of Receipt,2011
41,757,458,435,373,333,252,251,236,EPA,HQ,1199,Number of Days Pending,2011
,,,,,,,,,NSF,OGC,2010-10-01,Date of Receipt,2011
,,,,,,,,,NSF,OGC,251,Number of Days Pending,2011
,2011-09-19,2011-09-29,2011-09-29,,,,,,OMB,OMB,2011-09-07,Date of Receipt,2011
,9,1,1,,,,,,OMB,OMB,17,Number of Days Pending,2011
,,,,,,,,,PC,FOIA Office,2010-09-16,Date of Receipt,2011
,,,,,,,,,PC,FOIA Office,305,Number of Days Pending,2011
,,,,,,,,,SEC,SEC,2011-07-28,Date of Receipt,2011
,,,,,,,,,SEC,SEC,65,Number of Days Pending,2011
2006-11-30,2006-01-20,2006-02-03,2006-06-08,2006-08-30,2006-09-01,2006-10-13,2006-11-22,2006-11-28,State,DoS,2005-04-22,Date of Receipt,2011
1220,1437,1427,1340,1282,1280,1252,1225,1222,State,DoS,1623,Number of Days Pending,2011
2011-09-26,2011-02-01,2011-04-27,2011-05-18,2011-05-27,2011-07-14,2011-08-16,2011-08-23,2011-09-09,Treasury,DO,2010-09-30,Date of Receipt,2011
5,170,110,95,88,56,33,28,16,Treasury,DO,252,Number of Days Pending,2011
,2011-09-13,,,,,,,,Treasury,FMS,2011-08-08,Date of Receipt,2011
,14,,,,,,,,Treasury,FMS,39,Number of Days Pending,2011
,2011-07-06,2011-07-07,2011-07-08,2011-07-08,2011-07-11,2011-07-18,2011-07-21,2011-08-23,Treasury,IRS,2011-07-05,Date of Receipt,2011
,62,61,60,60,59,54,51,28,Treasury,IRS,63,Number of Days Pending,2011
,,,,,,,,,U.S. DOL,ADJ BDS,2011-03-22,Date of Receipt,2011
,,,,,,,,,U.S. DOL,ADJ BDS,120,Number of Days Pending,2011
,,,,,,,,,U.S. DOL,ASP,2011-04-29,Date of Receipt,2011
,,,,,,,,,U.S. DOL,ASP,106,Number of Days Pending,2011
,,,,,,,,,U.S. DOL,MSHA,2010-08-13,Date of Receipt,2011
,,,,,,,,,U.S. DOL,MSHA,276,Number of Days Pending,2011
,2011-09-16,,,,,,,,U.S. DOL,OSHA,2011-08-01,Date of Receipt,2011
,6,,,,,,,,U.S. DOL,OSHA,44,Number of Days Pending,2011
,,,,,,,,,U.S. DOL,WHD,2011-08-18,Date of Receipt,2011
,,,,,,,,,U.S. DOL,WHD,31,Number of Days Pending,2011
,2011-08-10,2011-08-15,2011-08-30,,,,,,USAID,USAID,2011-08-10,Date of Receipt,2011
,36,33,22,,,,,,USAID,USAID,36,Number of Days Pending,2011
,,,,,,,,,USDA,FS,2011-09-29,Date of Receipt,2011
,,,,,,,,,USDA,FS,1,Number of Days Pending,2011
,,,,,,,,,USDA,FSA,2008-09-03,Date of Receipt,2011
,,,,,,,,,USDA,FSA,773,Number of Days Pending,2011
,,,,,,,,,USDA,GIPSA,2011-09-27,Date of Receipt,2011
,,,,,,,,,USDA,GIPSA,3,Number of Days Pending,2011
,2011-04-27,2011-05-24,2011-07-12,2011-07-22,2011-08-05,2011-09-16,2011-09-30,,USTR,USTR,2011-03-10,Date of Receipt,2011
,156,129,80,70,56,14,0,,USTR,USTR,203,Number of Days Pending,2011
,,,,,,,,,VA,VHA,2011-09-29,Date of Receipt,2011
,,,,,,,,,VA,VHA,1,Number of Days Pending,2011
,2012-07-03,,,,,,,,CEQ,CEQ,2012-01-26,Date of Receipt,2012
,62,,,,,,,,CEQ,CEQ,173,Number of Days Pending,2012
2007-04-19,2005-02-11,2006-02-13,2006-06-08,2006-08-10,2006-08-25,2006-11-03,2007-02-09,2007-04-17,CIA,CIA,2003-11-24,Date of Receipt,2012
1992,2789,2422,2307,2244,2229,2159,2061,1994,CIA,CIA,3234,Number of Days Pending,2012
,2012-04-10,2012-05-31,2012-06-28,2012-07-19,,,,,DHS,CBP,2012-04-09,Date of Receipt,2012
,121,85,65,51,,,,,DHS,CBP,122,Number of Days Pending,2012
,2011-08-23,,,,,,,,DHS,FEMA,2011-03-27,Date of Receipt,2012
,280,,,,,,,,DHS,FEMA,385,Number of Days Pending,2012
,2012-08-29,2012-09-18,,,,,,,DHS,I&A,2012-04-03,Date of Receipt,2012
,22,9,,,,,,,DHS,I&A,126,Number of Days Pending,2012
,2012-07-19,2012-07-30,2012-09-07,,,,,,DHS,ICE,2012-05-04,Date of Receipt,2012
,51,44,16,,,,,,DHS,ICE,103,Number of Days Pending,2012
,2012-08-16,2012-09-26,,,,,,,DHS,PRIV,2011-11-20,Date of Receipt,2012
,31,3,,,,,,,DHS,PRIV,218,Number of Days Pending,2012
2012-07-23,2010-09-03,2010-10-28,2011-04-20,2011-09-15,2011-09-16,2011-09-16,2012-03-30,2012-04-10,DHS,TSA,2010-06-15,Date of Receipt,2012
49,523,486,368,263,262,262,128,121,DHS,TSA,580,Number of Days Pending,2012
,2011-03-21,2011-05-05,2012-01-26,2012-05-03,2012-06-06,,,,DHS,USCG,2010-10-05,Date of Receipt,2012
,390,357,173,104,81,,,,DHS,USCG,502,Number of Days Pending,2012
,2012-09-24,2012-09-26,,,,,,,DHS,USCIS,2012-08-24,Date of Receipt,2012
,5,3,,,,,,,DHS,USCIS,25,Number of Days Pending,2012
,2010-10-08,2010-10-08,2011-05-10,2011-09-21,2012-01-13,2012-01-13,2012-02-08,2012-02-08,DHS,USSS,2010-10-08,Date of Receipt,2012
,499,499,354,259,181,181,164,164,DHS,USSS,499,Number of Days Pending,2012
,,,,,,,,,DNFSB,OGC,2012-08-27,Date of Receipt,2012
,,,,,,,,,DNFSB,OGC,23,Number of Days Pending,2012
,2012-05-22,,,,,,,,DOC,ITA,2011-08-02,Date of Receipt,2012
,91,,,,,,,,DOC,ITA,293,Number of Days Pending,2012
,,,,,,,,,DOC,NIST,2012-06-22,Date of Receipt,2012
,,,,,,,,,DOC,NIST,69,Number of Days Pending,2012
,,,,,,,,,DOC,NOAA,2010-09-01,Date of Receipt,2012
,,,,,,,,,DOC,NOAA,605,Number of Days Pending,2012
,,,,,,,,,DOC,NTIA,2012-09-20,Date of Receipt,2012
,,,,,,,,,DOC,NTIA,6,Number of Days Pending,2012
2011-02-15,2008-12-18,2008-12-18,2009-03-25,2009-07-14,2010-04-22,2010-06-17,2010-07-06,2010-12-15,DoD,AF,2008-08-01,Date of Receipt,2012
410,949,949,885,808,614,575,563,451,DoD,AF,1045,Number of Days Pending,2012
2011-11-29,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,DoD,AFRICOM,2011-01-19,Date of Receipt,2012
212,429,429,429,429,429,429,429,429,DoD,AFRICOM,429,Number of Days Pending,2012
2012-09-07,2012-07-06,2012-07-10,2012-07-11,2012-07-19,2012-08-20,2012-08-27,2012-09-05,2012-09-06,DoD,ARMY,2012-07-06,Date of Receipt,2012
15,59,57,56,50,28,23,17,16,DoD,ARMY,59,Number of Days Pending,2012
2012-06-06,2011-12-12,2012-02-13,2012-03-21,2012-04-12,2012-05-16,2012-05-22,2012-05-23,2012-05-30,DoD,CENTCOM,2011-09-14,Date of Receipt,2012
80,203,160,134,118,94,90,89,85,DoD,CENTCOM,263,Number of Days Pending,2012
2005-12-30,2004-12-30,2005-03-30,2005-04-13,2005-06-16,2005-06-16,2005-09-19,2005-11-17,2005-11-18,DoD,DIA,2002-05-13,Date of Receipt,2012
1693,1944,1883,1873,1828,1828,1763,1722,1721,DoD,DIA,2603,Number of Days Pending,2012
,2012-05-03,2012-07-12,2012-09-18,,,,,,DoD,DISA,2012-03-06,Date of Receipt,2012
,103,55,8,,,,,,DoD,DISA,145,Number of Days Pending,2012
,2012-09-13,2012-09-13,,,,,,,DoD,DLA,2012-06-20,Date of Receipt,2012
,11,11,,,,,,,DoD,DLA,70,Number of Days Pending,2012
,,,,,,,,,DoD,DoD IG,2012-04-03,Date of Receipt,2012
,,,,,,,,,DoD,DoD IG,125,Number of Days Pending,2012
,,,,,,,,,DoD,EUCOM,2002-04-11,Date of Receipt,2012
,,,,,,,,,DoD,EUCOM,2625,Number of Days Pending,2012
2011-09-01,2009-11-09,2010-10-04,2010-12-15,2011-01-01,2011-02-09,2011-05-05,2011-06-24,2011-08-19,DoD,NAVY,2008-11-13,Date of Receipt,2012
271,726,500,451,440,414,354,319,280,DoD,NAVY,974,Number of Days Pending,2012
2012-04-25,2010-10-05,2011-07-14,2011-09-20,2011-12-09,2011-12-28,2011-12-29,2011-12-29,2012-03-30,DoD,NGA,2009-09-14,Date of Receipt,2012
109,499,306,259,204,191,190,190,127,DoD,NGA,765,Number of Days Pending,2012
,2012-06-27,,,,,,,,DoD,NORTHCOM,2012-03-20,Date of Receipt,2012
,65,,,,,,,,DoD,NORTHCOM,135,Number of Days Pending,2012
,,,,,,,,,DoD,NRO,2012-06-14,Date of Receipt,2012
,,,,,,,,,DoD,NRO,74,Number of Days Pending,2012
2010-09-09,2009-07-28,2009-11-20,2010-04-28,2010-04-28,2010-05-05,2010-05-11,2010-08-05,2010-09-07,DoD,NSA,2008-09-12,Date of Receipt,2012
517,798,718,610,610,605,601,541,519,DoD,NSA,1016,Number of Days Pending,2012
2004-02-25,2002-04-16,2002-07-16,2002-08-30,2002-10-03,2002-10-09,2003-02-14,2003-10-21,2004-01-22,DoD,OSD/JS,2001-01-08,Date of Receipt,2012
2157,2622,2559,2526,2503,2499,2413,2241,2180,DoD,OSD/JS,2940,Number of Days Pending,2012
,2009-08-03,2009-08-27,2012-01-03,2012-09-07,,,,,DoD,PACOM,2009-01-20,Date of Receipt,2012
,794,776,188,15,,,,,DoD,PACOM,929,Number of Days Pending,2012
2011-05-03,2007-12-06,2009-06-03,2009-06-15,2010-09-13,2010-10-06,2010-11-23,2011-01-04,2011-04-05,DoD,SOCOM,2007-06-20,Date of Receipt,2012
356,1209,836,828,515,498,466,439,376,DoD,SOCOM,1325,Number of Days Pending,2012
2011-11-10,2010-03-03,2010-06-30,2011-01-04,2011-04-28,2011-06-30,2011-07-14,2011-10-19,2011-11-02,DoD,SOUTHCOM,2010-01-04,Date of Receipt,2012
223,650,566,439,359,315,306,239,229,DoD,SOUTHCOM,690,Number of Days Pending,2012
,2012-03-06,2012-05-25,2012-07-11,2012-07-18,2012-07-18,2012-07-30,2012-08-22,2012-09-13,DoD,STRATCOM,2009-02-17,Date of Receipt,2012
,145,87,56,51,51,43,26,11,DoD,STRATCOM,910,Number of Days Pending,2012
2011-06-01,2010-06-29,2010-07-14,2010-08-27,2011-01-28,2011-02-02,2011-04-07,2011-04-07,2011-04-08,DOE,HQ,2010-06-28,Date of Receipt,2012
335,566,556,524,421,418,372,372,371,DOE,HQ,567,Number of Days Pending,2012
,2012-04-25,2012-04-26,2012-05-31,2012-06-14,2012-07-16,2012-07-16,2012-07-16,2012-07-17,DOE,NNSA,2012-04-24,Date of Receipt,2012
,109,108,84,74,53,53,53,52,DOE,NNSA,110,Number of Days Pending,2012
,,,,,,,,,DOJ,ATF,2012-06-05,Date of Receipt,2012
,,,,,,,,,DOJ,ATF,81,Number of Days Pending,2012
2012-09-19,2012-01-24,2012-02-15,2012-05-03,2012-07-24,2012-08-10,2012-08-15,2012-09-13,2012-09-17,DOJ,Criminal,2011-11-15,Date of Receipt,2012
7,174,158,103,47,34,31,11,9,DOJ,Criminal,220,Number of Days Pending,2012
2012-08-27,2012-07-26,2012-07-31,2012-08-01,2012-08-20,2012-08-20,2012-08-20,2012-08-23,2012-08-27,DOJ,DEA,2012-07-10,Date of Receipt,2012
23,45,42,41,28,28,28,25,23,DOJ,DEA,57,Number of Days Pending,2012
,,,,,,,,,DOJ,EOIR,2012-09-17,Date of Receipt,2012
,,,,,,,,,DOJ,EOIR,9,Number of Days Pending,2012
,2012-04-04,2012-07-05,2012-09-10,2012-09-10,2012-09-17,,,,DOJ,EOUSA,2012-03-13,Date of Receipt,2012
,124,60,14,14,9,,,,DOJ,EOUSA,140,Number of Days Pending,2012
2012-01-05,2011-09-06,2011-11-14,2011-11-21,2011-12-05,2011-12-09,2011-12-12,2011-12-21,2011-12-22,DOJ,FBI,2011-07-23,Date of Receipt,2012
186,268,221,216,207,203,202,195,194,DOJ,FBI,299,Number of Days Pending,2012
,,,,,,,,,DOJ,OLC,2012-09-24,Date of Receipt,2012
,,,,,,,,,DOJ,OLC,4,Number of Days Pending,2012
,,,,,,,,,DOJ,OPR,2011-11-07,Date of Receipt,2012
,,,,,,,,,DOJ,OPR,225,Number of Days Pending,2012
,,,,,,,,,DOT,OIG,2012-09-27,Date of Receipt,2012
,,,,,,,,,DOT,OIG,1,Number of Days Pending,2012
,,,,,,,,,DOT,PHMSA,2012-04-20,Date of Receipt,2012
,,,,,,,,,DOT,PHMSA,112,Number of Days Pending,2012
2012-05-06,2009-12-02,2010-04-05,2010-09-28,2010-09-29,2010-10-21,2011-10-20,2011-12-28,2012-03-02,EPA,HQ,2006-12-20,Date of Receipt,2012
94,709,624,504,503,488,257,190,145,EPA,HQ,1450,Number of Days Pending,2012
,,,,,,,,,FCC,FCC,2012-11-01,Date of Receipt,2012
,,,,,,,,,FCC,FCC,230,Number of Days Pending,2012
,,,,,,,,,FRTIB,FRTIB,2012-08-22,Date of Receipt,2012
,,,,,,,,,FRTIB,FRTIB,49,Number of Days Pending,2012
,2012-09-24,,,,,,,,ODNI,ODNI,2012-05-10,Date of Receipt,2012
,7,,,,,,,,ODNI,ODNI,144,Number of Days Pending,2012
,2012-09-27,,,,,,,,OMB,OMB,2012-09-07,Date of Receipt,2012
,1,,,,,,,,OMB,OMB,15,Number of Days Pending,2012
,,,,,,,,,OPM,OPM,2012-03-27,Date of Receipt,2012
,,,,,,,,,OPM,OPM,140,Number of Days Pending,2012
2007-05-21,2007-01-11,2007-02-02,2007-03-06,2007-03-16,2007-03-23,2007-04-02,2007-04-09,2007-04-23,State,DoS,2006-12-19,Date of Receipt,2012
1400,1492,1477,1454,1447,1442,1435,1430,1420,State,DoS,1509,Number of Days Pending,2012
,2011-08-23,2012-01-25,2012-02-01,2012-09-05,2012-09-25,2012-09-27,2012-09-28,,Treasury,DO,2011-02-01,Date of Receipt,2012
,278,265,141,18,4,2,1,,Treasury,DO,420,Number of Days Pending,2012
,2012-07-17,2012-07-17,2012-07-18,2012-08-22,2012-09-05,2012-09-05,2012-09-27,,Treasury,FMS,2012-03-29,Date of Receipt,2012
,52,52,51,26,17,17,1,,Treasury,FMS,128,Number of Days Pending,2012
,2012-09-05,2012-09-05,,,,,,,Treasury,IRS,2012-08-30,Date of Receipt,2012
