Year,Agency,Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year
2014,DOE,NR,0,0,0,0
2014,DOE,NRLFO,0,0,0,0
2014,DOE,ORO,0,0,0,0
2014,DOE,OSTI,0,0,0,0
2014,DOE,ROO,0,0,0,0
2014,DOE,SEPA,0,0,0,0
2014,DOE,SPR,0,0,0,0
2014,DOE,SRO,0,0,0,0
2014,DOE,SWPA,0,0,0,0
2014,DOE,WAPA,0,0,0,0
2014,DOI,FOIA/PA Appeals,197,165,90,272
2014,DOJ,OIP,593,3203,3093,703
2014,DOJ,USPC,1,6,7,0
2014,DOT,FAA,32,49,60,21
2014,DOT,FHWA,10,19,27,2
2014,DOT,FMCSA,1,3,3,1
2014,DOT,FRA,1,1,1,1
2014,DOT,FTA,2,5,6,1
2014,DOT,MARAD,0,3,2,1
2014,DOT,NHTSA,0,9,9,0
2014,DOT,OIG,3,0,2,1
2014,DOT,OST,0,6,5,1
2014,DOT,PHMSA,0,3,3,0
2014,DOT,RITA,1,1,2,0
2014,DOT,SLSDC,0,0,0,0
2014,ED,OCTAE,0,0,0,0
2014,ED,OSHS,1,0,0,1
2014,ED,FSA,10,11,6,15
2014,ED,IES,1,0,0,1
2014,ED,IES-NAGB,0,0,0,0
2014,ED,M,5,3,1,7
2014,ED,OCFO,0,0,0,0
2014,ED,OCFO-CAM,1,0,0,1
2014,ED,OCIO,1,0,0,1
2014,ED,OCO,0,0,0,0
2014,ED,OCR,3,4,1,6
2014,ED,OCR-1 Boston,0,2,0,2
2014,ED,OCR-2 New York,2,3,1,4
2014,ED,OCR-3 Philadelphia,3,1,2,2
2014,ED,OCR-4 Atlanta,1,3,1,3
2014,ED,OCR-5 Chicago,4,6,4,6
2014,ED,OCR-6 Dallas,1,3,0,4
2014,ED,OCR-7 Kansas City,0,0,0,0
2014,ED,OCR-8 Denver,0,0,0,0
2014,ED,OCR-9 San Francisco,2,1,0,3
2014,ED,OCR-10 Seattle,1,4,1,4
2014,ED,OCR-12 Cleveland,1,2,0,3
2014,ED,OCR-Metro D.C.,3,1,0,4
2014,ED,ODS,0,0,0,0
2014,ED,OESE,0,1,0,1
2014,ED,OGC,1,0,0,1
2014,ED,OIG,3,8,9,2
2014,ED,OII,1,0,0,1
2014,ED,OLCA,0,0,0,0
2014,ED,OM,0,0,0,0
2014,ED,OM-PIRMS,8,5,1,12
2014,ED,OPE,1,0,0,1
2014,ED,OPEPD,0,0,0,0
2014,ED,OS,0,0,0,0
2014,ED,OSERS,1,0,0,1
2014,ED,OUS,0,0,0,0
2014,EEOC,OLC/HDQ,15,296,295,16
2014,EPA,HQ,182,226,185,223
2014,EPA,Region 1,0,0,0,0
2014,EPA,Region 2,0,0,0,0
2014,EPA,Region 3,0,0,0,0
2014,EPA,Region 4,0,0,0,0
2014,EPA,Region 5,0,0,0,0
2014,EPA,Region 6,0,0,0,0
2014,EPA,Region 7,0,0,0,0
2014,EPA,Region 8,0,0,0,0
2014,EPA,Region 9,0,0,0,0
2014,EPA,Region 10,0,0,0,0
2014,Ex-Im Bank,HQ,2,2,2,2
2014,FCA,FCA,0,1,1,0
2014,FCC,FCC,30,24,48,6
2014,FCSIC,FCSIC,0,0,0,0
2014,FDIC,FDIC,1,26,25,2
2014,FEC,FEC,3,4,3,4
2014,FERC,FERC,2,21,23,0
2014,FFIEC,FFIEC,0,1,1,0
2014,FHFA,FHFA-HQ,0,11,10,1
2014,FHFA,FHFA-OIG,0,4,4,0
2014,FLRA,FSIP,0,0,0,0
2014,FLRA,Authority,0,0,0,0
2014,FLRA,IG,0,0,0,0
2014,FLRA,OGC,1,2,3,0
2014,FLRA,ATRO,0,0,0,0
2014,FLRA,BORO,0,0,0,0
2014,FLRA,CHRO,0,0,0,0
2014,FLRA,DARO,0,0,0,0
2014,FLRA,DERO,0,0,0,0
2014,FLRA,SFRO,0,0,0,0
2014,FLRA,WARO,0,0,0,0
2014,FMCS,FMCS,1,0,1,0
2014,FMSHRC,FMSHRC,0,0,0,0
2014,FOMC,FOMC,0,0,0,0
2014,FRB,FRB,2,14,16,0
2014,FRTIB,FRTIB,0,2,2,0
2014,FTC,FTC,3,15,16,2
2014,GSA,GSA,6,12,16,2
2014,HHS,CMS,151,122,28,245
2014,HHS,OS,190,203,218,175
2014,HUD,HQ,4,31,29,6
2014,HUD,OIG,0,11,9,2
2014,HUD,R01,0,0,0,0
2014,HUD,R02,0,1,1,0
2014,HUD,R03,0,2,2,0
2014,HUD,R04,0,6,5,1
2014,HUD,R05,0,7,6,1
2014,HUD,R06,0,3,3,0
2014,HUD,R07,0,0,0,0
2014,HUD,R08,0,1,1,0
2014,HUD,R09,0,3,1,2
2014,HUD,R0X,0,2,2,0
2014,IAF,IAF,0,1,1,0
2014,IMLS,IMLS,0,0,0,0
2014,LSC,OLA,0,3,3,0
2014,LSC,OIG,0,2,2,0
2014,MCC,MCC,1,1,2,0
2014,MSPB,MSPB,1,10,9,2
2014,NARA,NARA,14,81,67,28
2014,NASA,AFRC,0,0,0,0
2014,NASA,ARC,0,0,0,0
2014,NASA,GRC,0,0,0,0
2014,NASA,GSFC,0,0,0,0
2014,NASA,HQ,0,0,0,0
2014,NASA,JPL,0,0,0,0
2014,NASA,JSC,0,0,0,0
2014,NASA,KSC,0,0,0,0
2014,NASA,LaRC,0,0,0,0
2014,NASA,MSFC,0,0,0,0
2014,NASA,NSSC,0,0,0,0
2014,NASA,OGC,5,17,21,1
2014,NASA,OIG,0,1,1,0
2014,NASA,SSC,0,0,0,0
2014,NCPC,NCPC,0,1,1,0
2014,NCUA,NCUA,0,3,2,1
2014,NEA,NEA,0,0,0,0
2014,NEH,NEH,0,2,2,0
2014,NIGC,NIGC,0,2,1,1
2014,NLRB,NLRB,3,21,21,3
2014,NMB,NMB,0,2,2,0
2014,NRPC,NRPC,3,6,4,5
2014,NSF,OGC,6,5,10,1
2014,NSF,OIG,0,4,4,0
2014,NTSB,NTSB,3,11,12,2
2014,ODNI,ODNI,22,14,10,26
2014,OGE,OGE,0,1,1,0
2014,OMB,OMB,5,10,12,3
2014,ONDCP,ONDCP,0,0,0,0
2014,ONHIR,ONHIR,0,0,0,0
2014,OPIC,OPIC,0,4,4,0
2014,OPM,OPM,6,17,21,2
2014,OSC,OSC,12,5,6,11
2014,OSHRC,OSHRC,0,1,1,0
2014,OSTP,OSTP,0,4,4,0
2014,PBGC,PBGC,1,10,10,1
2014,PC,FOIA Office,3,3,5,1
2014,PC,OIG,0,1,1,0
2014,PCLOB,PCLOB,0,4,2,2
2014,PRC,PRC,0,1,1,0
2014,RATB,RATB,0,0,0,0
2014,SBA,SBA,1,21,22,0
2014,SEC,SEC,10,452,432,30
2014,SIGAR,SIGAR,0,1,1,0
2014,SSA,SSA,30,285,255,60
2014,SSS,SSS,0,2,2,0
2014,State,DoS,293,351,382,262
2014,State,OIG,3,5,0,8
2014,STB,STB,0,0,0,0
2014,Treasury,BEP,0,8,8,0
2014,Treasury,DO,65,16,16,65
2014,Treasury,FinCEN,1,11,8,4
2014,Treasury,IRS,13,184,188,9
2014,Treasury,MINT,0,6,6,0
2014,Treasury,OCC,3,28,22,9
2014,Treasury,TIGTA,3,27,26,4
2014,Treasury,TTB,0,0,0,0
2014,Treasury,Fiscal Service,1,14,13,2
2014,TVA,TVA,0,7,6,1
2014,U.S. CPSC,U.S. CPSC,0,14,14,0
2014,U.S. DOL,ADJ BDS,0,1,1,0
2014,U.S. DOL,ALJ,0,0,0,0
2014,U.S. DOL,ASP,0,0,0,0
2014,U.S. DOL,BLS,1,0,0,1
2014,U.S. DOL,CFO,0,0,0,0
2014,U.S. DOL,EBSA,11,8,9,10
2014,U.S. DOL,ETA,18,52,27,43
2014,U.S. DOL,EXEC SEC,0,0,0,0
2014,U.S. DOL,ILAB,0,0,0,0
2014,U.S. DOL,MSHA,14,21,12,23
2014,U.S. DOL,OASAM,13,7,7,13
2014,U.S. DOL,OCIA,0,0,0,0
2014,U.S. DOL,ODEP,0,0,0,0
2014,U.S. DOL,OFCCP,7,2,1,8
2014,U.S. DOL,OIG,2,1,2,1
2014,U.S. DOL,OLMS,4,1,2,3
2014,U.S. DOL,OPA,0,0,0,0
2014,U.S. DOL,OSEC,0,0,0,0
2014,U.S. DOL,OSHA,54,113,48,119
2014,U.S. DOL,OWCP,67,167,147,87
2014,U.S. DOL,SOL,4,0,2,2
2014,U.S. DOL,VETS,6,3,3,6
2014,U.S. DOL,WB,0,0,0,0
2014,U.S. DOL,WHD,15,24,16,23
2014,US ADF,US ADF,0,0,0,0
2014,US RRB,OIG,0,0,0,0
2014,US RRB,RRB,0,1,1,0
2014,USAID,USAID,20,16,18,18
2014,USCCR,USCCR,0,1,1,0
2014,USDA,AMS,7,10,8,9
2014,USDA,APHIS,90,36,31,95
2014,USDA,ASCR,0,0,0,0
2014,USDA,FAS,0,2,2,0
2014,USDA,FNCS,12,47,6,53
2014,USDA,FS,46,71,50,67
2014,USDA,FSA,1,22,16,7
2014,USDA,FSIS,2,18,16,4
2014,USDA,GIPSA,1,3,1,3
2014,USDA,NAD,0,0,0,0
2014,USDA,NRCS,5,4,9,0
2014,USDA,OBPA,0,0,0,0
2014,USDA,OCFO,1,0,0,1
2014,USDA,OGC,1,2,2,1
2014,USDA,OIG,1,8,8,1
2014,USDA,OSEC/OCIO/DM,8,8,10,6
2014,USDA,RD,32,8,10,30
2014,USDA,REE,0,0,0,0
2014,USDA,RMA,24,3,0,27
2014,USIBWC,USIBWC,0,0,0,0
2014,USITC,USITC,0,3,3,0
2014,USNRC,USNRC,8,37,42,3
2014,USPS,OIG,6,35,38,3
2014,USPS,PS & PIS,13,174,152,35
2014,USTDA,USTDA,0,1,1,0
2014,USTR,USTR,1,0,1,0
2014,VA,Admin,0,0,0,0
2014,VA,BVA,0,0,0,0
2014,VA,C&LA,0,0,0,0
2014,VA,CFM,0,0,0,0
2014,VA,GC,244,280,237,287
2014,VA,HRM,0,0,0,0
2014,VA,IG,1,19,15,5
2014,VA,Mgmt,0,0,0,0
2014,VA,NCA,0,0,0,0
2014,VA,OAL,0,0,0,0
2014,VA,OASHRA,0,0,0,0
2014,VA,OASP&IA,0,0,0,0
2014,VA,ODASB,0,0,0,0
2014,VA,ODASIA,0,0,0,0
2014,VA,ODI,0,0,0,0
2014,VA,OF,0,0,0,0
2014,VA,OIT,0,0,0,0
2014,VA,ORM,0,0,0,0
2014,VA,OSDBU,0,0,0,0
2014,VA,OSP,0,0,0,0
2014,VA,P&P,0,0,0,0
2014,VA,PA,0,0,0,0
2014,VA,SEC,0,0,0,0
2014,VA,VBA,0,0,0,0
2014,VA,VHA,0,0,0,0
2015,ABMC,ABMC,0,0,0,0
2015,ACUS,ACUS,0,3,3,0
2015,AFRH,AFRH,0,2,2,0
2015,BBG,BBG,0,3,3,0
2015,CEQ,CEQ,0,1,1,0
2015,CFPB,CFPB,3,28,29,2
2015,CFTC,CFTC,7,9,15,1
2015,CIA,CIA,161,257,261,157
2015,CIGIE,CIGIE,0,0,0,0
2015,CNCS,CNCS,0,0,0,0
2015,CO,CO,0,0,0,0
2015,CPPBSD,CPPBSD,0,0,0,0
2015,CSB,CSB,0,0,0,0
2015,CSOSA,CSOSA,0,0,0,0
2015,DHS,CBP,29,1735,1647,117
2015,DHS,FEMA,30,19,14,35
2015,DHS,FLETC,0,0,0,0
2015,DHS,ICE,171,599,609,161
2015,DHS,OGC,16,116,100,32
2015,DHS,OIG,19,19,36,2
2015,DHS,TSA,13,20,29,4
2015,DHS,USCG,33,30,41,22
2015,DHS,USCIS,70,1987,2002,55
2015,DHS,USSS,5,154,156,3
2015,DNFSB,DNFSB,1,0,1,0
2015,DOC,OIG,0,6,6,0
2015,DOC,PTO,0,29,26,3
2015,DOC,AGC/Admin,37,51,32,56
2015,DoD,AF,148,210,240,118
2015,DoD,ARMY,26,121,25,122
2015,DoD,ASBCA,0,0,0,0
2015,DoD,DCAA,0,4,4,0
2015,DoD,DCMA,3,4,2,5
2015,DoD,DeCA,0,0,0,0
2015,DoD,DFAS,1,2,3,0
2015,DoD,DHA,14,3,12,5
2015,DoD,DIA,80,40,43,77
2015,DoD,DISA,0,2,0,2
2015,DoD,DLA,0,20,13,7
2015,DoD,DoD IG,24,20,35,9
2015,DoD,DSS,0,3,3,0
2015,DoD,DTRA,2,3,3,2
2015,DoD,NAVY,16,319,307,28
2015,DoD,NGA,11,5,7,9
2015,DoD,NRO,5,4,8,1
2015,DoD,NSA,111,99,28,182
2015,DoD,OSD/JS,361,224,270,315
2015,DOE,HQ,11,76,75,12
2015,DOI,FOIA/PA Appeals,272,191,221,242
2015,DOJ,OIP,702,3923,4107,518
2015,DOJ,USPC,1,3,2,2
2015,DOT,FAA,23,102,101,24
2015,DOT,FHWA,2,15,17,0
2015,DOT,FMCSA,0,1,0,1
2015,DOT,FRA,1,7,2,6
2015,DOT,FTA,1,6,3,4
2015,DOT,MARAD,1,3,3,1
2015,DOT,NHTSA,0,12,11,1
2015,DOT,OIG,1,5,5,1
2015,DOT,OST,0,5,5,0
2015,DOT,PHMSA,0,8,8,0
2015,DOT,RITA,0,0,0,0
2015,DOT,SLSDC,0,0,0,0
2015,ED,OCTAE,0,0,0,0
2015,ED,OM-OCPO,6,9,1,14
2015,ED,OSHS,0,0,0,0
2015,ED,FSA,13,7,12,8
2015,ED,IES,1,2,0,3
2015,ED,IES-NAGB,0,0,0,0
2015,ED,M,7,2,0,9
2015,ED,OCFO,0,0,0,0
2015,ED,OCFO-CAM,1,0,0,1
2015,ED,OCIO,0,0,0,0
2015,ED,OCO,0,0,0,0
2015,ED,OCR,5,2,5,2
2015,ED,OCR-1 Boston,2,0,2,0
2015,ED,OCR-2 New York,4,3,4,3
2015,ED,OCR-3 Philadelphia,3,3,4,2
2015,ED,OCR-4 Atlanta,2,2,3,1
2015,ED,OCR-5 Chicago,6,5,7,4
2015,ED,OCR-6 Dallas,5,3,6,2
2015,ED,OCR-7 Kansas City,0,3,1,2
2015,ED,OCR-8 Denver,0,0,0,0
2015,ED,OCR-9 San Francisco,3,3,3,3
2015,ED,OCR-10 Seattle,4,0,4,0
2015,ED,OCR-12 Cleveland,3,0,3,0
2015,ED,OCR-Metro D.C.,5,2,5,2
2015,ED,ODS,1,0,0,1
2015,ED,OESE,2,1,2,1
2015,ED,OGC,8,1,0,9
2015,ED,OIG,2,0,0,2
2015,ED,OII,1,0,0,1
2015,ED,OLCA,0,0,0,0
2015,ED,OM,0,1,1,0
2015,ED,OPE,1,0,0,1
2015,ED,OPEPD,0,1,0,1
2015,ED,OS,0,0,0,0
2015,ED,OSERS,1,0,0,1
2015,ED,OUS,0,0,0,0
2015,EEOC,OLC/HDQ,16,272,275,13
2015,EPA,HQ,191,222,228,185
2015,Ex-Im Bank,OIG,0,0,0,0
2015,Ex-Im Bank,HQ,2,4,6,0
2015,FCA,FCA,0,1,1,0
2015,FCC,FCC,5,16,9,12
2015,FCSIC,FCSIC,0,0,0,0
2015,FDIC,FDIC,2,19,21,0
2015,FEC,FEC,4,4,4,4
2015,FERC,FERC,0,13,12,1
2015,FFIEC,FFIEC,0,1,1,0
2015,FHFA,FHFA-HQ,1,2,2,1
2015,FHFA,FHFA-OIG,0,6,6,0
2015,FLRA,FSIP,0,0,0,0
2015,FLRA,Authority,0,2,2,0
2015,FLRA,IG,0,0,0,0
2015,FLRA,OGC,0,2,2,0
2015,FLRA,ATRO,0,0,0,0
2015,FLRA,BORO,0,0,0,0
2015,FLRA,CHRO,0,0,0,0
2015,FLRA,DARO,0,0,0,0
2015,FLRA,DERO,0,0,0,0
2015,FLRA,SFRO,0,0,0,0
2015,FLRA,WARO,0,0,0,0
2015,FMC,FMC,0,0,0,0
2015,FMCS,FMCS,0,0,0,0
2015,FMSHRC,FMSHRC,0,0,0,0
2015,FOMC,FOMC,0,1,1,0
2015,FRB,FRB,0,19,18,1
2015,FRTIB,FRTIB,0,2,2,0
2015,FTC,FTC,2,36,37,1
2015,GSA,GSA,2,37,37,2
2015,HHS,CMS,243,116,92,267
2015,HHS,OS,183,196,190,189
2015,HUD,HQ,6,21,16,11
2015,HUD,OIG,2,5,6,1
2015,HUD,R01,0,0,0,0
2015,HUD,R02,0,0,0,0
2015,HUD,R03,0,1,1,0
2015,HUD,R04,1,2,3,0
2015,HUD,R05,1,2,3,0
2015,HUD,R06,0,1,1,0
2015,HUD,R07,0,0,0,0
2015,HUD,R08,0,1,1,0
2015,HUD,R09,2,3,5,0
2015,HUD,R0X,0,2,2,0
2015,IAF,IAF,0,0,0,0
2015,IMLS,IMLS,0,1,1,0
2015,LSC,OLA,0,1,1,0
2015,LSC,OIG,0,0,0,0
2015,MCC,MCC,0,0,0,0
2015,MSPB,MSPB,1,4,5,0
2015,NARA,NARA,28,104,27,105
2015,NASA,OGC,1,31,27,5
2015,NASA,OIG,0,0,0,0
2015,NCPC,NCPC,0,0,0,0
2015,NCUA,NCUA,1,3,4,0
2015,NEA,NEA,0,0,0,0
2015,NEH,NEH,0,1,1,0
2015,NIGC,NIGC,1,1,2,0
2015,NLRB,NLRB,3,24,24,3
2015,NMB,NMB,0,0,0,0
2015,NRPC,NRPC,5,6,3,8
2015,NSF,OGC,1,3,4,0
2015,NSF,OIG,0,0,0,0
2015,NTSB,NTSB,2,9,7,4
2015,ODNI,ODNI,26,17,21,22
2015,OGE,OGE,0,6,6,0
2015,OMB,OMB,3,5,3,5
2015,ONDCP,ONDCP,0,0,0,0
2015,ONHIR,ONHIR,0,0,0,0
2015,OPIC,OPIC,0,1,1,0
2015,OPM,OPM,2,35,20,17
2015,OSC,OSC,11,3,7,7
2015,OSHRC,OSHRC,0,0,0,0
2015,OSTP,OSTP,0,6,6,0
2015,PBGC,PBGC,1,20,18,3
2015,PC,FOIA Office,1,7,8,0
2015,PC,OIG,0,1,1,0
2015,PCLOB,PCLOB,2,1,3,0
2015,PRC,PRC,0,0,0,0
2015,SBA,SBA,0,23,18,5
2015,SEC,SEC,27,495,505,17
2015,SIGAR,SIGAR,0,0,0,0
2015,SSA,SSA,60,252,272,40
2015,SSS,SSS,0,0,0,0
2015,State,DoS,260,242,118,384
2015,State,OIG,8,1,0,9
2015,STB,STB,0,2,2,0
2015,Treasury,BEP,0,4,4,0
2015,Treasury,DO,78,26,9,95
2015,Treasury,FinCEN,1,16,16,1
2015,Treasury,IRS,9,236,240,5
2015,Treasury,MINT,0,2,2,0
2015,Treasury,OCC,9,10,18,1
2015,Treasury,TIGTA,3,20,21,2
2015,Treasury,TTB,4,0,0,4
2015,Treasury,Fiscal Service,2,18,17,3
2015,TVA,TVA,1,6,7,0
2015,U.S. CPSC,U.S. CPSC,0,19,19,0
2015,U.S. DOL,ADJ BDS,0,0,0,0
2015,U.S. DOL,ALJ,0,0,0,0
2015,U.S. DOL,ASP,0,0,0,0
2015,U.S. DOL,BLS,1,1,2,0
2015,U.S. DOL,CFO,0,0,0,0
2015,U.S. DOL,EBSA,10,14,14,10
2015,U.S. DOL,ETA,43,43,32,54
2015,U.S. DOL,EXEC SEC,0,0,0,0
2015,U.S. DOL,ILAB,0,0,0,0
2015,U.S. DOL,MSHA,23,14,13,24
2015,U.S. DOL,OASAM,13,5,10,8
2015,U.S. DOL,OCIA,0,0,0,0
2015,U.S. DOL,ODEP,0,0,0,0
2015,U.S. DOL,OFCCP,8,5,5,8
2015,U.S. DOL,OIG,1,0,1,0
2015,U.S. DOL,OLMS,3,7,3,7
2015,U.S. DOL,OPA,0,0,0,0
2015,U.S. DOL,OSEC,0,1,0,1
2015,U.S. DOL,OSHA,119,163,86,196
2015,U.S. DOL,OWCP,87,83,79,91
2015,U.S. DOL,SOL,2,4,2,4
2015,U.S. DOL,VETS,6,12,6,12
2015,U.S. DOL,WB,0,0,0,0
2015,U.S. DOL,WHD,23,52,44,31
2015,US ADF,US ADF,0,0,0,0
2015,US RRB,OIG,0,0,0,0
2015,US RRB,RRB,0,0,0,0
2015,USAB,USAB,0,1,1,0
2015,USAID,USAID,18,17,29,6
2015,USCCR,USCCR,0,0,0,0
2015,USDA,AMS,9,6,3,12
2015,USDA,APHIS,95,20,20,95
2015,USDA,ASCR,0,1,1,0
2015,USDA,FAS,0,2,1,1
2015,USDA,FNCS,53,131,6,178
2015,USDA,FS,67,65,51,81
2015,USDA,FSA,7,18,22,3
2015,USDA,FSIS,6,12,12,6
2015,USDA,GIPSA,3,1,3,1
2015,USDA,NAD,0,0,0,0
2015,USDA,NRCS,0,11,8,3
2015,USDA,OBPA,0,0,0,0
2015,USDA,OCFO,1,0,0,1
2015,USDA,OGC,1,0,0,1
2015,USDA,OIG,1,7,6,2
2015,USDA,OSEC/OCIO/DM,6,6,4,8
2015,USDA,RD,16,19,29,6
2015,USDA,REE,0,2,2,0
2015,USDA,RMA,33,3,3,33
2015,USIBWC,USIBWC,0,1,1,0
2015,USITC,USITC,0,4,4,0
2015,USNRC,USNRC,3,73,70,6
2015,USPS,OIG,3,22,24,1
2015,USPS,PS & PIS,32,200,204,28
2015,USTDA,USTDA,0,0,0,0
2015,USTR,USTR,0,6,5,1
2015,VA,Admin,0,0,0,0
2015,VA,BVA,0,0,0,0
2015,VA,C&LA,0,0,0,0
2015,VA,CFM,0,0,0,0
2015,VA,GC,287,334,332,289
2015,VA,HRM,0,0,0,0
2015,VA,IG,5,44,45,4
2015,VA,Mgmt,0,0,0,0
2015,VA,NCA,0,0,0,0
2015,VA,OAL,0,0,0,0
2015,VA,OASHRA,0,0,0,0
2015,VA,OASP&IA,0,0,0,0
2015,VA,ODASB,0,0,0,0
2015,VA,ODASIA,0,0,0,0
2015,VA,ODI,0,0,0,0
2015,VA,OIT,0,0,0,0
2015,VA,ORM,0,0,0,0
2015,VA,OSDBU,0,0,0,0
2015,VA,OSP,0,0,0,0
2015,VA,P&P,0,0,0,0
2015,VA,PA,0,0,0,0
2015,VA,SEC,0,0,0,0
2015,VA,VBA,0,0,0,0
2015,VA,VHA,0,0,0,0
