"7 U.S.C. § 2619(c)","Confidential information furnished by handlers and importers for the filing of reports.","None.","1","AMS","1"
"7 U.S.C. § 7414(i)(4)","Information provided by handlers and importers of agricultural commodities in connection with the filing of reports.","None.","1","AMS","1"
"7 U.S.C. § 8791",""Information provided by an agricultural producer or owner of agricultural land concerning the agricultural operations, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information...maintained by the Secretary."","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).","1","AMS","340"
"7 U.S.C. § 8791",""Information provided by an agricultural producer or owner of agricultural land concerning the agricultural operations, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information...maintained by the Secretary."","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).","13","APHIS","340"
"7 U.S.C. § 8791",""Information provided by an agricultural producer or owner of agricultural land concerning the agricultural operations, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information...maintained by the Secretary."","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).","248","FSA","340"
"7 U.S.C. § 8791",""Information provided by an agricultural producer or owner of agricultural land concerning the agricultural operations, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information...maintained by the Secretary."","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).","8","FS","340"
"7 U.S.C. § 8791",""Information provided by an agricultural producer or owner of agricultural land concerning the agricultural operations, farming or conservation practices, or the land itself, in order to participate in programs of the Department" and certain "geospatial information...maintained by the Secretary."","Ctr. for Biological Diversity v. USDA, 626 F.3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F. Supp. 2d 230, 237-381 (D.D.C. 2009).","70","NRCS","340"
"16 U.S.C. § 470hh","Information concerning the nature and location of certain archaeological resources.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","30","FS","31"
"16 U.S.C. § 470hh","Information concerning the nature and location of certain archaeological resources.","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","1","NRCS","31"
"16 U.S.C. §4 70(w)(3)","Archaeological site maps, cultural resources and historic sites.","None.","11","FS","12"
"16 U.S.C. §4 70(w)(3)","Archaeological site maps, cultural resources and historic sites.","None.","1","NRCS","12"
"35 U.S.C. § 205","Information disclosing any invention in which the Federal Government owns or may own a right, title or interest.","None.","1","REE","1"
"41 U.S.C. § 4207(b)","Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.","Sinkfield v. HUD, No. 10-855, 2012 U.S. Dist. Lexis 35233 at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30  (D.D.C. 2003), summary affirmance granted, No 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","1","APHIS","13"
"41 U.S.C. § 4207(b)","Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.","Sinkfield v. HUD, No. 10-855, 2012 U.S. Dist. Lexis 35233 at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30  (D.D.C. 2003), summary affirmance granted, No 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","6","FSA","13"
"41 U.S.C. § 4207(b)","Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.","Sinkfield v. HUD, No. 10-855, 2012 U.S. Dist. Lexis 35233 at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30  (D.D.C. 2003), summary affirmance granted, No 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","5","FS","13"
"41 U.S.C. § 4207(b)","Proposals not set forth or incorporated by reference in a contract entered into between the agency and the contractor.","Sinkfield v. HUD, No. 10-855, 2012 U.S. Dist. Lexis 35233 at 13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30  (D.D.C. 2003), summary affirmance granted, No 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","1","OIG","13"
Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Numberof Times Relied upon per Component,Total Number of Times Relied upon by Agency
"7 U.S.C. §136i-1","Information in connection with the location and the use of pesticides","Doe v. Veneman, 380 F.3d 807, 818 (5th Cir. 2004)","1","APHIS","1"
"7 U.S.C. §1502 (c )","Personal information in connection with policy holder; yield data","None","2","FSA","11"
"7 U.S.C. §1502 (c )","Personal information in connection with policy holder; yield data","None","9","RMA","11"
"7 U.S.C. §2011-2036","Names and other personally identifiable information of SNAP (Food Stamp) recipients and firms participating in program","","36","FNCS","36"
"7 U.S.C. §2276","Respondents' identity and unaggregated survey data","Strunk v. U.S. Dept. of Interior, 752 F.Supp 2d, 39, 44","1","REE","2"
"7 U.S.C. §2276","Respondents' identity and unaggregated survey data","Strunk v. U.S. Dept. of Interior, 752 F.Supp 2d, 39, 44","1","FSA","2"
"7 U.S.C. §7411-7425","Confidential communication","None","1","AMS","1"
"15 U.S.C. §3710(a)","Trade secrets or commerical or financial information that pertain to cooperative research and development agreements for the purpose of technological and industrial innovation","Pub. Citizens Health Research Group v. NIH, 209 F Supp 2d 37, 43, 51 (DDC 2002); DeLorme Pub Co. Inc. v. NOAA, 917 F Supp 867, 871-72 (D.Me 1996), appeal dismissed per stipulation, No 96-1601 (1st Cir. July 8, 1996).","3","REE","3"
"16 U.S.C. § 470(h)(h)","Archaeological site maps, cultural resources and historic sites","Hornbostel v. U.S. Dep?t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","14","FS","14"
"16 U.S.C. § 470 w-3","Archaeological site maps, cultural resources and historic sites","None","14","FS","14"
"35 U.S.C. §122","Information in connection with the application of patents","Irons & Sears v. Dann, 606 F2d 1215, 1219-21 (DC Cir. 1979).","1","REE","1"
"35 U.S.C. §205","Information in connection with a patent prior to the filing of an application","None","1","REE","1"
"41 U.S.C. §253 (b)(m)(1)","Confidential commercial information including contract proposals","Hornbostel v. Dept of the Interior, 305 Fsupp 2d 21 (D.D.C. 2003)","5","FSA","15"
"41 U.S.C. §253 (b)(m)(1)","Confidential commercial information including contract proposals","Hornbostel v. Dept of the Interior, 305 Fsupp 2d 21 (D.D.C. 2003)","9","FS","15"
"41 U.S.C. §253 (b)(m)(1)","Confidential commercial information including contract proposals","Hornbostel v. Dept of the Interior, 305 Fsupp 2d 21 (D.D.C. 2003)","1","APHIS","15"
"42 U.S.C. §1320 d-6(a)","Patient medical files","None","1","OSEC/OCIO","1"
"7 U.S.C. §8791A(2)(a)","Information provided by an agriculture producer or owner of agricultural land in connection with participation in a USDA program and concerning agricultural operations, farming or conservation practices or the land itself; information contained in any type of USDA geospatial information system where producer provided information about agricultural land or operations","Ctr. for Biological Diversity v. USDA, 626 F. 3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F.Supp. 2d 230, 237-381 (D.D.C. 2009)","1","AMS","385"
"7 U.S.C. §8791A(2)(a)","Information provided by an agriculture producer or owner of agricultural land in connection with participation in a USDA program and concerning agricultural operations, farming or conservation practices or the land itself; information contained in any type of USDA geospatial information system where producer provided information about agricultural land or operations","Ctr. for Biological Diversity v. USDA, 626 F. 3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F.Supp. 2d 230, 237-381 (D.D.C. 2009)","7","APHIS","385"
"7 U.S.C. §8791A(2)(a)","Information provided by an agriculture producer or owner of agricultural land in connection with participation in a USDA program and concerning agricultural operations, farming or conservation practices or the land itself; information contained in any type of USDA geospatial information system where producer provided information about agricultural land or operations","Ctr. for Biological Diversity v. USDA, 626 F. 3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F.Supp. 2d 230, 237-381 (D.D.C. 2009)","73","NRCS","385"
"7 U.S.C. §8791A(2)(a)","Information provided by an agriculture producer or owner of agricultural land in connection with participation in a USDA program and concerning agricultural operations, farming or conservation practices or the land itself; information contained in any type of USDA geospatial information system where producer provided information about agricultural land or operations","Ctr. for Biological Diversity v. USDA, 626 F. 3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F.Supp. 2d 230, 237-381 (D.D.C. 2009)","9","RMA","385"
"7 U.S.C. §8791A(2)(a)","Information provided by an agriculture producer or owner of agricultural land in connection with participation in a USDA program and concerning agricultural operations, farming or conservation practices or the land itself; information contained in any type of USDA geospatial information system where producer provided information about agricultural land or operations","Ctr. for Biological Diversity v. USDA, 626 F. 3d 1113, 1118 (9th Cir. 2010); Zanoni v. USDA, 605 F.Supp. 2d 230, 237-381 (D.D.C. 2009)","295","FSA","385"
Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Numberof Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA) 7 U.S.C. 136","Disclosure of any information regarding the location and the use of pesticides.","","1","APHIS","1"
"41 U.S.C. 253b(m)","Proposal not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Business/financial information<br/>Technical Proposals of Contracts - Business/financial information","Horbostel v. Dept. of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)","2","APHIS","5"
"41 U.S.C. 253b(m)","Proposal not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Business/financial information<br/>Technical Proposals of Contracts - Business/financial information","Horbostel v. Dept. of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)","1","FSIS","5"
"41 U.S.C. 253b(m)","Proposal not set forth or incorporated by reference in a contract entered into between the agency and the contractor.<br/>Business/financial information<br/>Technical Proposals of Contracts - Business/financial information","Horbostel v. Dept. of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)","2","FS","5"
"Agricultural Bioterrorism Protection Act of 2002, Sec. 212, Regulation of Certain Biological Agents and Toxins","Disclosure of use and locations of biological agents and toxins.","","3","APHIS","3"
"7 U.S.C. 2011-2036, The Food Stamp Act (and 7 CFR 272.1 (2) 11 (e)(8)","Names and personal information of SNAP (Food Stamps) recipients; confidential information provided by firms participating in SNAP.","Roberts v. Austin, 632 F.2d 1202. 1203 (5th Cir. 1980), cert. denied, 454 U.S. 975, 102 S.Ct. 527, 70 L. Ed. 2d 395 (1981).","10","FNCS","10"
"Section 1619 of the Food, Conservation, and Energy Act of 2008","Information provided by an agricultural producer or owner of agricultural land in order to participate in a USDA program, and concerning agricultural operations, farming or conservation practices or the land itself.<br/>Information contained in any type of USDA geospatial information system (GIS) with producer-provided information about agricultural land or operations.","Central Platte Natural Resources District v. U.S. Department of Agriculture and Farm Service Agency, No. 4:09CV3198 (WKU) (Dist of NE Sept. 8, 2010)","301","FSA","301"
"41 U.S.C. 253(b)","Confidential commercial information, including contract proposals","Hornbostel v. Dept. of the Interior, 305 F. Suppl. 2d 21 (D.D.C. 2003)","1","FSA","1"
"7 U.S.C. 2276","Respondents' identity and unaggregated survey data<br/>Identities and respondents of unaggregated survey data.","None","4","FSA","7"
"7 U.S.C. 2276","Respondents' identity and unaggregated survey data<br/>Identities and respondents of unaggregated survey data.","None","3","REE","7"
"41 U.S.C. 253(b)","Business/financial information","Hornbostel v. Dept. of the Interior, 305 F. Suppl. 2d 21 (D.D.C. 2003)","1","OIG","1"
"42 U.S.C. 2000e-5(b), 2000e-8(e)","Information obtained by the EEOC in investigating charges of unlawful employment practices.","Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997)","1","OIG","1"
"26 U.S.C. 6103 (b)(2)(A)","Financial Information","Linsteadt v. IRS, 729 F.2d 998, 1000 (5th Cir. 1984)","1","OCFO","1"
"Exemption 3 Section 1619 of the Food, Conservation, and Energy Act of 2008","Information provided by an agricultural producer or owner of agricultural land in order to participate in a USDA program, and concerning agricultural operations, farming or conservation practices or the land itself.<br/>Information contained in any type of USDA geospatial information system (GIS) with producer-provided information about agricultural land or operations.","None","43","NRCS","43"
"Agricultural Marketing Agreement Act of 1937, as amended (AMAA) (d)(3)

(7 U.S.C. 601 et seq), 9 CFR Part 900 and 9 CFR Part 929","Confidential<br/>Financial","","1","AMS","1"
"The National Defense Authorization Act of 1977","Technical proposal submitted by unsuccessful contractors","None","1","RD","9"
"The National Defense Authorization Act of 1977","Technical proposal submitted by unsuccessful contractors","None","8","FS","9"
"7 U.S.C. 1502(c) FCIC Crop Insurance Act Section 502","Personal information provided by the producer (policy information, yield data, etc.)","None","8","RMA","8"
"16 USC 470hh","Archaeological Resources Protection Act of 1979 - Archaeological, site maps, cultural resources and historic sites","None","3","FS","3"
"16 USC 470w-3","National Historic Preservation Act of 1966 - Location, character, or ownership of historic resources","None","11","FS","11"
Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Numberof Times Relied upon per Component,Total Number of Times Relied upon by Agency
Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Numberof Times Relied upon per Component,Total Number of Times Relied upon by Agency
