Date Filed,Case Name,Case Number,Court
9/29/2015,California Reinvestment Coalition v. Department of Housing and Urban Development,15-04479,N.D. Cal.
9/29/2015,Byers v. U.S. Tax Court,15-01605,D.D.C.
9/29/2015,Andrus v. Department of Energy,15-00453,D. Idaho
9/30/2015,Clem v. Department of Labor,15-01558,W.D. Wash.
10/1/2015,Wm Bryson v. Federal Bureau of Prisons,15-02019,C.D. Cal.
10/1/2015,Sai v. Transportation Security Administration,15-02229,D. Colo. 
10/1/2015,Viola v. Federal Bureau of Investigation,15-00242,W.D. Pa.
10/2/2015,University of Washington v. Central Intelligence Agency,15-01577,W.D. Wash.
10/5/2015,Rojas v. Federal Aviation Administration,15-01985,D. Ariz.
10/5/2015,Murray Energy Corporation v. Department of the Interior,15-01620,D.D.C.
10/5/2015,Levinthal v. Federal Election Commission,15-01624,D.D.C.
10/5/2015,Mance v. Federal Bureau of Investigation,15-01183,E.D. Wis.
10/7/2015,"Hardy v. Bureau of Alcohol, Tobacco, Firearms and Explosives",15-01649,D.D.C.
10/7/2015,Microsoft Corporation v. Department of the Treasury,15-01603,W.D. Wash.
10/7/2015,Microsoft Corporation v. Internal Revenue Service,15-01605,W.D. Wash.
10/8/2015,Manning v. Department of Justice,15-01654,D.D.C.
10/8/2015,Landmark Legal Foundation v. Department of Health and Human Services,15-01655,D.D.C.
10/9/2015,Legal Aid Justice Center v. Immigration and Customs Enforcement,15-01316,E.D. Va.
10/13/2015,Better Government Association v. Federal Bureau of Investigation,15-09070,N.D. Ill. 
10/14/2015,Powder River Basin Resource Council v. Bureau of Land Management,15-01684,D.D.C.
10/14/2015,Kroupa v. Department of Justice,15-13607,E.D. Mich.
10/16/2015,"Judicial Watch, Inc. v. Department of State",15-01696,D.D.C.
10/16/2015,"Judicial Watch, Inc. v. Department of Health and Human Services",15-01697,D.D.C.
10/16/2015,Landmark Legal Foundation v. Department of Justice,15-01698,D.D.C.
10/16/2015,"Judicial Watch, Inc. v. Department of Homeland Security",15-01702,D.D.C.
10/19/2015,Redburn v. Department of State,15-01719,D.D.C.
10/19/2015,Citizens United v. Department of State,15-01720,D.D.C.
10/20/2015,"Judicial Watch, Inc. v. Department of Justice",15-01733,D.D.C.
10/20/2015,Long v. Central Intelligence Agency,15-01734,D.D.C.
10/20/2015,"Judicial Watch, Inc. v. Department of State",15-01739,D.D.C.
10/20/2015,"Judicial Watch, Inc. v. National Archives and Records Administration",15-01740,D.D.C.
10/20/2015,Macleod v. Department of Homeland Security,15-01792,D.D.C.
10/20/2015,Bettwieser v. Gans,15-00493,D. Idaho
10/20/2015,Hinton v. Peek,15-09272,N.D. Ill. 
10/21/2015,Citizens United v. National Archives and Records Administration,15-01751,D.D.C.
10/21/2015,McKinley v. Federal Deposit Insurance Corporation,15-01764,D.D.C.
10/21/2015,"Judicial Watch, Inc. v. Department of Homeland Security",15-01772,D.D.C.
10/21/2015,"Judicial Watch, Inc. v. Department of the Treasury",15-01776,D.D.C.
10/21/2015,Daily Caller v. Department of State,15-01777,D.D.C.
10/22/2015,Greenberger v. Internal Revenue Service,15-03710,N.D. Ga. 
10/22/2015,Wilson v. Department of the Treasury,15-09364,N.D. Ill. 
10/23/2015,Wisdom v. U.S. Trustee Program,15-01821,D.D.C.
10/26/2015,AEgis Technology Group Inc v. U.S. Army,15-01881,N.D. Ala.
10/26/2015,Energy and Environment Legal Institute v. Department of State,15-01805,D.D.C.
10/26/2015,"Judicial Watch, Inc. v. Department of State",15-01817,D.D.C.
10/26/2015,Bell v. Department of the Interior,15-01812,D.D.C.
10/26/2015,Bell v. Department of Defense,15-01813,D.D.C.
10/26/2015,Adamo v. Romero,15-00971,D.N.M. 
10/28/2015,McNulty v. Department of Justice,15-00774,S.D. Miss. 
10/29/2015,O'Rourke v. Securities and Exchange Commission,15-02453,S.D. Cal.
10/30/2015,Lower Passiac River Study Area Cooperating Parties Group v. Environmental Protection Agency,15-07828,D.N.J.
11/4/2015,Electronic Privacy Information Center v. Department of Justice,15-01955,D.D.C.
11/5/2015,"People for the Ethical Treatment of Animals, Inc. v. Department of Health and Human Services",15-01960,D.D.C.
11/5/2015,Military Religious Freedom Foundation v. U.S. Air Force Academy,15-01008,D.N.M. 
11/9/2015,Daily Caller News Foundation v. Department of State,15-01979,D.D.C.
11/9/2015,The New York Times Company v. Department of State,15-08807,S.D.N.Y.
11/10/2015,Blanca Marie Gomez v. Bureau of Indian Affairs Pacific Regional Office,15-08774,C.D. Cal.
11/10/2015,"Judicial Watch, Inc. v. Department of Homeland Security",15-01983,D.D.C.
11/11/2015,Energy Future Coalition v. Office of Management and Budget,15-01987,D.D.C.
11/12/2015,Cole v. May,15-01991,D.D.C.
11/12/2015,Botts v. U.S. Commodity Futures Trading Commission,15-00122,E.D. Va.
11/13/2015,Kawa v. Department of State,15-81560,S.D. Fla.
11/13/2015,"Kathy Jones Skin Care, Inc. v. Internal Revenue Service",15-00193,E.D. Ky.
11/16/2015,Rosiere v. U.S.,15-02187,D. Nev.
11/17/2015,"Center for Biological Diversity, Inc. v. Bureau of Land Management",15-02009,D.D.C.
11/17/2015,Brook v. Teti,15-02022,D.D.C.
11/17/2015,Center for Biological Diversity v. Bureau of Land Management,15-00539,D. Idaho
11/17/2015,American Civil Liberties Union v. Department of Justice,15-09002,S.D.N.Y.
11/17/2015,American Civil Liberties Union Foundation v. Department of Homeland Security,15-09020,S.D.N.Y.
11/18/2015,Lyall v. Federal Bureau of Investigation,15-01818,W.D. Wash.
11/19/2015,Dimaggio v. United States Department of the Treasury,15-10432,N.D. Ill. 
11/20/2015,"Judicial Watch, Inc. v. Department of State",15-02030,D.D.C.
11/20/2015,The New York Times Company v. Federal Bureau of Investigation,15-09133,S.D.N.Y.
11/22/2015,Gahagan v. U.S. Citizenship and Immigration Services,15-06218,E.D. La. 
11/23/2015,Reddick v. Department of Energy,15-05114,E.D. Wash.
11/24/2015,American Civil Liberties Union v. National Security Council,15-01573,E.D. Va.
11/25/2015,American Civil Liberties Union. v. Department of Defense,15-09317,S.D.N.Y.
12/1/2015,"Judicial Watch, Inc. v. Department of Homeland Security",15-02075,D.D.C.
12/2/2015,"Judicial Watch, Inc. v. Department of Commerce",15-02088,D.D.C.
12/3/2015,Hendrix v. Department of Health and Human Services,15-02103,D.D.C.
12/3/2015,Rivera-Heredia v. U.S.,15-03047,D.P.R.
12/7/2015,Environmental Defense Center v. Pipeline and Hazardous Materials Safety Administration,15-09433,C.D. Cal.
12/7/2015,Environmental Defense Center v. Bureau of Safety and Environmental Enforcement,15-09436,C.D. Cal.
12/7/2015,Dubuque v. Department of the Air Force,15-01793,E.D. Mo.
12/8/2015,Edelman v. Securities and Exchange Commission,15-02750,S.D. Cal.
12/8/2015,Leopold v. Department of Justice,15-02117,D.D.C.
12/8/2015,Farahi v. Federal Bureau of Investigation,15-02122,D.D.C.
12/9/2015,A Better Way for BPA vs. Department of Energy Bonneville Power Administration,15-05896,W.D. Wash.
12/10/2015,"Center for Environmental Science, Accuracy & Reliability v. Jewell",15-01862,E.D. Cal.
12/11/2015,Bajorek v. Department of Veterans Affairs,15-14313,E.D. Mich.
12/11/2015,Golden v. Federal Bureau of Investigation,15-08559,D.N.J.
12/11/2015,Schwartz v. Department of Defense,15-07077,E.D.N.Y.
12/14/2015,Freedom of the Press Foundation v. Department of Justice,15-05709,N.D. Cal.
12/15/2015,Kilborn v. Department of Health and Human Services,15-00633,S.D. Ala.
12/17/2015,Heffernan v. Department of Health and Human Services,15-02194,D.D.C.
12/17/2015,Brennan Center for Justice v. Department of State,15-02200,D.D.C.
12/18/2015,Walston v. Department of Defense,15-02202,D.D.C.
12/18/2015,Leopold v. Central Intelligence Agency,15-02204,D.D.C.
12/18/2015,James v. Department of State,15-02210,D.D.C.
12/18/2015,Rhoades v. Department of Homeland Security,15-04424,D. Minn.
12/21/2015,"Sierra Club, Inc. v. National Marine Fisheries Service",15-05872,N.D. Cal.
12/22/2015,Kushnick v. Federal Communications Commission,15-02229,D.D.C.
12/22/2015,"Judicial Watch, Inc. v. Department of Defense",15-02236,D.D.C.
12/22/2015,Bittner v. Internal Revenue Service,15-01209,W.D. Tex.
12/24/2015,Carlson v. U.S. Postal Service,15-06055,N.D. Cal.
12/24/2015,Huntington v. Department of Commerce,15-02249,D.D.C.
12/28/2015,Brian Thomas Brantley v. Drug Enforcement Administration,15-00802,M.D. Fla.
12/29/2015,Gilman v. Immigration and Customs Enforcement,15-01248,W.D. Tex.
12/29/2015,Hoeller v. Social Security Administration,15-01553,E.D. Wis.
12/30/2015,Morgan v. Federal Bureau of Investigation,15-01255,W.D. Tex.
