OGIS Final Response Letters FY 2016,,,,,,,,
Case Number,Letter Date,Date Added,Agency/ Department ,Component,OGIS Case Category,Exemption,OGIS Case Description,Document URL
 201501243,2015/12/04 ,2015/12/18 ,Department of Homeland Security,Citizenship and Immigration Services ,Denial,5,Customer disputes the agency's decision to withhold responsive records in part. Provided more information about the agency's actions.,https://ogis.archives.gov/Assets/2015-12-04-final-letter-201501243.pdf?method=1
,,,,,,6,,
,,,,,,7e,,
,,,,,,7e,,
201501242, 2015/10/26,2015/11/13 ,Department of Homeland Security,Citizenship and Immigration Services ,Denial,6,Customer requests assistance with a partially denied FOIA request. OGIS contacted agency to regarding the referral and exemption use. OGIS explained agency's referral process and their use of exemptions to customer.,https://ogis.archives.gov/Assets/2015-10-26-final-letter-201501242.pdf?method=1
,,,,,,7c,,
,,,,,,7e,,
201501240, 2015/11/24,2015/12/18 ,Department of Justice,Office of the Inspector General ,Search,,Customer requests assistance with a partially denied FOIA request. OGIS provided he requester with information regrading the agencies' search.,https://ogis.archives.gov/Assets/2015-11-24-final-letter-201501240.pdf?method=1
,,,,,,,,
201501237,2015/11/25 ,2016/01/29 ,Department of Justice,Drug Enforcement Agency,Estimated Date of Completion,,Customer sought OGIS’s assistance with a delayed FOIA request.  OGIS staff reached out to the agency and obtained information for the requester regarding the status of the request.,https://ogis.archives.gov/Assets/2015-11-27-final-letter-201501237.pdf?method=1
,,,,,,,,
201501236, 2015/12/04, 2015/12/18,Central Intelligence Agency ,,Denial,,Customer disputes agency's determination that a request is overly broad. OGIS contacted the agency for more information about its action.,https://ogis.archives.gov/Assets/2015-12-04-final-letter-201501236.pdf?method=1
,,,,,,,,
201501234, 2015/12/07,2015/12/18 ,Department of Justice,Executive Office for United States Attorneys,Delay,,"Customer disputed agency's response to a request, then contacted OGIS again to inform us that the agency is now processing his request.",https://ogis.archives.gov/Assets/2015-12-07-final-letter-201501234.pdf?method=1
,,,,,,,,
 201501231,2016/01/13 ,2016/01/15 ,Department of Justice,Federal Bureau of Prisons ,Ombuds,,Customer disputes the completeness of the agency's response. Contacted the agency to learn more about the search. Suggested next steps to the requester.,https://ogis.archives.gov/Assets/2016-01-13-final-letter-201501231.pdf?method=1
,,,,,,,,
201501215,2015/10/27 ,2015/10/30 ,Department of Justice,Federal Bureau of Prisons ,Delay,,"Customer contacted OGIS for assistance with delayed FOIA requests. Provided the requester with additional information regarding the status of the requests, and how to file an appeal.",https://ogis.archives.gov/Assets/2015-10-25-final-letter-201501215.pdf?method=1
,,,,,,,,
201501213, 2015/12/01,2015/12/04 ,Housing and Urban Development ,,Fee,,"Customer seeks assistance with delayed request and fee assessment. Though agency declined to provide an estimated date of completion, it did provide information about the requester's fee category and fee assessment.",https://ogis.archives.gov/Assets/2015-12-01-final-letter-201501213.pdf?method=1
,,,,,Delay,,,
 201501208,2015/10/08 , 2015/10/16,Department of Justice,Federal Bureau of Investigation,Ombuds,,"Customer requested assistance with denied FOIA request. OGIS explained that customer asked the agency a question, which agencies don't have to answer. OGIS provided some links to agency's website.",https://ogis.archives.gov/Assets/2015-10-08-final-letter-201501208.pdf?method=1
,,,,,,,,
201501199, 2016/03/24,2016/04/08 ,Department of Defense,Army Audit Agency,Ombuds,,Customer seeks status of requests which have not been acknowledged by the agency. OGIS worked with the agency to determine where 4 different requests were in the process. OGIS sent information to the customer.,https://ogis.archives.gov/Assets/2016-03-24-final-letter-201501199.pdf?method=1
,,,,,,,,
 201501194,2015/10/22 ,2015/10/23 ,Department of Labor ,,Fee,,Customer requested status updates and estimated date of completions. OGIS contacted agency for status and estimated date of completion. OGIS was able to get the status of the requests.,https://ogis.archives.gov/Assets/2015-10-22-final-letter-201501194.pdf?method=1
,,,,,Delay,,,
 201501183,2015/10/02 , 2015/10/09,Department of Health and Human Services,Centers for Disease Control and Prevention,Delay,,Customer contacted OGIS for assistance regarding a delayed FOIA request. OGIS provided the requester with an estimated date of completion and more information regarding the agency's FOIA process and backlog.,https://ogis.archives.gov/Assets/2015-10-2-final-letter-201501183.pdf?method=1
,,,,,,,,
201501168, 2015/10/01, 2015/10/09,Department of Justice,Federal Bureau of Investigation,Denial,7a,Customer requested assistance with denied FOIA request. OGIS provided information to requester about exemptions.,https://ogis.archives.gov/Assets/2015-10-1-final-letter-201501168.pdf?method=1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
 201501167,2015/10/09 ,2015/12/18 ,Department of Defense,National Guard Bureau,Estimated Date of Completion,,Customer contacted OGIS for assistance with a delayed FOIA request. OGIS provided the requester with additional information about the agency's process and an estimated date of completion.,https://ogis.archives.gov/Assets/2015-10-09-final-letter-201501167.pdf?method=1
,,,,,,,,
201501159,2015/11/05 ,2015/11/13 ,Department of Defense,Defense Intelligence Agency,Delay,,"Customer requested assistance with denied FOIA request, and subsequent appeal delay. OGIS contacted the agency to learn about the delay and where the agency is in the process. OGIS relayed that information to the requester.",https://ogis.archives.gov/Assets/2015-11-05-final-letter-201501159.pdf?method=1
,,,,,,,,
201501150,2015/10/02 , 2015/10/16,Department of Justice,Federal Bureau of Investigation,Search,,Customer requested assistance with denied FOIA request and appeal. OGIS contacted the agency to learn more about the search procedures with this particular request. OGIS sent customer what we learned from agency and how they index records for search.,https://ogis.archives.gov/Assets/2015-10-02-final-letter-201501150.pdf?method=1
,,,,,,,,
201501127, 2015/12/22,2016/02/05 ,Forest Service ,,Estimated Date of Completion,,Customer sought OGIS’s assistance with a delayed FOIA request.  OGIS staff reached out to the agency and obtained information for the requester regarding the status of the request.,https://ogis.archives.gov/Assets/2015-12-22-final-letter-201501127.pdf?method=1
,,,,,,,,
201501116,2015/09/28 ,2015/10/02 ,Department of Justice,Bureau of Prisons ,Denial,6,Customer requested assistance with denied FOIA request. OGIS explained the agency's use of exemptions and provided information about the Bureau of Prison's Administrative Remedy Program,https://ogis.archives.gov/Assets/2015-09-28-final-letter-201501116.pdf?method=1
,,,,,,7c,,
,,,,,,,,
,,,,,,7f,,
,,,,,,,,
201501110, 2016/02/22, 2016/02/26,Department of Justice,Federal Bureau of Investigation,Estimated Date of Completion,,Customer seeks information about a delayed request. Contacted agency to obtain estimated date of completion.,https://ogis.archives.gov/Assets/2016-02-22-final-letter-201501110.pdf?method=1
,,,,,,,,
"201501107, 201501113, 201600155", 2016/04/14, 2015/04/29,Department of Defense,Army Audit Agency,Ombuds,,Customer seeks assistance with a delayed request.  OGIS found out information concerning agency's action and provided the information to the requester.,https://ogis.archives.gov/Assets/2016-04-14-final-letter-201501107.pdf?method=1
,,,,,,,,
 201501099,2015/10/14 ,2015/12/18 ,Department of Justice,,No Records,,Requester contacted OGIS for assistance with denied FOIA requests. Provided the requester with additional information regarding the agencies' responses.,https://ogis.archives.gov/Assets/2015-10-14-final-letter-201501099.pdf?method=1
,,,,,,,,
 201501098,2015/10/06 , 2015/10/23,Department of Justice,Federal Bureau of Investigation,No Records,,"Customer disputes agency's no records response. Contacted the agency to learn more about the agency's response. Provided the customer with information regarding the FOIA, cross-reference search requests, and records schedules. Provided the customer with possible next steps.",https://ogis.archives.gov/Assets/2015-10-06-final-letter-201501098.pdf?method=1
,,,,,,,,
201501094,2015/10/03 , 2015/10/09,Small Business Administration,,Denial,4,Customer contacted OGIS for assistance with a denied FOIA request. Agency provided more information about the reason for withholding.,https://ogis.archives.gov/Assets/2015-10-3-final-letter-201501094.pdf
,,,,,,,,
,,,,,,,,
201501066,2015/10/28 ,2016/01/08 ,Department of Justice,Federal Bureau of Prisons ,Denial,7c,Customer requested assistance with denied FOIA appeal. OGIS contacted agency to obtain additional information and provided to customer.,https://ogis.archives.gov/Assets/2015-10-28-final-letter-201501066.pdf?method=1
,,,,,,7f,,
,,,,,,,,
 201501051, 2015/10/15,2015/01/08 ,Department of Homeland Security,Immigration and Customs Enforcement,Denial,2,Customer contacted OGIS for assistance. Contacted agency to obtain additional information about decision to withhold the records in part and was able to provide this information to customer.,https://ogis.archives.gov/Assets/2015-10-15-final-letter-201501051.pdf?method=1
,,,,,,6,,
,,,,,,7c,,
 201501048,2016/02/02 ,2016/03/25 ,Department of Justice,Executive Office for United States Attorneys,Denial,5,Customer contacted OGIS for assistance with a denied FOIA request. OGIS contacted agency and was able to obtain additional information on redactions used in the case and on the referral of the documents.,https://ogis.archives.gov/Assets/2016-02-02-final-letter-201501048.pdf?method=1
,,,,Federal Bureau of Investigation,,6,,
,,,,,,7c,,
201501039, 2016/02/23,2016/03/04 ,Federal Energy Regulatory Commission ,,Denial,4,Customer requested assistance with denied FOIA appeal. OGIS contacted agency and obtained information for requester,https://ogis.archives.gov/Assets/2016-02-23-final-letter-201501039.pdf?method=1
,,,,,,6,,
,,,,,,7a,,
,,,,,,7e,,
201501023, 2015/12/23,2016/01/08 ,National Archives and Records Administration,George W. Bush Presidential Library,Estimated Date of Completion,,Requester seeks information about duplication fees for a non FOIA records request. OGIS provided the requester with information regarding the status of the appeal.,https://ogis.archives.gov/Assets/2015-12-23-final-letter-201501023.pdf?method=1
,,,,,,,,
 201501020, 2015/12/03,2015/12/18 ,Department of the Interior,National Park Service: United States Park Police,Ombuds,,"Customer requested assistance with submitted FOIA requests, needs tracking number. OGIS contacted agency. Agency declined to participate in mediation.",https://ogis.archives.gov/Assets/2015-12-03-final-letter-201501020.pdf?method=1
,,,,,,,,
201501009,2016/01/09 ,2016/02/11 ,Department of Transportation,Federal Aviation Administration,Estimated Date of Completion,,Customer requests assistance with delayed FOIA requests.  Contacted the agency and provided information to the customer.,https://ogis.archives.gov/Assets/2016-01-09-final-letter-201501009.pdf?method=1
,,,,,,,,
 201500986, 2016/01/12,2016/02/05 ,Department of Energy,Patent and Trade Office,Glomar,,Customer disputed agency’s response to records request.  OGIS staff reached out to the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2016-01-12-final-letter-201500986.pdf?method=1
,,,,,,,,
201500983,2015/10/30 ,2015/11/013,Department of Defense,,Ombuds,,Customer requested assistance with multiple records requests. OGIS contacted the National Personnel Records Center to try to identify where records would be. NPRC responded directly to customer. OGIS followed up with a copy of the agency's response.,https://ogis.archives.gov/Assets/2015-10-30-final-letter-201500983.pdf?method=1
,,,,,,,,
201500938,2015/09/28 , 2015/10/02,Department of Justice,Executive Office for United States Attorneys,Ombuds,,"Customer contacted OGIS for assistance with a delayed FOIA request. OGIS contacted agency #1 and learned that the agency never received the referred document from agency #2. OGIS contacted agency #2 to find out if records were referred. Record were not referred. OGIS coordinated referral, gave tracking number for referral to customer.",https://ogis.archives.gov/Assets/2015-09-28-final-letter-201500938.pdf?method=1
,,,,Bureau of Prisons ,,,,
201500922,2015/09/04 ,2016/01/08 ,Department of Justice,Office of the Inspector General ,Denial,5,Customer requests assistance with a FOIA request denied in full under Exemption 5. Reached out to Agency for analysis and reasoning and provided to requester.,https://ogis.archives.gov/Assets/2015-09-04-final-letter-201500922.pdf?method=1
,,,,,,,,
,,,,,,,,
 201500878, 2015/11/10,2015/02/05 ,Commodity Futures Trading Commission ,,Denial,4,Customer disputed agency’s response to records request.  OGIS staff reached out to the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-11-10-final-letter-201500878.pdf?method=1
,,,,,,,,
,,,,,,,,
 201500862,2015/11/10 ,2016/02/05 ,Department of Energy,,Search,,Customer disputed agency’s response to records request.  OGIS staff reached out to the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-11-10-final-letter-201500862.pdf?method=1
,,,,,,,,
 201500856, 2015/12/07,2016/01/08 ,Department of the Treasury,Internal Revenue Service,Denial,,Customer requests assistance with denied FOIA request. Contacted Agency. They are reaching out to customer.,https://ogis.archives.gov/Assets/2015-12-17-final-letter-201500856.pdf?method=1
,,,,,,,,
 201500820, 2015/11/09, 2015/02/05,Department of Veterans Affairs,,Denial,3,Customer disputed agency’s response to records request.  OGIS staff reached out to the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-11-09-final-letter-201500820.pdf?method=1
,,,,,,,,
,,,,,,,,
201500725,2015/11/10 ,2015/02/05 ,Central Intelligence Agency ,,Glomar,1,Customer disputed agency’s response to records request.  OGIS staff reached out to the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-11-10-final-letter-201500725.pdf?method=1
,,,,,,3,,
,,,,,,,,
201500661,2015/12/22 ,2016/02/05 ,Federal Energy Regulatory Commission ,,Denial,6,Customer disputed agency’s response to records request.  OGIS staff reached out to the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-12-22-final-letter-201500661.pdf?method=1
,,,,,,,,
,,,,,,,,
201500588,2015/05/20 ,2015/11/13 ,Department of Defense,Naval Research Laboratory,Ombuds,,"Customer seeks better reproductions of requested records. OGIS contacted agency to ask for better reproductions, using the customer's specifications. Agency produced new reproductions and OGIS forwarded them to the customer.",https://ogis.archives.gov/Assets/2015-05-20-final-letter-201500588.pdf?method=1
,,,,,,,,
201500246,2015/10/30 ,2015/11/6 ,Department of Health and Human Services,Food and Drug Administration,Denial,4,"Requester sought assistance regarding the agency's withholding of information. Agency re-reviewed its processing and is firm in its position that the information it withheld is covered by Exemption 4. Also explained that once the administrative process ends, agencies generally do not re-process requests when an action is taken that causes the exemption to fall.",https://ogis.archives.gov/Assets/2015-10-30-final-letter-201500246.pdf?method=1
,,,,,,,,
,,,,,,,,
 2015001141,2015/12/09 ,2015/12/18 ,Department of Justice,Federal Bureau of Investigation,No Records,,"Customer disputed agency's ""no records"" response to a request. Contacted the agency to better understand its response to the customer's request. Provided the customer with information concernign the agency's response, the agency's record-keeping practices, and an explanation of Exemption 7(e). Provided the customer with information about possible next steps.",https://ogis.archives.gov/Assets/2015-12-09-final-letter-201501141.pdf?method=1
,,,,,,,,
 2015001140, 2016/03/01,2016/03/04 ,Small Business Administration,Office of the Inspector General ,Denial,5,Customer requested assistance with denied FOIA request. Contacted agency for more information about the applied exemptions.,https://ogis.archives.gov/Assets/2016-03-01-final-letter-201501140.pdf?method=1
,,,,,,6,,
,,,,,,7c,,
,,,,,,7d,,
,,,,,,7f,,
