Year,Agency,Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year
2013,USDA,FS,0,13,10,3
2013,USDA,FSA,0,22,20,2
2013,USDA,FSIS,0,0,0,0
2013,USDA,GIPSA,0,0,0,0
2013,USDA,NAD,0,0,0,0
2013,USDA,NRCS,0,2,2,0
2013,USDA,OBPA,0,1,1,0
2013,USDA,OCFO,0,0,0,0
2013,USDA,OGC,0,0,0,0
2013,USDA,OIG,0,0,0,0
2013,USDA,OSEC/OCIO/DM,0,4,4,0
2013,USDA,RD,1,0,0,1
2013,USDA,REE,0,2,2,0
2013,USDA,RMA,0,0,0,0
2013,USIBWC,USIBWC,0,0,0,0
2013,USITC,USITC,0,1,0,1
2013,USNRC,USNRC,0,7,5,2
2013,USPS,PS,0,0,0,0
2013,USPS,OIG,0,0,0,0
2013,USPS,PIS,0,13,11,2
2013,USTDA,USTDA,0,0,0,0
2013,USTR,USTR,8,7,10,5
2013,VA,Admin,0,0,0,0
2013,VA,BVA,0,0,0,0
2013,VA,C&LA,0,0,0,0
2013,VA,CFM,0,0,0,0
2013,VA,GC,0,0,0,0
2013,VA,HRM,0,0,0,0
2013,VA,IG,0,0,0,0
2013,VA,Mgmt,0,0,0,0
2013,VA,NCA,0,0,0,0
2013,VA,OAL,0,0,0,0
2013,VA,OASHRA,0,0,0,0
2013,VA,OASP&IA,0,0,0,0
2013,VA,ODASB,0,0,0,0
2013,VA,ODASIA,0,0,0,0
2013,VA,ODI,0,0,0,0
2013,VA,OF,0,0,0,0
2013,VA,OIT,0,0,0,0
2013,VA,ORM,0,0,0,0
2013,VA,OSDBU,0,0,0,0
2013,VA,OSP,0,0,0,0
2013,VA,P&P,0,0,0,0
2013,VA,PA,0,0,0,0
2013,VA,SEC,0,0,0,0
2013,VA,VBA,0,0,0,0
2013,VA,VHA,1,0,1,0
2014,ABMC,ABMC,0,0,0,0
2014,ACUS,ACUS,0,0,0,0
2014,AFRH,AFRH,0,0,0,0
2014,BBG,BBG,0,0,0,0
2014,CEQ,CEQ,17,9,21,5
2014,CFPB,CFPB,0,1,1,0
2014,CFTC,CFTC,0,0,0,0
2014,CIA,CIA,215,956,966,205
2014,CIGIE,CIGIE,0,4,4,0
2014,CNCS,CNCS,0,0,0,0
2014,CO,CO,0,0,0,0
2014,CPPBSD,CPPBSD,0,0,0,0
2014,CSB,CSB,0,0,0,0
2014,CSOSA,CSOSA,0,0,0,0
2014,DHS,CBP,32,66,42,56
2014,DHS,CRCL,0,4,4,0
2014,DHS,FEMA,1,4,4,1
2014,DHS,FLETC,0,0,0,0
2014,DHS,I&A,0,23,17,6
2014,DHS,ICE,45,65,67,43
2014,DHS,NPPD,0,0,0,0
2014,DHS,OIG,0,7,6,1
2014,DHS,OPS,0,1,1,0
2014,DHS,PRIV,31,19,27,23
2014,DHS,S&T,0,8,8,0
2014,DHS,TSA,15,15,19,11
2014,DHS,USCG,3,22,7,18
2014,DHS,USCIS,1,53,52,2
2014,DHS,USSS,12,31,24,19
2014,DNFSB,DNFSB,0,0,0,0
2014,DOC,BIS,0,7,7,0
2014,DOC,Census,0,2,2,0
2014,DOC,EDA,0,1,1,0
2014,DOC,ESA,0,0,0,0
2014,DOC,ITA,6,26,6,26
2014,DOC,MBDA,0,0,0,0
2014,DOC,NIST,0,7,7,0
2014,DOC,NOAA,0,7,6,1
2014,DOC,NTIA,0,9,9,0
2014,DOC,NTIS,0,1,1,0
2014,DOC,OIG,0,0,0,0
2014,DOC,OS,0,2,2,0
2014,DOC,PTO,0,1,1,0
2014,DoD,AF,60,150,124,86
2014,DoD,AFRICOM,40,37,32,45
2014,DoD,ARMY,157,361,385,133
2014,DoD,ASBCA,0,0,0,0
2014,DoD,CENTCOM,28,64,73,19
2014,DoD,DCAA,0,3,3,0
2014,DoD,DCMA,0,3,3,0
2014,DoD,DeCA,0,0,0,0
2014,DoD,DFAS,0,0,0,0
2014,DoD,DHA,1,3,4,0
2014,DoD,DIA,179,362,401,140
2014,DoD,DISA,3,6,4,5
2014,DoD,DLA,0,12,12,0
2014,DoD,DoD IG,0,6,5,1
2014,DoD,DoDEA,0,0,0,0
2014,DoD,DSS,0,0,0,0
2014,DoD,DTIC,0,0,0,0
2014,DoD,DTRA,1,16,14,3
2014,DoD,EUCOM,3,11,10,4
2014,DoD,JPRA,0,3,3,0
2014,DoD,NAVY,45,156,128,73
2014,DoD,NGA,31,60,62,29
2014,DoD,NGB,1,1,1,1
2014,DoD,NORTHCOM,2,23,23,2
2014,DoD,NRO,27,75,70,32
2014,DoD,NSA,173,326,277,222
2014,DoD,OSD/JS,220,186,194,212
2014,DoD,PACOM,10,9,14,5
2014,DoD,SOCOM,25,46,33,38
2014,DoD,SOUTHCOM,25,44,35,34
2014,DoD,STRATCOM,6,20,20,6
2014,DoD,TRANSCOM,1,8,4,5
2014,DOE,BPA,1,6,7,0
2014,DOE,CBFO,0,0,0,0
2014,DOE,CH,0,5,4,1
2014,DOE,EMCBC,0,0,0,0
2014,DOE,GFO,0,0,0,0
2014,DOE,HQ,97,151,128,120
2014,DOE,ID,0,0,0,0
2014,DOE,NETL,0,0,0,0
2014,DOE,NNSA,14,7,18,3
2014,DOE,NR,0,0,0,0
2014,DOE,NRLFO,0,0,0,0
2014,DOE,ORO,1,39,40,0
2014,DOE,OSTI,0,0,0,0
2014,DOE,ROO,0,0,0,0
2014,DOE,SEPA,0,0,0,0
2014,DOE,SPR,0,0,0,0
2014,DOE,SRO,1,4,3,2
2014,DOE,SWPA,0,0,0,0
2014,DOE,WAPA,0,0,0,0
2014,DOI,BIA,0,3,3,0
2014,DOI,BLM,0,0,0,0
2014,DOI,BOEM,0,5,5,0
2014,DOI,BOR,0,0,0,0
2014,DOI,BSEE,0,3,3,0
2014,DOI,FWS,0,5,5,0
2014,DOI,NPS,0,0,0,0
2014,DOI,OIG,0,0,0,0
2014,DOI,OS,1,20,21,0
2014,DOI,OSM,0,0,0,0
2014,DOI,SOL,0,0,0,0
2014,DOI,USGS,0,2,1,1
2014,DOJ,Office of the AG,2,8,8,2
2014,DOJ,Office of the DAG,2,9,11,0
2014,DOJ,Office of the Assoc. AG,0,0,0,0
2014,DOJ,Antitrust,0,3,3,0
2014,DOJ,ATF,0,30,17,13
2014,DOJ,BOP,0,0,0,0
2014,DOJ,Civil,0,22,22,0
2014,DOJ,Civil Rights,0,7,7,0
2014,DOJ,COPS,0,0,0,0
2014,DOJ,Criminal,30,53,50,33
2014,DOJ,CRS,0,0,0,0
2014,DOJ,DEA,10,187,179,18
2014,DOJ,ENRD,1,5,6,0
2014,DOJ,EOIR,0,0,0,0
2014,DOJ,EOUSA,9,116,67,58
2014,DOJ,EOUST,0,2,2,0
2014,DOJ,FBI,118,154,202,70
2014,DOJ,FCSC,0,0,0,0
2014,DOJ,JMD,0,11,11,0
2014,DOJ,NSD,0,8,8,0
2014,DOJ,OCDETF,0,0,0,0
2014,DOJ,OIG,0,0,0,0
2014,DOJ,OIP,2,2,3,1
2014,DOJ,OJP,0,9,9,0
2014,DOJ,OLA,0,7,6,1
2014,DOJ,OLC,0,14,14,0
2014,DOJ,OLP,0,1,1,0
2014,DOJ,OPR,0,4,4,0
2014,DOJ,OSG,2,15,17,0
2014,DOJ,OVW,0,0,0,0
2014,DOJ,Pardon Attorney,0,4,4,0
2014,DOJ,Public Affairs,0,3,2,1
2014,DOJ,PRAO,0,0,0,0
2014,DOJ,TAX,0,1,1,0
2014,DOJ,USMS,0,38,38,0
2014,DOJ,USNCB,0,3,3,0
2014,DOJ,USPC,0,0,0,0
2014,DOT,FAA,0,9,5,4
2014,DOT,FHWA,0,1,1,0
2014,DOT,FMCSA,0,0,0,0
2014,DOT,FRA,0,0,0,0
2014,DOT,FTA,0,0,0,0
2014,DOT,MARAD,0,0,0,0
2014,DOT,NHTSA,0,5,5,0
2014,DOT,OIG,2,10,11,1
2014,DOT,OST,0,5,5,0
2014,DOT,PHMSA,1,0,1,0
2014,DOT,RITA,0,0,0,0
2014,DOT,SLSDC,0,0,0,0
2014,ED,OCTAE,0,0,0,0
2014,ED,OSHS,0,0,0,0
2014,ED,FSA,0,0,0,0
2014,ED,IES,0,0,0,0
2014,ED,IES-NAGB,0,0,0,0
2014,ED,M,0,0,0,0
2014,ED,OCFO,0,0,0,0
2014,ED,OCFO-CAM,0,0,0,0
2014,ED,OCIO,0,0,0,0
2014,ED,OCO,0,0,0,0
2014,ED,OCR,0,0,0,0
2014,ED,OCR-1 Boston,0,0,0,0
2014,ED,OCR-2 New York,0,0,0,0
2014,ED,OCR-3 Philadelphia,0,0,0,0
2014,ED,OCR-4 Atlanta,0,0,0,0
2014,ED,OCR-5 Chicago,0,0,0,0
2014,ED,OCR-6 Dallas,0,0,0,0
2014,ED,OCR-7 Kansas City,0,0,0,0
2014,ED,OCR-8 Denver,0,0,0,0
2014,ED,OCR-9 San Francisco,0,0,0,0
2014,ED,OCR-10 Seattle,0,0,0,0
2014,ED,OCR-12 Cleveland,0,0,0,0
2014,ED,OCR-Metro D.C.,0,0,0,0
2014,ED,ODS,0,0,0,0
2014,ED,OESE,0,0,0,0
2014,ED,OGC,0,0,0,0
2014,ED,OIG,0,0,0,0
2014,ED,OII,0,0,0,0
2014,ED,OLCA,0,0,0,0
2014,ED,OM,0,0,0,0
2014,ED,OM-PIRMS,0,0,0,0
2014,ED,OPE,0,0,0,0
2014,ED,OPEPD,0,0,0,0
2014,ED,OS,0,0,0,0
2014,ED,OSERS,0,0,0,0
2014,ED,OUS,0,0,0,0
2014,EEOC,ATLANTA,0,0,0,0
2014,EEOC,BIRMINGHAM,0,0,0,0
2014,EEOC,CHARLOTTE,0,0,0,0
2014,EEOC,CHICAGO,0,0,0,0
2014,EEOC,DALLAS,0,0,0,0
2014,EEOC,HOUSTON,0,0,0,0
2014,EEOC,INDIANAPOLIS,0,0,0,0
2014,EEOC,LOS ANGELES,0,0,0,0
2014,EEOC,MEMPHIS,0,0,0,0
2014,EEOC,MIAMI,0,0,0,0
2014,EEOC,NEW YORK,0,0,0,0
2014,EEOC,OLC/HDQ,0,0,0,0
2014,EEOC,PHILADELPHIA,0,0,0,0
2014,EEOC,PHOENIX,0,0,0,0
2014,EEOC,SAN FRANCISCO,0,0,0,0
2014,EEOC,ST. LOUIS,0,0,0,0
2014,EEOC,WFO,0,0,0,0
2014,EPA,HQ,4,9,13,0
2014,EPA,Region 1,0,0,0,0
2014,EPA,Region 2,0,0,0,0
2014,EPA,Region 3,0,1,1,0
2014,EPA,Region 4,0,0,0,0
2014,EPA,Region 5,0,0,0,0
2014,EPA,Region 6,0,0,0,0
2014,EPA,Region 7,0,0,0,0
2014,EPA,Region 8,0,0,0,0
2014,EPA,Region 9,0,1,1,0
2014,EPA,Region 10,0,0,0,0
2014,Ex-Im Bank,OIG,0,0,0,0
2014,Ex-Im Bank,HQ,0,0,0,0
2014,FCA,FCA,0,1,1,0
2014,FCC,FCC,0,1,1,0
2014,FCSIC,FCSIC,0,0,0,0
2014,FDIC,FDIC,1,1,2,0
2014,FEC,FEC,0,4,2,2
2014,FERC,FERC,0,0,0,0
2014,FFIEC,FFIEC,0,0,0,0
2014,FHFA,FHFA-HQ,0,2,2,0
2014,FHFA,FHFA-OIG,0,0,0,0
2014,FLRA,FSIP,0,0,0,0
2014,FLRA,Authority,0,0,0,0
2014,FLRA,IG,0,0,0,0
2014,FLRA,OGC,0,0,0,0
2014,FLRA,ATRO,0,0,0,0
2014,FLRA,BORO,0,0,0,0
2014,FLRA,CHRO,0,0,0,0
2014,FLRA,DARO,0,0,0,0
2014,FLRA,DERO,0,0,0,0
2014,FLRA,SFRO,0,0,0,0
2014,FLRA,WARO,0,0,0,0
2014,FMCS,FMCS,0,0,0,0
2014,FMSHRC,FMSHRC,0,0,0,0
2014,FOMC,FOMC,0,0,0,0
2014,FRB,FRB,2,6,5,3
2014,FRTIB,FRTIB,0,0,0,0
2014,FTC,FTC,0,12,12,0
2014,GSA,GSA,0,0,0,0
2014,HHS,ACF,0,0,0,0
2014,HHS,CMS,0,0,0,0
2014,HHS,OIG,0,4,4,0
2014,HHS,CDC,0,0,0,0
2014,HHS,FDA,0,11,11,0
2014,HHS,HRSA,0,0,0,0
2014,HHS,IHS,0,0,0,0
2014,HHS,NIH,0,4,4,0
2014,HHS,SAMHSA,0,0,0,0
2014,HHS,OS,0,1,1,0
2014,HHS,OASH,0,0,0,0
2014,HHS,ACL,0,0,0,0
2014,HUD,HQ,0,6,6,0
2014,HUD,OIG,0,0,0,0
2014,HUD,R01,0,0,0,0
2014,HUD,R02,0,0,0,0
2014,HUD,R03,0,0,0,0
2014,HUD,R04,0,2,1,1
2014,HUD,R05,0,0,0,0
2014,HUD,R06,0,0,0,0
2014,HUD,R07,0,0,0,0
2014,HUD,R08,0,0,0,0
2014,HUD,R09,0,0,0,0
2014,HUD,R0X,0,0,0,0
2014,IAF,IAF,0,0,0,0
2014,IMLS,IMLS,0,0,0,0
2014,LSC,OLA,0,0,0,0
2014,LSC,OIG,0,0,0,0
2014,MCC,MCC,0,0,0,0
2014,MSPB,MSPB,0,1,1,0
2014,NARA,NARA,0,8,8,0
2014,NASA,AFRC,0,0,0,0
2014,NASA,ARC,0,0,0,0
2014,NASA,GRC,0,0,0,0
2014,NASA,GSFC,0,0,0,0
2014,NASA,HQ,1,5,4,2
2014,NASA,JPL,0,0,0,0
2014,NASA,JSC,0,0,0,0
2014,NASA,KSC,0,0,0,0
2014,NASA,LaRC,0,0,0,0
2014,NASA,MSFC,0,0,0,0
2014,NASA,NSSC,0,0,0,0
2014,NASA,OGC,0,0,0,0
2014,NASA,OIG,0,2,2,0
2014,NASA,SSC,0,0,0,0
2014,NCPC,NCPC,0,0,0,0
2014,NCUA,NCUA,0,0,0,0
2014,NEA,NEA,0,0,0,0
2014,NEH,NEH,0,0,0,0
2014,NIGC,NIGC,0,0,0,0
2014,NLRB,NLRB,0,2,2,0
2014,NRPC,NRPC,0,0,0,0
2014,NSF,OGC,0,0,0,0
2014,NSF,OIG,0,0,0,0
2014,NTSB,NTSB,0,0,0,0
2014,ODNI,ODNI,0,33,23,10
2014,OGE,OGE,0,0,0,0
2014,OMB,OMB,2,29,29,2
2014,ONDCP,ONDCP,0,4,4,0
2014,ONHIR,ONHIR,0,0,0,0
2014,OPIC,OPIC,0,2,2,0
2014,OPM,OPM,4,9,13,0
2014,OSC,OSC,0,4,4,0
2014,OSHRC,OSHRC,0,0,0,0
2014,OSTP,OSTP,0,9,9,0
2014,PBGC,PBGC,0,0,0,0
2014,PC,FOIA Office,1,0,0,1
2014,PC,OIG,0,0,0,0
2014,PCLOB,PCLOB,0,0,0,0
2014,PRC,PRC,0,0,0,0
2014,RATB,RATB,0,0,0,0
2014,SBA,SBA,0,3,3,0
2014,SEC,SEC,0,12,10,2
2014,SIGAR,SIGAR,0,0,0,0
2014,SSA,SSA,0,22,22,0
2014,SSS,SSS,0,0,0,0
2014,State,DoS,1669,11554,11752,1471
2014,State,OIG,0,0,0,0
2014,STB,STB,0,0,0,0
2014,Treasury,BEP,0,1,1,0
2014,Treasury,DO,18,23,36,5
2014,Treasury,FinCEN,0,17,16,1
2014,Treasury,IRS,13,149,89,73
2014,Treasury,MINT,0,0,0,0
2014,Treasury,OCC,0,0,0,0
2014,Treasury,TIGTA,0,4,3,1
2014,Treasury,TTB,0,1,1,0
2014,Treasury,Fiscal Service,5,5,0,10
2014,TVA,TVA,1,4,5,0
2014,U.S. CPSC,U.S. CPSC,0,0,0,0
2014,U.S. DOL,ADJ BDS,0,0,0,0
2014,U.S. DOL,ALJ,0,1,1,0
2014,U.S. DOL,ASP,0,0,0,0
2014,U.S. DOL,BLS,0,1,1,0
2014,U.S. DOL,CFO,0,0,0,0
2014,U.S. DOL,EBSA,0,0,0,0
2014,U.S. DOL,ETA,0,1,1,0
2014,U.S. DOL,EXEC SEC,0,0,0,0
2014,U.S. DOL,ILAB,0,0,0,0
2014,U.S. DOL,MSHA,0,0,0,0
2014,U.S. DOL,OASAM,0,0,0,0
2014,U.S. DOL,OCIA,0,0,0,0
2014,U.S. DOL,ODEP,0,0,0,0
2014,U.S. DOL,OFCCP,0,0,0,0
2014,U.S. DOL,OIG,0,0,0,0
2014,U.S. DOL,OLMS,0,2,2,0
2014,U.S. DOL,OPA,0,0,0,0
2014,U.S. DOL,OSEC,0,1,1,0
2014,U.S. DOL,OSHA,1,57,57,1
2014,U.S. DOL,OWCP,1,0,1,0
2014,U.S. DOL,SOL,0,0,0,0
2014,U.S. DOL,VETS,2,0,2,0
2014,U.S. DOL,WB,0,0,0,0
2014,U.S. DOL,WHD,1,20,19,2
2014,US ADF,US ADF,0,0,0,0
2014,US RRB,OIG,0,0,0,0
2014,US RRB,RRB,0,0,0,0
2014,USAID,USAID,8,13,12,9
2014,USCCR,USCCR,0,0,0,0
2014,USDA,AMS,0,0,0,0
2014,USDA,APHIS,0,1,1,0
2014,USDA,ASCR,0,0,0,0
2014,USDA,FAS,0,0,0,0
2014,USDA,FNCS,0,0,0,0
2014,USDA,FS,3,4,7,0
2014,USDA,FSA,2,20,20,2
2014,USDA,FSIS,0,0,0,0
2014,USDA,GIPSA,0,0,0,0
2014,USDA,NAD,0,0,0,0
2014,USDA,NRCS,0,0,0,0
2014,USDA,OBPA,0,0,0,0
2014,USDA,OCFO,0,0,0,0
2014,USDA,OGC,0,0,0,0
2014,USDA,OIG,0,8,8,0
2014,USDA,OSEC/OCIO/DM,0,6,6,0
2014,USDA,RD,1,0,0,1
2014,USDA,REE,0,0,0,0
2014,USDA,RMA,0,0,0,0
2014,USIBWC,USIBWC,0,1,1,0
2014,USITC,USITC,1,1,2,0
2014,USNRC,USNRC,2,2,4,0
2014,USPS,PS,0,1,1,0
2014,USPS,OIG,0,0,0,0
2014,USPS,PIS,2,9,10,1
2014,USTDA,USTDA,0,10,9,1
2014,USTR,USTR,5,2,2,5
2014,VA,Admin,0,0,0,0
2014,VA,BVA,0,0,0,0
2014,VA,C&LA,0,0,0,0
2014,VA,CFM,0,0,0,0
2014,VA,GC,0,1,1,0
2014,VA,HRM,0,0,0,0
2014,VA,IG,0,0,0,0
2014,VA,Mgmt,0,0,0,0
2014,VA,NCA,0,0,0,0
2014,VA,OAL,0,0,0,0
2014,VA,OASHRA,0,0,0,0
2014,VA,OASP&IA,0,0,0,0
2014,VA,ODASB,0,0,0,0
2014,VA,ODASIA,0,0,0,0
2014,VA,ODI,0,0,0,0
2014,VA,OF,0,0,0,0
2014,VA,OIT,0,3,2,1
2014,VA,ORM,0,0,0,0
2014,VA,OSDBU,0,0,0,0
2014,VA,OSP,0,0,0,0
2014,VA,P&P,0,0,0,0
2014,VA,PA,0,0,0,0
2014,VA,SEC,0,0,0,0
2014,VA,VBA,0,0,0,0
2014,VA,VHA,0,2,2,0
2015,ABMC,ABMC,0,0,0,0
2015,ACUS,ACUS,0,0,0,0
2015,AFRH,AFRH,0,1,1,0
2015,BBG,BBG,0,1,1,0
2015,CEQ,CEQ,5,21,26,0
2015,CFPB,CFPB,0,3,3,0
2015,CFTC,CFTC,0,0,0,0
2015,CIA,CIA,205,1155,1021,339
2015,CIGIE,CIGIE,0,0,0,0
2015,CNCS,CNCS,0,0,0,0
2015,CO,CO,0,0,0,0
2015,CPPBSD,CPPBSD,0,0,0,0
2015,CSB,CSB,0,0,0,0
2015,CSOSA,CSOSA,0,0,0,0
2015,DHS,CBP,56,59,33,82
2015,DHS,CRCL,0,4,4,0
2015,DHS,FEMA,1,11,10,2
2015,DHS,FLETC,0,2,2,0
2015,DHS,I&A,6,10,16,0
2015,DHS,ICE,43,159,160,42
2015,DHS,NPPD,0,6,5,1
2015,DHS,OIG,1,6,6,1
2015,DHS,PRIV,3,21,24,0
2015,DHS,S&T,0,2,2,0
2015,DHS,TSA,11,14,18,7
2015,DHS,USCG,18,28,13,33
2015,DHS,USCIS,2,55,55,2
2015,DHS,USSS,21,27,31,17
2015,DNFSB,DNFSB,0,0,0,0
2015,DOC,BIS,0,10,10,0
2015,DOC,Census,0,5,5,0
2015,DOC,EDA,0,0,0,0
2015,DOC,ESA,0,0,0,0
2015,DOC,ITA,32,20,5,47
2015,DOC,MBDA,0,1,1,0
2015,DOC,NIST,0,15,15,0
2015,DOC,NOAA,1,12,13,0
2015,DOC,NTIA,0,6,6,0
2015,DOC,NTIS,0,0,0,0
2015,DOC,OIG,0,0,0,0
2015,DOC,OS,0,9,7,2
2015,DOC,PTO,0,1,1,0
2015,DoD,AF,89,160,200,49
2015,DoD,AFRICOM,45,58,37,66
2015,DoD,ARMY,154,336,336,154
2015,DoD,ASBCA,0,0,0,0
2015,DoD,CENTCOM,19,84,61,42
2015,DoD,DCAA,0,4,4,0
2015,DoD,DCMA,0,3,3,0
2015,DoD,DeCA,0,0,0,0
2015,DoD,DFAS,0,0,0,0
2015,DoD,DHA,0,3,2,1
2015,DoD,DIA,141,372,320,193
2015,DoD,DISA,5,15,3,17
2015,DoD,DLA,0,6,6,0
2015,DoD,DoD IG,1,10,9,2
2015,DoD,DoDEA,0,0,0,0
2015,DoD,DSS,0,5,5,0
2015,DoD,DTIC,0,0,0,0
2015,DoD,DTRA,3,16,10,9
2015,DoD,EUCOM,4,3,4,3
2015,DoD,JPRA,0,10,10,0
2015,DoD,NAVY,76,239,252,63
2015,DoD,NGA,29,45,42,32
2015,DoD,NGB,0,2,0,2
2015,DoD,NORTHCOM,2,25,26,1
2015,DoD,NRO,32,44,62,14
2015,DoD,NSA,217,334,200,351
2015,DoD,OSD/JS,215,206,222,199
2015,DoD,PACOM,0,10,10,0
2015,DoD,SOCOM,41,134,117,58
2015,DoD,SOUTHCOM,34,64,70,28
2015,DoD,STRATCOM,0,13,11,2
2015,DoD,TRANSCOM,5,9,11,3
2015,DOE,BPA,0,5,4,1
2015,DOE,CBFO,0,0,0,0
2015,DOE,CH,1,11,12,0
2015,DOE,EMCBC,0,1,1,0
2015,DOE,GFO,0,1,1,0
2015,DOE,HQ,120,207,200,127
2015,DOE,ID,0,0,0,0
2015,DOE,NETL,0,2,1,1
2015,DOE,NNSA,3,6,5,4
2015,DOE,NR,0,0,0,0
2015,DOE,NRLFO,0,0,0,0
2015,DOE,ORO,0,52,52,0
2015,DOE,OSTI,0,0,0,0
2015,DOE,ROO,0,1,1,0
2015,DOE,SEPA,0,0,0,0
2015,DOE,SPR,0,0,0,0
2015,DOE,SRO,2,9,10,1
2015,DOE,SWPA,0,0,0,0
2015,DOE,WAPA,0,0,0,0
2015,DOI,BIA,0,0,0,0
2015,DOI,BLM,0,0,0,0
2015,DOI,BOEM,0,7,7,0
2015,DOI,BOR,0,0,0,0
2015,DOI,BSEE,0,6,6,0
2015,DOI,FWS,0,21,20,1
2015,DOI,NPS,0,0,0,0
2015,DOI,OIG,0,0,0,0
2015,DOI,OS,0,27,25,2
2015,DOI,OSM,0,0,0,0
2015,DOI,SOL,0,0,0,0
2015,DOI,USGS,1,7,8,0
2015,DOJ,Office of the AG,2,9,8,3
2015,DOJ,Office of the DAG,2,7,6,3
2015,DOJ,Office of the Assoc. AG,0,0,0,0
2015,DOJ,Antitrust,0,7,6,1
2015,DOJ,ATF,15,42,35,22
2015,DOJ,BOP,0,28,27,1
2015,DOJ,Civil,0,34,32,2
2015,DOJ,Civil Rights,0,19,19,0
2015,DOJ,COPS,0,3,2,1
2015,DOJ,Criminal,38,43,55,26
2015,DOJ,CRS,0,0,0,0
2015,DOJ,DEA,18,231,221,28
2015,DOJ,ENRD,0,11,11,0
2015,DOJ,EOIR,0,0,0,0
2015,DOJ,EOUSA,58,92,117,33
2015,DOJ,EOUST,0,4,4,0
2015,DOJ,FBI,68,159,159,68
2015,DOJ,FCSC,0,0,0,0
2015,DOJ,JMD,0,8,8,0
2015,DOJ,NSD,0,30,28,2
2015,DOJ,OCDETF,0,6,6,0
2015,DOJ,OIG,0,0,0,0
2015,DOJ,OIP,1,5,4,2
2015,DOJ,OJP,0,0,0,0
2015,DOJ,OLA,1,7,7,1
2015,DOJ,OLC,0,17,17,0
2015,DOJ,OLP,0,0,0,0
2015,DOJ,OPR,0,0,0,0
2015,DOJ,OSG,0,12,7,5
2015,DOJ,OVW,0,0,0,0
2015,DOJ,Pardon Attorney,0,3,3,0
2015,DOJ,Public Affairs,0,2,2,0
2015,DOJ,PRAO,0,1,1,0
2015,DOJ,TAX,0,0,0,0
2015,DOJ,USMS,3,41,44,0
2015,DOJ,USNCB,0,5,5,0
2015,DOJ,USPC,0,0,0,0
2015,DOT,FAA,4,4,7,1
2015,DOT,FHWA,0,0,0,0
2015,DOT,FMCSA,0,0,0,0
2015,DOT,FRA,0,0,0,0
2015,DOT,FTA,0,0,0,0
2015,DOT,MARAD,0,1,1,0
2015,DOT,NHTSA,0,1,1,0
2015,DOT,OIG,1,4,5,0
2015,DOT,OST,0,6,6,0
2015,DOT,PHMSA,0,2,1,1
2015,DOT,RITA,0,0,0,0
2015,DOT,SLSDC,0,0,0,0
2015,ED,OCTAE,0,0,0,0
2015,ED,OSHS,0,0,0,0
2015,ED,OM-OCPO,0,0,0,0
2015,ED,FSA,0,0,0,0
2015,ED,IES,0,0,0,0
2015,ED,IES-NAGB,0,0,0,0
2015,ED,M,0,0,0,0
2015,ED,OCFO,0,0,0,0
2015,ED,OCFO-CAM,0,0,0,0
2015,ED,OCIO,0,0,0,0
2015,ED,OCO,0,0,0,0
2015,ED,OCR,0,0,0,0
2015,ED,OCR-1 Boston,0,0,0,0
2015,ED,OCR-2 New York,0,0,0,0
2015,ED,OCR-3 Philadelphia,0,0,0,0
2015,ED,OCR-4 Atlanta,0,0,0,0
2015,ED,OCR-5 Chicago,0,0,0,0
2015,ED,OCR-6 Dallas,0,0,0,0
2015,ED,OCR-7 Kansas City,0,0,0,0
2015,ED,OCR-8 Denver,0,0,0,0
2015,ED,OCR-9 San Francisco,0,0,0,0
2015,ED,OCR-10 Seattle,0,0,0,0
2015,ED,OCR-12 Cleveland,0,0,0,0
2015,ED,OCR-Metro D.C.,0,0,0,0
2015,ED,ODS,0,0,0,0
2015,ED,OESE,0,0,0,0
2015,ED,OGC,0,0,0,0
2015,ED,OIG,0,0,0,0
2015,ED,OII,0,0,0,0
2015,ED,OLCA,0,0,0,0
2015,ED,OM,0,0,0,0
2015,ED,OPE,0,0,0,0
2015,ED,OPEPD,0,0,0,0
2015,ED,OS,0,0,0,0
2015,ED,OSERS,0,0,0,0
2015,ED,OUS,0,0,0,0
2015,EEOC,ATLANTA,0,0,0,0
2015,EEOC,BIRMINGHAM,0,0,0,0
2015,EEOC,CHARLOTTE,0,0,0,0
2015,EEOC,CHICAGO,0,0,0,0
2015,EEOC,DALLAS,0,0,0,0
2015,EEOC,HOUSTON,0,0,0,0
2015,EEOC,INDIANAPOLIS,0,0,0,0
2015,EEOC,LOS ANGELES,0,0,0,0
2015,EEOC,MEMPHIS,0,0,0,0
2015,EEOC,MIAMI,0,0,0,0
2015,EEOC,NEW YORK,0,0,0,0
2015,EEOC,OLC/HDQ,0,1,1,0
2015,EEOC,PHILADELPHIA,0,0,0,0
2015,EEOC,PHOENIX,0,0,0,0
2015,EEOC,SAN FRANCISCO,0,0,0,0
2015,EEOC,ST. LOUIS,0,0,0,0
2015,EEOC,WFO,0,0,0,0
2015,EPA,HQ,0,12,10,2
2015,EPA,Region 1,0,0,0,0
2015,EPA,Region 2,0,0,0,0
2015,EPA,Region 3,0,1,1,0
2015,EPA,Region 4,0,0,0,0
2015,EPA,Region 5,0,2,1,1
