Agency,Component,Description,No. of Times Used,Total,Year
DoD,DCMA,Misdirected Requests,8,46.0,2010
DoD,DeCA,,0,0.0,2010
DoD,DFAS,Administratively Closed,6,6.0,2010
DoD,DIA,Unable to contact requester,75,108.0,2010
DoD,DIA,Administratively Closed,33,108.0,2010
DoD,DISA,Administratively Closed,27,27.0,2010
DoD,DLA,Publicly Available,4,88.0,2010
DoD,DLA,Misdirected Request,76,88.0,2010
DoD,DLA,Administratively Closed,7,88.0,2010
DoD,DLA,Litigation,1,88.0,2010
DoD,DoDEA,Misdirected Request,1,1.0,2010
DoD,DoDIG,Litigation,1,1.0,2010
DoD,DSS,,0,0.0,2010
DoD,DTIC,Misdirected Request,4,15.0,2010
DoD,DTIC,Administratively Closed,10,15.0,2010
DoD,DTIC,Publicly Available,1,15.0,2010
DoD,DTRA,Administratively Closed,4,8.0,2010
DoD,DTRA,Publicly Available,1,8.0,2010
DoD,DTRA,Misdirected Request,3,8.0,2010
DoD,EUCOM,,0,0.0,2010
DoD,JFCOM,Misdirected Request,1,11.0,2010
DoD,JFCOM,Publicly Available,9,11.0,2010
DoD,JFCOM,Administratively Closed,1,11.0,2010
DoD,NAVY,Litigation,2,972.0,2010
DoD,NAVY,Misdirected Request,465,972.0,2010
DoD,NAVY,Administratively Closed,410,972.0,2010
DoD,NAVY,Publicly Available,95,972.0,2010
DoD,NGA,Administratively Closed,111,111.0,2010
DoD,NORTHCOM,,0,0.0,2010
DoD,NRO,Publicly Available,4,7.0,2010
DoD,NRO,Misdirected Request,3,7.0,2010
DoD,NSA,Misdirected Request,9,79.0,2010
DoD,NSA,Publicly Available,11,79.0,2010
DoD,NSA,Administratively Closed,59,79.0,2010
DoD,OSD/JS,Litigation,21,544.0,2010
DoD,OSD/JS,Publicly Available,30,544.0,2010
DoD,OSD/JS,Administratively Closed,50,544.0,2010
DoD,OSD/JS,Unable to contact requester,5,544.0,2010
DoD,OSD/JS,Misdirected Request,438,544.0,2010
DoD,PACOM,Administratively Closed,5,5.0,2010
DoD,SOCOM,Administratively Closed,25,26.0,2010
DoD,SOCOM,Publicly Available,1,26.0,2010
DoD,SOUTHCOM,Litigation,4,5.0,2010
DoD,SOUTHCOM,Administratively Closed,1,5.0,2010
DoD,STRATCOM,Administratively Closed,6,17.0,2010
DoD,STRATCOM,Misdirected Request,11,17.0,2010
DoD,TRANSCOM,Publicly Available,13,18.0,2010
DoD,TRANSCOM,Administratively Closed,5,18.0,2010
DoD,TRICARE,,0,0.0,2010
DoD,AFRICOM,,0,0.0,2010
DoD,NGB,,0,0.0,2010
DOE,BPA,,0,0.0,2010
DOE,CBFO,,0,0.0,2010
DOE,CH,,0,0.0,2010
DOE,GFO,,0,0.0,2010
DOE,ID,,0,0.0,2010
DOE,NETL,,0,0.0,2010
DOE,ORO,,0,0.0,2010
DOE,EMCBC,,0,0.0,2010
DOE,SPR,,0,0.0,2010
DOE,WAPA,,0,0.0,2010
DOE,HQ,,0,0.0,2010
DOE,HQ,File Review,1,4.0,2010
DOE,HQ,Litigation,2,4.0,2010
DOE,HQ,Glomar,1,4.0,2010
DOE,HQ,Moot,1,353.0,2010
DOE,HQ,,0,353.0,2010
DOE,HQ,Cancelled,60,353.0,2010
DOE,HQ,Glomar,2,353.0,2010
DOE,HQ,Records lost of destroyed,184,353.0,2010
DOE,HQ,Referred to the web,106,353.0,2010
DOE,ROO,,0,0.0,2010
DOE,SRO,,0,0.0,2010
DOE,NNSA,,0,0.0,2010
DOE,HQ,Clarification and no longer interest,242,242.0,2010
DOE,HQ,Not a proper FOIA request for some other reason,4,53.0,2010
DOE,HQ,Referrals,48,53.0,2010
DOE,HQ,Not an agency record,1,53.0,2010
DOE,HQ,"Deficient - Original signature, notarization, etc.",10,10.0,2010
DOE,HQ,Not an agency record,8,12.0,2010
DOE,HQ,Not a proper FOIA request for some other reason,4,12.0,2010
DOI,OIG,,0,0.0,2010
DOI,OIG,Request referred to another DOT component,5,5.0,2010
DOI,OIG,Referrals,2,3.0,2010
DOI,OIG,Not a proper FOIA request for some other reason,1,3.0,2010
DOI,OIG,Request Misdirected,2,4.0,2010
DOI,OIG,Verification of Identity Not Provided,2,4.0,2010
DOI,OIG,Defer to other Agency recommendation,1,6.0,2010
DOI,OIG,Unable to locate requester,2,6.0,2010
DOI,OIG,Records Publicly Available,1,6.0,2010
DOI,OIG,Coordinated by Another Office,1,6.0,2010
DOI,OIG,Nonresponsive to Requests for Additional Information,1,6.0,2010
DOI,BIA,Request administratively closed,1,68.0,2010
DOI,BIA,Assigned to other bureau/office for response,11,68.0,2010
DOI,BIA,Requester failed to provide written consent of subject individual,17,68.0,2010
DOI,BIA,Requester failed to provide requested clarification,39,68.0,2010
DOI,BLM,Request administratively closed,1,4.0,2010
DOI,BLM,Assigned to other bureau/office for response,1,4.0,2010
DOI,BLM,Requester failed to provide requested clarification,2,4.0,2010
DOI,BOR,Assigned to other bureau/office for response,2,5.0,2010
DOI,BOR,Request administratively closed,2,5.0,2010
DOI,BOR,Requester failed to provide requested clarification,1,5.0,2010
DOI,FWS,Requester failed to provide requested clarification,16,133.0,2010
DOI,FWS,Request administratively closed,4,133.0,2010
DOI,FWS,Assigned to other bureau/office for response,113,133.0,2010
DOI,NPS,Request administratively closed,7,21.0,2010
DOI,NPS,Requester failed to provide requested clarification,14,21.0,2010
DOI,OIG,,0,0.0,2010
DOI,OS,Assigned to other bureau/office for response,1,39.0,2010
DOI,OS,Request administratively closed,37,39.0,2010
DOI,OS,Requester failed to provide requested clarification,1,39.0,2010
DOI,OSM,,0,0.0,2010
DOI,SOL,Assigned to other bureau/office for response,1,2.0,2010
DOI,SOL,Request administratively closed,1,2.0,2010
DOI,USGS,Assigned to other bureau/office for response,2,8.0,2010
DOI,USGS,Requester failed to provide requested clarification,6,8.0,2010
DOI,OIG,Records located were not responsive to the request.,2,2.0,2010
DOI,SOL,SOL was consulted to review and provide advice only.  No processing required by SOL Staff.,1,1.0,2010
DOI,OIG,Administratively Closed,5,22.0,2010
DOI,OIG,Enjoined from Release by Court Order,2,22.0,2010
DOI,OIG,Records on OIG Website,8,22.0,2010
DOI,OIG,No Response from Requestor,7,22.0,2010
DOI,OS,Administrative closure,215,215.0,2010
DOI,OIG,0,0,0.0,2010
DOI,OIG,No authorization to release records,4,6.0,2010
DOI,OIG,Glomarization,2,6.0,2010
DOI,BOEMRE,Requester failed to provide requested clarification,3,4.0,2010
DOI,BOEMRE,Request administratively closed,1,4.0,2010
DOI,OIG,Clarification and no longer interest,3,3.0,2010
DOI,OIG,,0,0.0,2010
DOJ,Office of the AG,Referred Records Improperly Directed,1,37.0,2010
DOJ,Office of the AG,Directed requester to another agency or entity,26,37.0,2010
DOJ,Office of the AG,Referred Records Not Responsive,10,37.0,2010
DOJ,Office of the DAG,Directed requester to another agency or entity,9,14.0,2010
DOJ,Office of the DAG,Referred Records Not Responsive,5,14.0,2010
DOJ,Office of the Assoc. AG,Directed requester to another agency or entity,2,2.0,2010
DOJ,Antitrust,,0,0.0,2010
DOJ,ATF,Unable to locate requester,7,7.0,2010
DOJ,BOP,,0,0.0,2010
DOJ,Civil,,0,0.0,2010
DOJ,Civil Rights,,0,0.0,2010
DOJ,COPS,,0,0.0,2010
DOJ,Criminal,,0,0.0,2010
DOJ,CRS,,0,0.0,2010
DOJ,DEA,No forwarding address,258,258.0,2010
DOJ,ENRD,,0,0.0,2010
DOJ,EOIR,,0,0.0,2010
DOJ,EOUSA,Incorrectly Opened in Database,2,101.0,2010
DOJ,EOUSA,Access to PSR Available by Alternative Means,1,101.0,2010
DOJ,EOUSA,FOIA rights waived,51,101.0,2010
DOJ,EOUSA,No forwarding address,23,101.0,2010
DOJ,EOUSA,Request Moot,4,101.0,2010
DOJ,EOUSA,Closed in litigation,6,101.0,2010
DOJ,EOUSA,Court Sealed,14,101.0,2010
DOJ,EOUST,,0,0.0,2010
DOJ,FBI,,0,0.0,2010
DOJ,FCSC,,0,0.0,2010
DOJ,JMD,The Mail Referral Unit directed 212 requests to the appropriate DOJ component,0,2.0,2010
DOJ,JMD,Unable to locate requester,1,2.0,2010
DOJ,JMD,Document Subject to Court-issued Protective Order,1,2.0,2010
DOJ,NDIC,,0,0.0,2010
DOJ,NSD,Mail returned unclaimed,1,10.0,2010
DOJ,NSD,Unable to locate requester,7,10.0,2010
DOJ,NSD,Closed in litigation,2,10.0,2010
DOJ,ODR,,0,0.0,2010
DOJ,OFDT,,0,0.0,2010
DOJ,OIG,,0,0.0,2010
DOJ,OIP,Referred Records Improperly Directed,4,170.0,2010
DOJ,OIP,Directed requester to another agency or entity,165,170.0,2010
DOJ,OIP,Referred Records Not Responsive,1,170.0,2010
DOJ,OIPL,Directed requester to another agency or entity,1,2.0,2010
DOJ,OIPL,Referred Records Not Responsive,1,2.0,2010
DOJ,OJP,,0,0.0,2010
DOJ,OLA,Directed requester to another agency or entity,3,8.0,2010
DOJ,OLA,Referred Records Not Responsive,5,8.0,2010
DOJ,OLC,Misdirected by Another Agency/Component,1,1.0,2010
DOJ,OLP,Directed requester to another agency or entity,3,3.0,2010
DOJ,OPR,,0,0.0,2010
DOJ,OSG,,0,0.0,2010
DOJ,OVW,,0,0.0,2010
DOJ,Pardon Attorney,,0,0.0,2010
DOJ,Public Affairs,Directed requester to another agency or entity,3,4.0,2010
DOJ,Public Affairs,Referred Records Not Responsive,1,4.0,2010
DOJ,PRAO,,0,0.0,2010
DOJ,TAX,Mail returned unclaimed,1,1.0,2010
DOJ,USMS,Closed in litigation,1,7.0,2010
DOJ,USMS,FOIA rights waived,1,7.0,2010
DOJ,USMS,No forwarding address,5,7.0,2010
DOJ,USNCB,Referred Records Not Responsive,1,1.0,2010
DOJ,USPC,,0,0.0,2010
DOJ,OIG,Request referred to another DOT component,5,5.0,2010
DOJ,OIG,Referrals,2,3.0,2010
DOJ,OIG,Not a proper FOIA request for some other reason,1,3.0,2010
DOJ,OIG,Verification of Identity Not Provided,2,4.0,2010
DOJ,OIG,Request Misdirected,2,4.0,2010
DOJ,OIG,Nonresponsive to Requests for Additional Information,1,6.0,2010
DOJ,OIG,Defer to other Agency recommendation,1,6.0,2010
DOJ,OIG,Unable to locate requester,2,6.0,2010
DOJ,OIG,Records Publicly Available,1,6.0,2010
DOJ,OIG,Coordinated by Another Office,1,6.0,2010
DOJ,OIG,,0,0.0,2010
DOJ,OIG,Records located were not responsive to the request.,2,2.0,2010
DOJ,OIG,Administratively Closed,5,22.0,2010
DOJ,OIG,Enjoined from Release by Court Order,2,22.0,2010
DOJ,OIG,Records on OIG Website,8,22.0,2010
DOJ,OIG,No Response from Requestor,7,22.0,2010
DOJ,OLC,,0,0.0,2010
DOJ,OIG,0,0,0.0,2010
DOJ,OCDETF,,0,0.0,2010
DOJ,OIG,Glomarization,2,6.0,2010
DOJ,OIG,No authorization to release records,4,6.0,2010
DOJ,OIG,Clarification and no longer interest,3,3.0,2010
DOJ,OIG,,0,0.0,2010
DOT,OIG,,0,0.0,2010
DOT,FHWA,Records previously provided under different request,1,35.0,2010
DOT,FHWA,Request referred outside of DOT,6,35.0,2010
DOT,FHWA,Request referred to another DOT component,28,35.0,2010
DOT,FTA,Request referred to another DOT component,3,3.0,2010
DOT,NHTSA,Request referred to another DOT component,1,1.0,2010
DOT,OIG,Request referred to another DOT component,5,5.0,2010
DOT,OST,Request referred to another DOT component,73,73.0,2010
DOT,PHMSA,Request referred to another DOT component,2,5.0,2010
DOT,PHMSA,Request referred outside of DOT,3,5.0,2010
DOT,RITA,Request referred to another DOT component,1,1.0,2010
DOT,OIG,Not a proper FOIA request for some other reason,1,3.0,2010
DOT,OIG,Referrals,2,3.0,2010
DOT,OIG,Verification of Identity Not Provided,2,4.0,2010
DOT,OIG,Request Misdirected,2,4.0,2010
DOT,OIG,Defer to other Agency recommendation,1,6.0,2010
DOT,OIG,Unable to locate requester,2,6.0,2010
DOT,OIG,Records Publicly Available,1,6.0,2010
DOT,OIG,Coordinated by Another Office,1,6.0,2010
DOT,OIG,Nonresponsive to Requests for Additional Information,1,6.0,2010
DOT,OIG,,0,0.0,2010
DOT,OIG,Records located were not responsive to the request.,2,2.0,2010
DOT,OIG,Enjoined from Release by Court Order,2,22.0,2010
DOT,OIG,Records on OIG Website,8,22.0,2010
DOT,OIG,No Response from Requestor,7,22.0,2010
DOT,OIG,Administratively Closed,5,22.0,2010
DOT,OIG,0,0,0.0,2010
DOT,OIG,No authorization to release records,4,6.0,2010
DOT,OIG,Glomarization,2,6.0,2010
DOT,OIG,Clarification and no longer interest,3,3.0,2010
DOT,OIG,,0,0.0,2010
ED,OIG,,0,0.0,2010
ED,OIG,Request referred to another DOT component,5,5.0,2010
ED,OGC,0,0,0.0,2010
ED,OIG,Not a proper FOIA request for some other reason,1,3.0,2010
ED,OIG,Referrals,2,3.0,2010
ED,OIG,Request Misdirected,2,4.0,2010
ED,OIG,Verification of Identity Not Provided,2,4.0,2010
ED,OIG,Records Publicly Available,1,6.0,2010
ED,OIG,Coordinated by Another Office,1,6.0,2010
ED,OIG,Nonresponsive to Requests for Additional Information,1,6.0,2010
ED,OIG,Defer to other Agency recommendation,1,6.0,2010
ED,OIG,Unable to locate requester,2,6.0,2010
ED,OGC,Litigation,4,4.0,2010
ED,OIG,,0,0.0,2010
ED,OS,Requester failed to provide requested clarification,1,39.0,2010
ED,OS,Assigned to other bureau/office for response,1,39.0,2010
ED,OS,Request administratively closed,37,39.0,2010
ED,OIG,Records located were not responsive to the request.,2,2.0,2010
ED,OIG,Enjoined from Release by Court Order,2,22.0,2010
ED,OIG,Records on OIG Website,8,22.0,2010
ED,OIG,No Response from Requestor,7,22.0,2010
ED,OIG,Administratively Closed,5,22.0,2010
ED,OS,Administrative closure,215,215.0,2010
ED,OGC,0,0,0.0,2010
ED,OIG,0,0,0.0,2010
ED,OIG,Glomarization,2,6.0,2010
ED,OIG,No authorization to release records,4,6.0,2010
ED,FSA,Requester failed to provide adequate mailing address,2,38.0,2010
ED,FSA,Records not available in format requested,18,38.0,2010
ED,FSA,Glomar response,8,38.0,2010
ED,FSA,Requester referred to public website,10,38.0,2010
ED,OCFO,,0,0.0,2010
ED,OGC,Requester left no forwarding address,1,1.0,2010
ED,OIG,Clarification and no longer interest,3,3.0,2010
ED,OGC,too broad.,1,7.0,2010
ED,OGC,unable to locate records.,4,7.0,2010
ED,OGC,records retired to NARA,1,7.0,2010
ED,OGC,records previously provided under case 10-226F,1,7.0,2010
ED,OIG,,0,0.0,2010
EEOC,ATLANTA,Convert Section 83,60,78.0,2010
EEOC,ATLANTA,Other Files Lost,10,78.0,2010
EEOC,ATLANTA,Other Files Destroy,8,78.0,2010
EEOC,BIRMINGHAM,Convert Section 83,0,29.0,2010
EEOC,BIRMINGHAM,Other Files Lost,23,29.0,2010
EEOC,BIRMINGHAM,Other Files Destroy,6,29.0,2010
EEOC,CHARLOTTE,Other Files Lost,50,50.0,2010
EEOC,CHARLOTTE,Other Files Destroy,0,50.0,2010
EEOC,CHARLOTTE,Convert Section 83,0,50.0,2010
EEOC,CHICAGO,Other Files Lost,64,136.0,2010
EEOC,CHICAGO,Convert Section 83,0,136.0,2010
EEOC,CHICAGO,Other Files Destroy,72,136.0,2010
EEOC,DALLAS,Convert Section 83,45,181.0,2010
EEOC,DALLAS,Other Files Destroy,42,181.0,2010
EEOC,DALLAS,Other Files Lost,94,181.0,2010
EEOC,HOUSTON,Other Files Lost,43,63.0,2010
EEOC,HOUSTON,Convert Section 83,0,63.0,2010
EEOC,HOUSTON,Other Files Destroy,20,63.0,2010
EEOC,INDIANAPOLIS,Other Files Lost,122,240.0,2010
EEOC,INDIANAPOLIS,Other Files Destroy,117,240.0,2010
EEOC,INDIANAPOLIS,Convert Section 83,1,240.0,2010
EEOC,LOS ANGELES,Other Files Destroy,43,82.0,2010
EEOC,LOS ANGELES,Convert Section 83,0,82.0,2010
EEOC,LOS ANGELES,Other Files Lost,39,82.0,2010
EEOC,MEMPHIS,Other Files Destroy,6,16.0,2010
EEOC,MEMPHIS,Other Files Lost,10,16.0,2010
EEOC,MEMPHIS,Convert Section 83,0,16.0,2010
EEOC,MIAMI,Convert Section 83,9,335.0,2010
EEOC,MIAMI,Other Files Lost,298,335.0,2010
EEOC,MIAMI,Other Files Destroy,28,335.0,2010
EEOC,NEW YORK,Convert Section 83,0,100.0,2010
EEOC,NEW YORK,Other Files Lost,51,100.0,2010
EEOC,NEW YORK,Other Files Destroy,49,100.0,2010
EEOC,OLC/HDQ,Other Files Lost,1,60.0,2010
EEOC,OLC/HDQ,Other Files Destroy,59,60.0,2010
EEOC,OLC/HDQ,Convert Section 83,0,60.0,2010
EEOC,PHILADELPHIA,Other Files Destroy,43,111.0,2010
EEOC,PHILADELPHIA,Other Files Lost,67,111.0,2010
EEOC,PHILADELPHIA,Convert Section 83,1,111.0,2010
EEOC,PHOENIX,Other Files Lost,34,36.0,2010
EEOC,PHOENIX,Convert Section 83,0,36.0,2010
EEOC,PHOENIX,Other Files Destroy,2,36.0,2010
EEOC,SAN FRANCISCO,Convert Section 83,0,36.0,2010
EEOC,SAN FRANCISCO,Other Files Destroy,7,36.0,2010
EEOC,SAN FRANCISCO,Other Files Lost,29,36.0,2010
EEOC,ST. LOUIS,Convert Section 83,0,45.0,2010
EEOC,ST. LOUIS,Other Files Destroy,3,45.0,2010
EEOC,ST. LOUIS,Other Files Lost,42,45.0,2010
EEOC,WFO,Convert Section 83,3,18.0,2010
EEOC,WFO,Other Files Lost,15,18.0,2010
EEOC,WFO,Other Files Destroy,0,18.0,2010
EPA,HQ,,0,0.0,2010
EPA,HQ,Glomar,1,4.0,2010
EPA,HQ,File Review,1,4.0,2010
EPA,HQ,Litigation,2,4.0,2010
EPA,Region 2,Litigation,1,1.0,2010
EPA,Region 6,File Review,1,1.0,2010
EPA,Region 9,Glomar,1,1.0,2010
EPA,HQ,Records lost of destroyed,184,353.0,2010
EPA,HQ,Referred to the web,106,353.0,2010
EPA,HQ,Moot,1,353.0,2010
EPA,HQ,,0,353.0,2010
EPA,HQ,Cancelled,60,353.0,2010
EPA,HQ,Glomar,2,353.0,2010
EPA,HQ,Clarification and no longer interest,242,242.0,2010
EPA,HQ,Not an agency record,1,53.0,2010
EPA,HQ,Not a proper FOIA request for some other reason,4,53.0,2010
EPA,HQ,Referrals,48,53.0,2010
EPA,HQ,"Deficient - Original signature, notarization, etc.",10,10.0,2010
EPA,HQ,Not a proper FOIA request for some other reason,4,12.0,2010
EPA,HQ,Not an agency record,8,12.0,2010
Ex-Im Bank,OIG,,0,0.0,2010
Ex-Im Bank,OIG,Request referred to another DOT component,5,5.0,2010
Ex-Im Bank,HQ,,0,0.0,2010
Ex-Im Bank,OIG,Not a proper FOIA request for some other reason,1,3.0,2010
Ex-Im Bank,OIG,Referrals,2,3.0,2010
Ex-Im Bank,OIG,Request Misdirected,2,4.0,2010
Ex-Im Bank,OIG,Verification of Identity Not Provided,2,4.0,2010
Ex-Im Bank,OIG,Records Publicly Available,1,6.0,2010
Ex-Im Bank,OIG,Coordinated by Another Office,1,6.0,2010
Ex-Im Bank,OIG,Nonresponsive to Requests for Additional Information,1,6.0,2010
Ex-Im Bank,OIG,Defer to other Agency recommendation,1,6.0,2010
Ex-Im Bank,OIG,Unable to locate requester,2,6.0,2010
Ex-Im Bank,OIG,,0,0.0,2010
Ex-Im Bank,OIG,Records located were not responsive to the request.,2,2.0,2010
Ex-Im Bank,HQ,Litigation,2,4.0,2010
Ex-Im Bank,HQ,Glomar,1,4.0,2010
Ex-Im Bank,HQ,File Review,1,4.0,2010
Ex-Im Bank,OIG,Enjoined from Release by Court Order,2,22.0,2010
Ex-Im Bank,OIG,Records on OIG Website,8,22.0,2010
Ex-Im Bank,OIG,No Response from Requestor,7,22.0,2010
Ex-Im Bank,OIG,Administratively Closed,5,22.0,2010
Ex-Im Bank,HQ,Records lost of destroyed,184,353.0,2010
Ex-Im Bank,HQ,Referred to the web,106,353.0,2010
Ex-Im Bank,HQ,Moot,1,353.0,2010
Ex-Im Bank,HQ,,0,353.0,2010
Ex-Im Bank,HQ,Cancelled,60,353.0,2010
Ex-Im Bank,HQ,Glomar,2,353.0,2010
Ex-Im Bank,OIG,0,0,0.0,2010
Ex-Im Bank,OIG,No authorization to release records,4,6.0,2010
Ex-Im Bank,OIG,Glomarization,2,6.0,2010
Ex-Im Bank,HQ,Clarification and no longer interest,242,242.0,2010
Ex-Im Bank,OIG,Clarification and no longer interest,3,3.0,2010
Ex-Im Bank,HQ,Not a proper FOIA request for some other reason,4,53.0,2010
Ex-Im Bank,HQ,Referrals,48,53.0,2010
Ex-Im Bank,HQ,Not an agency record,1,53.0,2010
Ex-Im Bank,HQ,"Deficient - Original signature, notarization, etc.",10,10.0,2010
Ex-Im Bank,HQ,Not a proper FOIA request for some other reason,4,12.0,2010
Ex-Im Bank,HQ,Not an agency record,8,12.0,2010
Ex-Im Bank,OIG,,0,0.0,2010
FLRA,FSIP,0,0,0.0,2010
FLRA,Authority,1 request was administratively closed when requester did not respond to office request related to cost for processing request.,1,1.0,2010
FLRA,IG,0,0,0.0,2010
FLRA,OGC,0,0,0.0,2010
FLRA,ATRO,0,0,0.0,2010
FLRA,BORO,0,0,0.0,2010
FLRA,CHRO,0,0,0.0,2010
FLRA,DARO,0,0,0.0,2010
FLRA,DERO,0,0,0.0,2010
FLRA,SFRO,0,0,0.0,2010
FLRA,WARO,0,0,0.0,2010
FLRA,IG,Not a proper FOIA request for some other reason,10,28.0,2010
FLRA,IG,Not an agency record,11,28.0,2010
FLRA,IG,Referrals,7,28.0,2010
FLRA,OGC,Litigation,4,4.0,2010
FLRA,OGC,0,0,0.0,2010
FLRA,OGC,Requester left no forwarding address,1,1.0,2010
FLRA,OGC,records previously provided under case 10-226F,1,7.0,2010
FLRA,OGC,too broad.,1,7.0,2010
FLRA,OGC,unable to locate records.,4,7.0,2010
FLRA,OGC,records retired to NARA,1,7.0,2010
HHS,OIG,,0,0.0,2010
HHS,OIG,Request referred to another DOT component,5,5.0,2010
HHS,OIG,Not a proper FOIA request for some other reason,1,3.0,2010
HHS,OIG,Referrals,2,3.0,2010
HHS,OIG,Verification of Identity Not Provided,2,4.0,2010
HHS,OIG,Request Misdirected,2,4.0,2010
HHS,OIG,Defer to other Agency recommendation,1,6.0,2010
HHS,OIG,Unable to locate requester,2,6.0,2010
HHS,OIG,Records Publicly Available,1,6.0,2010
HHS,OIG,Coordinated by Another Office,1,6.0,2010
HHS,OIG,Nonresponsive to Requests for Additional Information,1,6.0,2010
HHS,OIG,,0,0.0,2010
HHS,OS,Assigned to other bureau/office for response,1,39.0,2010
HHS,OS,Request administratively closed,37,39.0,2010
HHS,OS,Requester failed to provide requested clarification,1,39.0,2010
HHS,OIG,Records located were not responsive to the request.,2,2.0,2010
HHS,CMS,Administrative Closure; Based on Response and Non Response to Continued Interest Calls and Correspondence,11652,11652.0,2010
HHS,OIG,No Response from Requestor,7,22.0,2010
HHS,OIG,Administratively Closed,5,22.0,2010
HHS,OIG,Enjoined from Release by Court Order,2,22.0,2010
HHS,OIG,Records on OIG Website,8,22.0,2010
HHS,CDC,No response to still interested letter,15,15.0,2010
HHS,FDA,Available on the Internet,357,357.0,2010
HHS,IHS,No response to still interested letter,21,21.0,2010
HHS,OS,Administrative closure,215,215.0,2010
HHS,OIG,0,0,0.0,2010
HHS,OIG,No authorization to release records,4,6.0,2010
HHS,OIG,Glomarization,2,6.0,2010
HHS,OIG,Clarification and no longer interest,3,3.0,2010
HHS,OPHS/PSC,No response to still interested letter,13,13.0,2010
HHS,OIG,,0,0.0,2010
HUD,OIG,,0,0.0,2010
HUD,OIG,Request referred to another DOT component,5,5.0,2010
HUD,HQ,,0,0.0,2010
HUD,IG,0,0,0.0,2010
HUD,OIG,Not a proper FOIA request for some other reason,1,3.0,2010
HUD,OIG,Referrals,2,3.0,2010
HUD,OIG,Request Misdirected,2,4.0,2010
HUD,OIG,Verification of Identity Not Provided,2,4.0,2010
HUD,IG,Referrals,7,28.0,2010
HUD,IG,Not a proper FOIA request for some other reason,10,28.0,2010
HUD,IG,Not an agency record,11,28.0,2010
HUD,OIG,Records Publicly Available,1,6.0,2010
HUD,OIG,Coordinated by Another Office,1,6.0,2010
HUD,OIG,Nonresponsive to Requests for Additional Information,1,6.0,2010
HUD,OIG,Defer to other Agency recommendation,1,6.0,2010
HUD,OIG,Unable to locate requester,2,6.0,2010
HUD,OIG,,0,0.0,2010
HUD,OIG,Records located were not responsive to the request.,2,2.0,2010
HUD,HQ,Glomar,1,4.0,2010
HUD,HQ,File Review,1,4.0,2010
HUD,HQ,Litigation,2,4.0,2010
HUD,OIG,Enjoined from Release by Court Order,2,22.0,2010
HUD,OIG,Records on OIG Website,8,22.0,2010
HUD,OIG,No Response from Requestor,7,22.0,2010
HUD,OIG,Administratively Closed,5,22.0,2010
HUD,HQ,,0,353.0,2010
HUD,HQ,Cancelled,60,353.0,2010
HUD,HQ,Glomar,2,353.0,2010
HUD,HQ,Records lost of destroyed,184,353.0,2010
HUD,HQ,Referred to the web,106,353.0,2010
HUD,HQ,Moot,1,353.0,2010
HUD,OIG,0,0,0.0,2010
HUD,OIG,No authorization to release records,4,6.0,2010
HUD,OIG,Glomarization,2,6.0,2010
HUD,HQ,Clarification and no longer interest,242,242.0,2010
HUD,R01,Clarification and no longer interest,0,0.0,2010
HUD,R02,Clarification and no longer interest,9,9.0,2010
HUD,R03,Clarification and no longer interest,7,7.0,2010
HUD,R04,Clarification and no longer interest,10,10.0,2010
HUD,R05,Clarification and no longer interest,12,12.0,2010
HUD,R06,Clarification and no longer interest,5,5.0,2010
HUD,R07,Clarification and no longer interest,1,1.0,2010
HUD,R08,Clarification and no longer interest,1,1.0,2010
HUD,R09,Clarification and no longer interest,5,5.0,2010
HUD,R0X,Clarification and no longer interest,2,2.0,2010
HUD,OIG,Clarification and no longer interest,3,3.0,2010
HUD,HQ,Not a proper FOIA request for some other reason,4,53.0,2010
HUD,HQ,Referrals,48,53.0,2010
HUD,HQ,Not an agency record,1,53.0,2010
HUD,HQ,"Deficient - Original signature, notarization, etc.",10,10.0,2010
HUD,HQ,Not an agency record,8,12.0,2010
HUD,HQ,Not a proper FOIA request for some other reason,4,12.0,2010
HUD,OIG,,0,0.0,2010
LSC,OIG,,0,0.0,2010
LSC,OLA,Directed requester to another agency or entity,3,8.0,2010
LSC,OLA,Referred Records Not Responsive,5,8.0,2010
LSC,OIG,Request referred to another DOT component,5,5.0,2010
LSC,OIG,Referrals,2,3.0,2010
LSC,OIG,Not a proper FOIA request for some other reason,1,3.0,2010
LSC,OIG,Request Misdirected,2,4.0,2010
LSC,OIG,Verification of Identity Not Provided,2,4.0,2010
LSC,OIG,Nonresponsive to Requests for Additional Information,1,6.0,2010
LSC,OIG,Defer to other Agency recommendation,1,6.0,2010
LSC,OIG,Unable to locate requester,2,6.0,2010
LSC,OIG,Records Publicly Available,1,6.0,2010
LSC,OIG,Coordinated by Another Office,1,6.0,2010
LSC,OIG,,0,0.0,2010
LSC,OIG,Records located were not responsive to the request.,2,2.0,2010
LSC,OIG,No Response from Requestor,7,22.0,2010
LSC,OIG,Administratively Closed,5,22.0,2010
LSC,OIG,Enjoined from Release by Court Order,2,22.0,2010
LSC,OIG,Records on OIG Website,8,22.0,2010
LSC,OIG,0,0,0.0,2010
LSC,OIG,No authorization to release records,4,6.0,2010
LSC,OIG,Glomarization,2,6.0,2010
LSC,OIG,Clarification and no longer interest,3,3.0,2010
LSC,OIG,,0,0.0,2010
MSPB,OCB,,0,0.0,2010
NASA,OIG,,0,0.0,2010
NASA,OIG,Request referred to another DOT component,5,5.0,2010
NASA,HQ,,0,0.0,2010
